table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
7976,r001,All institutions,All institutions,,1,-,"['58,667,378', '']","['30,103,415', '']","['4,355,632', '']","['16,044,594', '']","['3,083,531', '']","['3,160,741', '']","['1,919,465', '']"
7976,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,710,036', '']","['683,179', '']","['33,056', '']","['418,589', '']","['128,370', '']","['254,406', '']","['192,436', '']"
7976,r003,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,2,"['1,639,645', '']","['891,125', '']","['2,066', '']","['581,768', '']","['91,117', '']","['63,650', '']","['9,919', '']"
7976,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['1,488,645', '']","['1,046,377', '']","['21,877', '']","['105,070', '']","['54,751', '']","['212,584', '']","['47,986', '']"
7976,r005,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,4,"['1,454,880', '']","['721,043', '']","['71,014', '']","['302,528', '']","['87,959', '']","['194,232', '']","['78,104', '']"
7976,r006,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,5,"['1,425,499', '']","['801,117', '']","['51,346', '']","['250,863', '']","['85,003', '']","['87,380', '']","['149,790', '']"
7976,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,380,075', '']","['646,764', '']","['135,923', '']","['412,540', '']","['31,502', '']","['117,817', '']","['35,529', '']"
7976,r008,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,7,"['1,236,111', '']","['559,797', '']","['45,862', '']","['425,597', '']","['129,914', '']","['50,022', '']","['24,919', '']"
7976,r009,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,8,"['1,205,883', '']","['747,895', '']","['9,550', '']","['304,506', '']","['48,938', '']","['79,885', '']","['15,109', '']"
7976,r010,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,9,"['1,147,720', '']","['528,057', '']","['198,483', '']","['313,192', '']","['32,978', '']","['45,135', '']","['29,875', '']"
7976,r011,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,10,"['1,142,264', '']","['713,283', '']","['42,597', '']","['307,481', '']","['30,638', '']","['43,450', '']","['4,815', '']"
7976,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['1,135,416', '']","['724,993', '']","['9,484', '']","['255,241', '']","['33,240', '']","['65,217', '']","['47,241', '']"
7976,r013,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,12,"['1,124,971', '']","['217,073', '']","['293,325', '']","['233,279', '']","['211,849', '']","['32,741', '']","['136,704', '']"
7976,r014,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,13,"['1,114,481', '']","['852,319', '']","['107,465', '']","['71,780', '']","['56,015', '']","['23,558', '']","['3,344', '']"
7976,r015,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,14,"['1,072,961', '']","['570,946', '']","['69,842', '']","['309,620', '']","['44,460', '']","['45,879', '']","['32,214', '']"
7976,r016,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,15,"['970,544', '']","['622,532', '']","['46,993', '']","['216,134', '']","['33,787', '']","['26,230', '']","['24,868', '']"
7976,r017,All institutions -> U. Florida,All institutions,U. Florida,2,16,"['959,965', '']","['423,154', '']","['161,448', '']","['266,197', '']","['31,394', '']","['46,582', '']","['31,190', '']"
7976,r018,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,17,"['846,872', '']","['354,478', '']","['40,383', '']","['185,077', '']","['71,696', '']","['137,896', '']","['57,342', '']"
7976,r019,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,18,"['817,409', '']","['373,719', '']","['75,116', '']","['207,272', '']","['56,160', '']","['44,693', '']","['60,449', '']"
7976,r020,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,19,"['779,348', '']","['489,827', '']","['30,336', '']","['139,669', '']","['68,580', '']","['43,258', '']","['7,678', '']"
