table_id,row_id,_b_stem_group_b_full_path,_b_stem_group_b_level_1,_b_stem_group_b_level_2,_b_stem_group_b_hierarchy_depth,field_all_stem_workers,field_less_than_a_bachelor_s_degree_stw_total,field_less_than_a_bachelor_s_degree_stw_high_school_diploma_or_ged_or_less,field_less_than_a_bachelor_s_degree_stw_some_college_no_degree,field_less_than_a_bachelor_s_degree_stw_associate_s_degree,field_bachelor_s_degree_or_higher_total,field_bachelor_s_degree_or_higher_bachelor_s_degree,field_bachelor_s_degree_or_higher_master_s_or_higher
11020,r001,All STEM workers (number),All STEM workers (number),,1,36803699,19255748,8759558,6138188,4358002,17547951,10139743,7408208
11020,r002,All STEM workers (number) -> S&E occupations ,All STEM workers (number),S&E occupations ,2,25.6,10.9,5.6,16.1,14.2,41.7,43.2,39.7
11020,r003,All STEM workers (number) -> S&E-related occupations ,All STEM workers (number),S&E-related occupations ,2,36.8,26.4,12.7,28.9,50.4,48.2,42.6,55.9
11020,r004,All STEM workers (number) -> STEM middle-skill occupations,All STEM workers (number),STEM middle-skill occupations,2,37.6,62.7,81.7,55.1,35.4,10.0,14.2,4.4
