table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_number_yes,field_product_or_business_process_innovation_number_no,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no
11302,r001,All companies ,All companies ,,,,1,"['4,874,928', '&nbsp;']","['1,310,146', '&nbsp;']","['3,564,782', '&nbsp;']","['26.9', '&nbsp;']","['73.1', '&nbsp;']"
11302,r002,All companies  -> Race,All companies ,Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11302,r003,All companies  -> Race -> White,All companies ,Race,White,,3,"['4,166,399', '&nbsp;']","['1,088,355', '&nbsp;']","['3,078,044', '&nbsp;']","['26.1', '&nbsp;']","['73.9', '&nbsp;']"
11302,r004,All companies  -> Race -> Asian,All companies ,Race,Asian,,3,"['528,892', '&nbsp;']","['163,382', '&nbsp;']","['365,510', '&nbsp;']","['30.9', '&nbsp;']","['69.1', '&nbsp;']"
11302,r005,All companies  -> Race -> Black or African American,All companies ,Race,Black or African American,,3,"['114,570', '&nbsp;']","['40,388', '&nbsp;']","['74,182', '&nbsp;']","['35.3', '&nbsp;']","['64.7', '&nbsp;']"
11302,r006,All companies  -> Race -> American Indian or Alaska Native,All companies ,Race,American Indian or Alaska Native,,3,"['42,474', '&nbsp;']","['12,858', '&nbsp;']","['29,616', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']"
11302,r007,All companies  -> Race -> Native Hawaiian or Other Pacific Islander,All companies ,Race,Native Hawaiian or Other Pacific Islander,,3,"['7,097', '&nbsp;']","['1,744', '&nbsp;']","['5,353', '&nbsp;']","['24.6', '&nbsp;']","['75.4', '&nbsp;']"
11302,r008,All companies  -> Ethnicity,All companies ,Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11302,r009,All companies  -> Ethnicity -> Hispanic or Latino,All companies ,Ethnicity,Hispanic or Latino,,3,"['314,814', '&nbsp;']","['104,756', '&nbsp;']","['210,058', '&nbsp;']","['33.3', '&nbsp;']","['66.7', '&nbsp;']"
11302,r010,All companies  -> Ethnicity -> Equally Hispanic or Latino and not Hispanic or Latino,All companies ,Ethnicity,Equally Hispanic or Latino and not Hispanic or Latino,,3,"['44,160', '&nbsp;']","['13,335', '&nbsp;']","['30,825', '&nbsp;']","['30.2', '&nbsp;']","['69.8', '&nbsp;']"
11302,r011,All companies  -> Ethnicity -> Not Hispanic or Latino,All companies ,Ethnicity,Not Hispanic or Latino,,3,"['4,486,469', '&nbsp;']","['1,182,461', '&nbsp;']","['3,304,008', '&nbsp;']","['26.4', '&nbsp;']","['73.6', '&nbsp;']"
11302,r012,All companies  -> Minority status,All companies ,Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11302,r013,All companies  -> Minority status -> Minority,All companies ,Minority status,Minority,,3,"['978,056', '&nbsp;']","['312,524', '&nbsp;']","['665,532', '&nbsp;']","['32.0', '&nbsp;']","['68.0', '&nbsp;']"
11302,r014,"All companies  -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies ,Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['445,131', '&nbsp;']","['148,489', '&nbsp;']","['296,642', '&nbsp;']","['33.4', '&nbsp;']","['66.6', '&nbsp;']"
11302,r015,All companies  -> Minority status -> Equally minority and nonminority,All companies ,Minority status,Equally minority and nonminority,,3,"['80,198', '&nbsp;']","['23,627', '&nbsp;']","['56,571', '&nbsp;']","['29.5', '&nbsp;']","['70.5', '&nbsp;']"
11302,r016,All companies  -> Minority status -> Nonminority,All companies ,Minority status,Nonminority,,3,"['3,787,192', '&nbsp;']","['964,403', '&nbsp;']","['2,822,789', '&nbsp;']","['25.5', '&nbsp;']","['74.5', '&nbsp;']"
11302,r017,All companies  -> Unclassifiable,All companies ,Unclassifiable,,,2,"['29,483', '&nbsp;']","['9,592', '&nbsp;']","['19,891', '&nbsp;']","['32.5', '&nbsp;']","['67.5', '&nbsp;']"
