table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
8837,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['109,705', '&nbsp;']","['533', 'i']","['7,586', '&nbsp;']","['521', '&nbsp;']","['2,683', '&nbsp;']","['503', '&nbsp;']","['656', '&nbsp;']","['658', '&nbsp;']","['3,633', '&nbsp;']","['8,600', '&nbsp;']","['258', '&nbsp;']","['5,229', '&nbsp;']","['1,643', '&nbsp;']","['244', '&nbsp;']","['2,845', '&nbsp;']","['392', '&nbsp;']","['1,020', '&nbsp;']","['573', '&nbsp;']","['1,584', '&nbsp;']","['1,402', '&nbsp;']","['5,097', '&nbsp;']","['250', '&nbsp;']","['12,284', '&nbsp;']","['2,550', '&nbsp;']"
8837,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['66,243', '']","['512', 'i']","['3,693', '']","['395', '']","['2,359', '']","['194', '']","['428', '']","['401', '']","['2,082', '']","['6,573', '']","['104', '']","['3,009', '']","['1,288', '']","['166', '']","['1,210', '']","['303', '']","['647', '']","['322', '']","['708', '']","['574', '']","['3,326', '']","['113', '']","['5,234', '']","['1,412', '']"
8837,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,153 - 1,161', '']","['0 - 259', '']","['41', '']","['3', '']","['13', '']","['4', '']","['8', '']","['*', '']","['59', '']","['53', '']","['3', '']","['1', '']","['9', '']","['0', '']","['20', '']","['7', '']","['28', '']","['15', '']","['14', '']","['2', '']","['19', '']","['14', '']","['99', '']","['54', '']"
8837,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['759', '']","['0', '']","['0 - 75', '']","['0', '']","['20', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['8', '']","['47', '']","['0', '']","['0', '']","['0', '']","['0', '']","['7', '']","['2', '']","['0', '']","['409', '']","['0', '']","['51', '']","['7', '']"
8837,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['152', '']","['0', '']","['2', '']","['0', '']","['16', 'i']","['2', '']","['0', '']","['4', '']","['18', '']","['8', '']","['0', '']","['0', '']","['3', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3', '']","['30', '']","['0', '']","['5', '']","['9', '']"
8837,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', '']","['0', '']","['0 - 7', '']","['0', '']","['0 - 7', '']","['0', '']","['0', '']","['0', '']","['2', '']","['0 - 7', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
8837,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['93', '']","['0', '']","['0 - 63', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['2', '']","['9', '']","['0', '']","['0', '']","['*', 'i']","['0', '']","['1', '']","['0', '']","['1', '']","['1', 'i']","['*', 'i']","['*', '']","['1', '']","['1', '']","['4', 'i']","['1', 'i']"
8837,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8837,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['165', '']","['0', '']","['0 - 105', '']","['*', '']","['0 - 39', '']","['0', '']","['3', '']","['0', '']","['4', '']","['7', '']","['0', '']","['0', '']","['0 - 11', '']","['0', '']","['6', '']","['0 - 5', '']","['0', '']","['0', '']","['*', '']","['*', '']","['*', '']","['0', '']","['42', '']","['*', '']"
8837,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['19,362', '']","['76 - 118', '']","['587', '']","['182', 'i']","['1,960', '']","['31', '']","['160', '']","['43', '']","['669', '']","['1,497', '']","['31', '']","['1,398', '']","['387', '']","['149', '']","['540', '']","['44', '']","['127', '']","['136', '']","['339', '']","['151', '']","['1,908', '']","['77', '']","['2,175', '']","['784', '']"
