table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
5681,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    10,410,721,013 ', '&nbsp;']","['    3,326,230,291 ', '&nbsp;']","['    2,241,310,703 ', '&nbsp;']","['    1,861,490,039 ', '&nbsp;']","['    2,981,689,980 ', '&nbsp;']"
5681,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    950,038,837 ', '&nbsp;']","['    140,279,527 ', '&nbsp;']","['    355,906,697 ', 'r']","['    56,138,307 ', '&nbsp;']","['    397,714,305 ', '&nbsp;']"
5681,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    26,166,899 ', '&nbsp;']","['    1,455,329 ', '&nbsp;']","['    12,274,963 ', '&nbsp;']","['    6,473,232 ', '&nbsp;']","['    5,963,376 ', '&nbsp;']"
5681,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    10,567,323 ', '&nbsp;']","['    3,687,138 ', 'r']","['    6,705,244 ', 'r']","['    123,507 ', '&nbsp;']","['    51,435 ', '&nbsp;']"
5681,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    5,418,845 ', '&nbsp;']","['    4,537,450 ', '&nbsp;']","['    73,365 ', '&nbsp;']","['    189,522 ', '&nbsp;']","['    618,507 ', '&nbsp;']"
5681,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    9,794,821 ', '&nbsp;']","['    1,769,236 ', 'r']","['    1,800,327 ', '&nbsp;']","['    5,567,212 ', 'r']","['    658,046 ', '&nbsp;']"
5681,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    5,619,670 ', '&nbsp;']","['    17,436 ', 'r']","['    122,855 ', 'r']","['    254,905 ', 'r']","['    5,224,473 ', '&nbsp;']"
5681,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    42,430,316 ', '&nbsp;']","['    7,232,452 ', 'r']","['    2,908,000 ', 'r']","['    5,387,083 ', '&nbsp;']","['    26,902,780 ', '&nbsp;']"
5681,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    690,395 ', '&nbsp;']","['    302,934 ', 'r']","['    267,998 ', 'r']","['    6,229 ', '&nbsp;']","['    113,234 ', '&nbsp;']"
5681,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    85,246,593 ', '&nbsp;']","['    1,626,809 ', '&nbsp;']","['    9,674,074 ', 'r']","['    8,590,875 ', '&nbsp;']","['    65,354,835 ', '&nbsp;']"
5681,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,4,3253,"['    451,514 ', '&nbsp;']","['    13,818 ', 'r']","['    219,123 ', '&nbsp;']","['    104,830 ', '&nbsp;']","['    113,742 ', '&nbsp;']"
5681,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    43,313,870 ', '&nbsp;']","['    1,199,513 ', 'r']","['    282,709 ', 'r']","['    4,293,995 ', '&nbsp;']","['    37,537,652 ', '&nbsp;']"
5681,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation manufacturing",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation manufacturing",,4,3256,"['    3,090,778 ', '&nbsp;']","['    267,111 ', '&nbsp;']","['    308,983 ', '&nbsp;']","['    61,721 ', '&nbsp;']","['    2,452,963 ', '&nbsp;']"
5681,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    38,390,432 ', '&nbsp;']","['    146,367 ', 'r']","['    8,863,258 ', 'r']","['    4,130,329 ', '&nbsp;']","['    25,250,478 ', '&nbsp;']"
5681,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    26,727,421 ', '&nbsp;']","['    5,959,625 ', '&nbsp;']","['    2,576,446 ', '&nbsp;']","['    889,199 ', '&nbsp;']","['    17,302,151 ', '&nbsp;']"
5681,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    9,981,429 ', '&nbsp;']","['    697,932 ', '&nbsp;']","['    4,997,901 ', '&nbsp;']","['    306,388 ', 'r']","['    3,979,208 ', '&nbsp;']"
5681,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    14,305,756 ', 'r']","['    320,599 ', 'r']","['    11,076,016 ', 'r']","['    147,534 ', '&nbsp;']","['    2,761,607 ', '&nbsp;']"
5681,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    124,742,723 ', '&nbsp;']","['    54,894,945 ', '&nbsp;']","['    59,159,074 ', '&nbsp;']","['    7,697,137 ', 'r']","['    2,991,567 ', '&nbsp;']"
5681,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    249,454,593 ', 'r']","['    24,517,982 ', '&nbsp;']","['    188,769,858 ', 'r']","['    3,878,075 ', '&nbsp;']","['    32,288,678 ', '&nbsp;']"
5681,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    58,694,742 ', '&nbsp;']","['    12,818,610 ', 'r']","['    7,857,637 ', 'r']","['    6,102,024 ', '&nbsp;']","['    31,916,471 ', '&nbsp;']"
