table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2020,field_2021_preliminary_
6401,r001,All fields,All fields,,,1,20071452.7,19474515.9
6401,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1371895.9,1358770.8
6401,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,924890.0,NA
6401,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,397034.3,NA
6401,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,49971.6,NA
6401,r006,All fields -> Engineering,All fields,Engineering,,2,1791749.2,1796051.5
6401,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,48702.9,NA
6401,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,2240.0,NA
6401,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,73160.3,NA
6401,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,7840.0,NA
6401,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,152730.3,NA
6401,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,74829.8,NA
6401,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,215875.2,NA
6401,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1216370.7,NA
6401,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,1175817.6,1063035.8
6401,r016,All fields -> Environmental sciences -> Atmospheric sciences,All fields,Environmental sciences,Atmospheric sciences,3,179396.3,NA
6401,r017,All fields -> Environmental sciences -> Geological sciences,All fields,Environmental sciences,Geological sciences,3,176447.3,NA
6401,r018,All fields -> Environmental sciences -> Oceanography,All fields,Environmental sciences,Oceanography,3,413641.0,NA
6401,r019,All fields -> Environmental sciences -> Other environmental sciences,All fields,Environmental sciences,Other environmental sciences,3,406332.9,NA
6401,r020,All fields -> Life sciences,All fields,Life sciences,,2,11270936.8,11225928.8
6401,r021,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,189945.9,NA
6401,r022,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,6043158.8,NA
6401,r023,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,235991.5,NA
6401,r024,All fields -> Life sciences -> Medical sciences,All fields,Life sciences,Medical sciences,3,3713913.1,NA
6401,r025,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1087927.6,NA
6401,r026,All fields -> Physical sciences,All fields,Physical sciences,,2,2266145.9,1612544.4
6401,r027,All fields -> Physical sciences -> Astronomy,All fields,Physical sciences,Astronomy,3,174279.3,NA
6401,r028,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,483985.0,NA
6401,r029,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,754148.0,NA
6401,r030,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,853733.6,NA
6401,r031,All fields -> Psychology,All fields,Psychology,,2,1002707.5,1024700.0
6401,r032,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,12748.5,NA
6401,r033,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,11185.6,NA
6401,r034,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,978773.4,NA
6401,r035,All fields -> Social sciences,All fields,Social sciences,,2,307483.7,310079.2
6401,r036,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,17237.9,NA
6401,r037,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,24044.4,NA
6401,r038,All fields -> Social sciences -> Political science,All fields,Social sciences,Political science,3,4554.1,NA
6401,r039,All fields -> Social sciences -> Sociology,All fields,Social sciences,Sociology,3,13317.6,NA
6401,r040,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,248329.7,NA
6401,r041,All fields -> Other sciences nec,All fields,Other sciences nec,,2,884715.9,1083405.4
