table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
12308,r001,Total,Total,,,1,"['12,361', '  ']","['1,076', '  ']"
12308,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['53', '  ']","['1', '  ']"
12308,r003,Total -> Canada,Total,Canada,,2,"['655', '  ']","['71', '  ']"
12308,r004,Total -> Latin America and other Western Hemisphere<sup>b</sup>,Total,Latin America and other Western Hemisphere<sup>b</sup>,,2,"['2,076', '  ']","['54', '  ']"
12308,r005,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Argentina,Total,Latin America and other Western Hemisphere<sup>b</sup>,Argentina,3,"['75', '  ']","['4', 'i ']"
12308,r006,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Brazil,Total,Latin America and other Western Hemisphere<sup>b</sup>,Brazil,3,"['387', '  ']","['15', '  ']"
12308,r007,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Chile,Total,Latin America and other Western Hemisphere<sup>b</sup>,Chile,3,"['42', '  ']","['1', '  ']"
12308,r008,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Mexico,Total,Latin America and other Western Hemisphere<sup>b</sup>,Mexico,3,"['1,214', '  ']","['26', '  ']"
12308,r009,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Other Latin American and Western Hemisphere locations,Total,Latin America and other Western Hemisphere<sup>b</sup>,Other Latin American and Western Hemisphere locations,3,"['359', '  ']","['8', '  ']"
12308,r010,Total -> Africa,Total,Africa,,2,"['144', '  ']","['6', '  ']"
12308,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['65', '  ']","['4', 'i ']"
12308,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['79', '  ']","['2', '  ']"
12308,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['4,052', '  ']","['507', '  ']"
12308,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['167', '  ']","['14', '  ']"
12308,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['1,137', '  ']","['106', '  ']"
12308,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['47', '  ']","['3', '  ']"
12308,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['1,362', '  ']","['274', '  ']"
12308,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['85', '  ']","['1', '  ']"
12308,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['277', '  ']","['27', '  ']"
12308,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['124', '  ']","['10', '  ']"
12308,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['18', '  ']","['2', '  ']"
12308,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['156', '  ']","['16', '  ']"
12308,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['105', '  ']","['11', '  ']"
12308,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['118', '  ']","['24', '  ']"
12308,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['128', '  ']","['3', '  ']"
12308,r026,Total -> Asia and Pacific -> Other Asian or Pacific locations,Total,Asia and Pacific,Other Asian or Pacific locations,3,"['327', '  ']","['17', '  ']"
12308,r027,Total -> Europe,Total,Europe,,2,"['3,549', '  ']","['359', '  ']"
12308,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['27', '  ']","['3', '  ']"
12308,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['108', '  ']","['13', '  ']"
12308,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['84', '  ']","['9', '  ']"
12308,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['27', '  ']","['4', '  ']"
12308,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['20', '  ']","['4', '  ']"
12308,r033,Total -> Europe -> France,Total,Europe,France,3,"['313', '  ']","['24', '  ']"
12308,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['549', '  ']","['55', '  ']"
12308,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['64', '  ']","['5', '  ']"
12308,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['157', '  ']","['23', '  ']"
12308,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['181', '  ']","['14', '  ']"
12308,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['15', '  ']","['2', 'i ']"
12308,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['129', '  ']","['11', '  ']"
12308,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['23', '  ']","['2', '  ']"
12308,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['257', '  ']","['15', '  ']"
12308,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['72', '  ']","['6', '  ']"
12308,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['163', '  ']","['16', '  ']"
12308,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['52', '  ']","['8', '  ']"
12308,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['80', '  ']","['16', '  ']"
12308,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['52', '  ']","['3', '  ']"
12308,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['849', '  ']","['93', '  ']"
12308,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['328', '  ']","['32', '  ']"
12308,r049,Total -> Middle East,Total,Middle East,,2,"['196', '  ']","['38', '  ']"
12308,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['87', '  ']","['34', '  ']"
12308,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['109', '  ']","['4', '  ']"
12308,r052,Total -> Undistributed<sup>c</sup>,Total,Undistributed<sup>c</sup>,,2,"['1,636', 'i ']","['40', 'i ']"
