table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11227,r001,All states and outlying areas,All states and outlying areas,,,1,,,,,,
11227,r002,All states and outlying areas -> Obligations ($thousands),All states and outlying areas,Obligations ($thousands),,2,44628417,41303924,512849,17885,1942928,850831
11227,r003,All states and outlying areas -> Institutions (number),All states and outlying areas,Institutions (number),,2,1089,998,187,26,774,352
11227,r004,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,,,,,,
11227,r005,All states and outlying areas -> Alabama -> Obligations ($thousands),All states and outlying areas,Alabama,Obligations ($thousands),3,624060,551112,12913,0,42009,18027
11227,r006,All states and outlying areas -> Alabama -> Institutions (number),All states and outlying areas,Alabama,Institutions (number),3,15,14,2,0,13,7
11227,r007,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,,,,,,
11227,r008,All states and outlying areas -> Alaska -> Obligations ($thousands),All states and outlying areas,Alaska,Obligations ($thousands),3,112394,103857,210,0,4445,3882
11227,r009,All states and outlying areas -> Alaska -> Institutions (number),All states and outlying areas,Alaska,Institutions (number),3,6,6,1,0,4,3
11227,r010,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,,,,,,
11227,r011,All states and outlying areas -> Arizona -> Obligations ($thousands),All states and outlying areas,Arizona,Obligations ($thousands),3,645465,594442,12453,0,28514,10055
11227,r012,All states and outlying areas -> Arizona -> Institutions (number),All states and outlying areas,Arizona,Institutions (number),3,10,10,2,0,7,4
11227,r013,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,,,,,,
11227,r014,All states and outlying areas -> Arkansas -> Obligations ($thousands),All states and outlying areas,Arkansas,Obligations ($thousands),3,166656,129614,18436,0,6454,12151
11227,r015,All states and outlying areas -> Arkansas -> Institutions (number),All states and outlying areas,Arkansas,Institutions (number),3,11,11,3,0,8,2
11227,r016,All states and outlying areas -> California,All states and outlying areas,California,,2,,,,,,
11227,r017,All states and outlying areas -> California -> Obligations ($thousands),All states and outlying areas,California,Obligations ($thousands),3,6097377,5822928,21815,1033,205005,46596
11227,r018,All states and outlying areas -> California -> Institutions (number),All states and outlying areas,California,Institutions (number),3,95,90,15,2,69,29
11227,r019,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,,,,,,
11227,r020,All states and outlying areas -> Colorado -> Obligations ($thousands),All states and outlying areas,Colorado,Obligations ($thousands),3,1203788,1137307,5733,0,47731,13017
11227,r021,All states and outlying areas -> Colorado -> Institutions (number),All states and outlying areas,Colorado,Institutions (number),3,18,17,2,0,13,6
11227,r022,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,,,,,,
11227,r023,All states and outlying areas -> Connecticut -> Obligations ($thousands),All states and outlying areas,Connecticut,Obligations ($thousands),3,850709,785534,13632,0,41101,10443
11227,r024,All states and outlying areas -> Connecticut -> Institutions (number),All states and outlying areas,Connecticut,Institutions (number),3,16,13,2,0,10,3
11227,r025,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,,2,,,,,,
11227,r026,All states and outlying areas -> Delaware -> Obligations ($thousands),All states and outlying areas,Delaware,Obligations ($thousands),3,178295,160126,1286,0,7681,9201
11227,r027,All states and outlying areas -> Delaware -> Institutions (number),All states and outlying areas,Delaware,Institutions (number),3,3,2,1,0,2,3
11227,r028,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,,2,,,,,,
11227,r029,All states and outlying areas -> District of Columbia -> Obligations ($thousands),All states and outlying areas,District of Columbia,Obligations ($thousands),3,599707,525083,47488,116,23492,3528
11227,r030,All states and outlying areas -> District of Columbia -> Institutions (number),All states and outlying areas,District of Columbia,Institutions (number),3,13,13,1,1,7,5
11227,r031,All states and outlying areas -> Florida,All states and outlying areas,Florida,,2,,,,,,
11227,r032,All states and outlying areas -> Florida -> Obligations ($thousands),All states and outlying areas,Florida,Obligations ($thousands),3,1216533,1116811,23509,300,49308,26605
11227,r033,All states and outlying areas -> Florida -> Institutions (number),All states and outlying areas,Florida,Institutions (number),3,33,28,7,1,23,14
11227,r034,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,,2,,,,,,
11227,r035,All states and outlying areas -> Georgia -> Obligations ($thousands),All states and outlying areas,Georgia,Obligations ($thousands),3,1355535,1277521,6591,0,51525,19899
11227,r036,All states and outlying areas -> Georgia -> Institutions (number),All states and outlying areas,Georgia,Institutions (number),3,20,19,5,0,17,7
11227,r037,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,,2,,,,,,
