table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_economies_by_income_status,field_2000_fractional_count,field_2000_whole_count,field_2001_fractional_count,field_2001_whole_count,field_2002_fractional_count,field_2002_whole_count,field_2003_fractional_count,field_2003_whole_count,field_2004_fractional_count,field_2004_whole_count,field_2005_fractional_count,field_2005_whole_count,field_2006_fractional_count,field_2006_whole_count,field_2007_fractional_count,field_2007_whole_count,field_2008_fractional_count,field_2008_whole_count,field_2009_fractional_count,field_2009_whole_count,field_2010_fractional_count,field_2010_whole_count,field_2011_fractional_count,field_2011_whole_count,field_2012_fractional_count,field_2012_whole_count,field_2013_fractional_count,field_2013_whole_count,field_2014_fractional_count,field_2014_whole_count,field_2015_fractional_count,field_2015_whole_count,field_2016_fractional_count,field_2016_whole_count,field_2017_fractional_count,field_2017_whole_count,field_2018_fractional_count,field_2018_whole_count
1827,r001,World,World,,,,1,,327762.0,327762,331761.0,331761,340867.0,340867,353463.0,353463,375487.0,375487,404581.0,404581,423748.0,423748,435899.0,435899,451859.0,451859,469467.0,469467,484597.0,484597,513105.0,513105,539464.0,539464,553620.0,553620,577308.0,577308,583578.0,583578,600045.0,600045,598566.0,598566,604125.0,604125
1827,r002,World -> North America,World,North America,,,2,,111802.18,120561,112817.89,121114,115228.93,124146,116171.9,128721,123130.45,136521,130882.19,145321,135348.48,150706,136985.9,153336,140508.8,158035,143174.98,161946,145994.82,166582,152822.96,174881,157385.3,181336,158133.07,184050,162856.83,190473,164862.1,194259,165780.18,197529,165537.68,198791,165653.22,200655
1827,r003,World -> North America -> Canada,World,North America,Canada,,3,High,10242.42,12261,10175.74,12150,10236.55,12394,10824.28,13801,11533.65,14902,12708.88,16444,13459.92,17516,14003.46,18400,14799.42,19728,15388.47,20737,15696.97,21418,16341.75,22396,17295.14,23870,17513.07,24769,18039.74,25857,18226.45,26490,18142.31,27116,18649.37,28261,19147.42,29404
1827,r004,World -> North America -> Greenland,World,North America,Greenland,,3,High,2.0,2,3.0,4,1.81,6,3.82,9,16.03,18,4.02,11,2.18,8,2.39,5,1.88,7,5.9,11,6.72,13,3.74,9,8.1,19,12.33,24,5.96,20,4.55,18,8.11,22,8.12,21,12.16,31
1827,r005,World -> North America -> Mexico,World,North America,Mexico,,3,Upper-middle,1303.0,1491,1338.94,1532,1578.62,1782,1559.83,1830,1667.87,1999,1894.38,2240,2176.47,2597,2213.4,2652,2236.6,2778,2325.79,2885,2302.87,2914,2277.28,2942,2566.05,3221,2659.43,3361,3076.75,3837,3134.74,4002,3275.05,4264,3053.73,4067,3101.69,4162
1827,r006,World -> North America -> United States,World,North America,United States,,3,High,100254.76,108963,101300.21,109559,103411.94,112281,103783.98,116090,109912.9,123051,116274.91,130485,119709.91,134717,120766.64,136788,123470.9,140517,125454.83,143655,127988.27,147853,134200.2,155334,137516.0,160492,137948.24,162778,141734.38,168120,143496.36,171761,144354.71,174582,143826.45,175453,143391.95,176575
1827,r007,World -> Central America and Caribbean,World,Central America and Caribbean,,,2,,769.08,969,884.38,1094,842.21,1065,629.46,870,706.62,994,765.25,1085,1038.26,1439,999.67,1492,1060.6,1532,1364.7,1862,1241.01,1757,1329.4,1887,1343.11,1940,1334.75,1953,1328.53,1955,1251.95,1999,1155.49,1895,1216.91,2075,1001.63,1923
1827,r008,World -> Central America and Caribbean -> Antigua and Barbuda,World,Central America and Caribbean,Antigua and Barbuda,,3,High,0.0,0,1.0,1,2.0,2,1.83,3,0.5,1,1.32,3,1.27,2,5.0,7,3.68,5,2.94,5,1.92,3,0.17,1,0.13,1,2.22,9,0.54,3,1.57,4,6.37,12,3.86,12,3.85,16
1827,r009,"World -> Central America and Caribbean -> Bahamas, The",World,Central America and Caribbean,"Bahamas, The",,3,High,0.0,0,0.78,3,1.56,4,1.05,2,0.5,1,1.08,5,4.33,5,3.8,8,1.0,3,4.07,10,0.64,4,6.09,10,1.97,7,7.88,12,4.61,10,4.46,12,3.71,9,5.09,9,2.83,10
1827,r010,World -> Central America and Caribbean -> Barbados,World,Central America and Caribbean,Barbados,,3,High,9.08,12,11.69,18,6.02,10,9.92,19,15.91,31,12.03,22,21.94,38,19.6,33,11.46,24,12.41,25,7.79,28,9.05,22,12.37,35,13.76,29,16.89,38,18.79,44,18.97,42,17.11,44,10.83,35
1827,r011,World -> Central America and Caribbean -> Belize,World,Central America and Caribbean,Belize,,3,Upper-middle,0.45,2,0.0,0,0.82,3,1.68,3,0.25,1,0.59,3,0.78,3,0.0,0,0.33,1,2.2,4,2.08,7,0.76,7,2.26,5,2.43,7,3.04,11,2.64,10,0.6,5,1.77,5,1.98,10
1827,r012,World -> Central America and Caribbean -> Costa Rica,World,Central America and Caribbean,Costa Rica,,3,Upper-middle,21.31,36,23.09,44,25.71,53,28.63,66,25.51,66,30.27,71,28.44,68,31.8,82,43.68,97,44.79,110,40.54,102,43.78,113,30.15,89,41.96,119,55.06,141,42.42,130,60.16,163,71.6,173,57.6,188
1827,r013,World -> Central America and Caribbean -> Cuba,World,Central America and Caribbean,Cuba,,3,Upper-middle,509.8,582,562.79,653,532.03,615,295.55,341,341.64,409,408.63,492,619.02,741,574.13,752,552.66,655,825.28,934,747.99,842,813.84,914,822.23,930,793.29,895,766.01,871,736.54,855,610.99,712,592.08,713,425.29,554
1827,r014,World -> Central America and Caribbean -> Dominica,World,Central America and Caribbean,Dominica,,3,Upper-middle,0.0,0,2.74,4,2.0,2,2.08,3,1.33,3,0.42,2,0.92,5,0.31,2,0.0,0,0.06,1,3.33,6,1.99,9,3.39,11,6.0,18,5.1,12,4.72,15,5.48,19,9.46,22,9.21,21
