table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations,field_type_of_nonprofit_organizationa_fy_2021_all_organizations,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations
9800,r001,All R&D expenditures,All R&D expenditures,,1,"['27,052,537', '  ']","['14,276,583', '  ']","['10,400,065', '  ']","['2,375,889', '  ']","['27,190,025', '  ']","['13,549,636', '  ']","['11,217,704', '  ']","['2,422,685', '  ']"
9800,r002,All R&D expenditures -> Internal funds,All R&D expenditures,Internal funds,2,"['6,056,780', '  ']","['4,068,940', '  ']","['1,433,877', '  ']","['553,963', '  ']","['7,538,477', '  ']","['4,683,093', '  ']","['1,882,976', '  ']","['972,408', '  ']"
9800,r003,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,2,"['11,958,721', '  ']","['5,354,330', '  ']","['6,142,966', '  ']","['461,425', '  ']","['11,619,826', '  ']","['4,673,876', '  ']","['6,512,232', '  ']","['433,718', '  ']"
9800,r004,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,2,"['572,120', '  ']","['192,988', '  ']","['275,608', '  ']","['103,524', '  ']","['327,686', '  ']","['103,791', '  ']","['205,441', '  ']","['18,453', '  ']"
9800,r005,All R&D expenditures -> Businesses,All R&D expenditures,Businesses,2,"['3,102,869', '  ']","['1,675,774', '  ']","['863,416', '  ']","['563,679', '  ']","['3,010,298', '  ']","['1,543,437', '  ']","['1,088,336', '  ']","['378,526', '  ']"
9800,r006,All R&D expenditures -> Universities,All R&D expenditures,Universities,2,"['307,158', '  ']","['180,059', '  ']","['118,300', '  ']","['8,799', '  ']","['274,268', '  ']","['183,360', '  ']","['84,760', '  ']","['6,147', '  ']"
9800,r007,All R&D expenditures -> Foundations,All R&D expenditures,Foundations,2,"['2,313,837', '  ']","['970,308', '  ']","['856,559', '  ']","['486,970', '  ']","['1,727,747', '  ']","['751,126', '  ']","['748,921', '  ']","['227,700', '  ']"
9800,r008,All R&D expenditures -> All other nonprofits,All R&D expenditures,All other nonprofits,2,"['772,880', '  ']","['419,780', '  ']","['320,449', '  ']","['32,651', '  ']","['671,772', '  ']","['347,439', '  ']","['197,267', '  ']","['127,066', '  ']"
9800,r009,All R&D expenditures -> Individual donors,All R&D expenditures,Individual donors,2,"['1,390,846', '  ']","['1,000,669', 'i ']","['246,809', '  ']","['143,369', '  ']","['1,379,891', '  ']","['955,638', '  ']","['291,407', '  ']","['132,845', '  ']"
9800,r010,All R&D expenditures -> Other,All R&D expenditures,Other,2,"['577,325', '  ']","['413,736', 'i ']","['142,081', '  ']","['21,509', '  ']","['640,062', '  ']","['307,876', '  ']","['206,364', '  ']","['125,822', '  ']"
