table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_level_7,sex_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3266,r001,Both sexes,Both sexes,,,,,,,1,,,,,,,,,,,
3266,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,2,631711,665473,698528,736455,759538,756975,759796,763980,791237,810108,825621
3266,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,,3,126404,134517,139926,150653,161372,166397,171228,180955,198292,206172,208427
3266,r004,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,,4,93227,98007,102312,109371,118197,123009,125866,131748,143126,149201,152445
3266,r005,Both sexes -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes,All fields,S&E,Science,Agricultural sciences,,,5,4120,4349,4684,5148,5843,5757,5916,5792,6043,6119,6444
3266,r006,Both sexes -> All fields -> S&E -> Science -> Biological sciences,Both sexes,All fields,S&E,Science,Biological sciences,,,5,9565,9921,10668,11214,12313,13048,13731,14370,15370,16253,17222
3266,r007,Both sexes -> All fields -> S&E -> Science -> Computer sciences,Both sexes,All fields,S&E,Science,Computer sciences,,,5,17151,17988,18021,19519,21015,22833,24635,31552,40211,46615,46548
3266,r008,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,,5,1552,1579,1677,1789,2049,2080,2197,2212,2133,2182,2059
3266,r009,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,6,199,225,227,221,240,233,263,253,220,236,238
3266,r010,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,,6,1222,1224,1301,1429,1656,1705,1782,1812,1760,1780,1668
3266,r011,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,,6,131,130,149,139,153,142,152,147,153,166,153
3266,r012,Both sexes -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes,All fields,S&E,Science,Mathematics and statistics,,,5,5152,5459,5958,6203,6684,7346,7784,8269,9390,10294,12153
3266,r013,Both sexes -> All fields -> S&E -> Science -> Physical sciences,Both sexes,All fields,S&E,Science,Physical sciences,,,5,4374,4101,4323,4473,4709,4809,4645,4744,4736,4757,4924
3266,r014,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Astronomy,Both sexes,All fields,S&E,Science,Physical sciences,Astronomy,,6,166,139,149,185,127,170,160,156,140,169,145
3266,r015,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Chemistry,Both sexes,All fields,S&E,Science,Physical sciences,Chemistry,,6,2236,2131,2175,2324,2493,2478,2431,2491,2513,2557,2459
3266,r016,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Physics,Both sexes,All fields,S&E,Science,Physical sciences,Physics,,6,1799,1657,1810,1771,1879,1984,1876,1934,1959,1852,2156
3266,r017,Both sexes -> All fields -> S&E -> Science -> Physical sciences -> Other ,Both sexes,All fields,S&E,Science,Physical sciences,Other ,,6,173,174,189,193,210,177,178,163,124,179,164
3266,r018,Both sexes -> All fields -> S&E -> Science -> Psychology,Both sexes,All fields,S&E,Science,Psychology,,,5,18836,20744,21032,22363,24121,25140,25332,24029,25041,24653,25128
3266,r019,Both sexes -> All fields -> S&E -> Science -> Social sciences,Both sexes,All fields,S&E,Science,Social sciences,,,5,32477,33866,35949,38662,41463,41996,41626,40780,40202,38328,37967
3266,r020,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Anthropology,Both sexes,All fields,S&E,Science,Social sciences,Anthropology,,6,1145,1248,1233,1243,1279,1195,1316,1258,1204,1163,1227
3266,r021,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,Both sexes,All fields,S&E,Science,Social sciences,Area and ethnic studies,,6,1722,1672,1700,1880,1857,1874,1791,1858,1840,1723,1635
3266,r022,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Economics,Both sexes,All fields,S&E,Science,Social sciences,Economics,,6,3576,3651,3732,4173,4331,4287,4541,4432,4378,4535,4442
3266,r023,Both sexes -> All fields -> S&E -> Science -> Social sciences -> History of science,Both sexes,All fields,S&E,Science,Social sciences,History of science,,6,47,33,25,44,37,33,28,26,35,32,30
3266,r024,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Linguistics,Both sexes,All fields,S&E,Science,Social sciences,Linguistics,,6,610,720,679,711,789,782,728,779,778,687,678
3266,r025,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Political science and public administration,Both sexes,All fields,S&E,Science,Social sciences,Political science and public administration,,6,19933,20575,22083,24128,26091,26762,26321,25786,25501,23381,23098
3266,r026,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Sociology,Both sexes,All fields,S&E,Science,Social sciences,Sociology,,6,1571,1601,1453,1640,1810,1652,1661,1481,1419,1442,1470
3266,r027,Both sexes -> All fields -> S&E -> Science -> Social sciences -> Other ,Both sexes,All fields,S&E,Science,Social sciences,Other ,,6,3873,4366,5044,4843,5269,5411,5240,5160,5047,5365,5387
3266,r028,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,,4,33177,36510,37614,41282,43175,43388,45362,49207,55166,56971,55982
3266,r029,Both sexes -> All fields -> S&E -> Engineering -> Aerospace engineering,Both sexes,All fields,S&E,Engineering,Aerospace engineering,,,5,1036,1075,1098,1306,1408,1266,1311,1318,1438,1580,1620
3266,r030,Both sexes -> All fields -> S&E -> Engineering -> Chemical engineering,Both sexes,All fields,S&E,Engineering,Chemical engineering,,,5,1230,1285,1430,1741,1911,1932,2092,2278,2306,2441,2542
3266,r031,Both sexes -> All fields -> S&E -> Engineering -> Civil engineering,Both sexes,All fields,S&E,Engineering,Civil engineering,,,5,4327,4570,4962,5915,6405,6486,6691,6573,6921,6993,7252
3266,r032,Both sexes -> All fields -> S&E -> Engineering -> Electrical engineering,Both sexes,All fields,S&E,Engineering,Electrical engineering,,,5,11232,12698,12105,12545,12642,12473,13112,15763,18733,17978,16199
3266,r033,Both sexes -> All fields -> S&E -> Engineering -> Industrial engineering,Both sexes,All fields,S&E,Engineering,Industrial engineering,,,5,3659,4313,4866,5083,5346,5327,5605,5631,6630,7759,7720
3266,r034,Both sexes -> All fields -> S&E -> Engineering -> Materials engineering ,Both sexes,All fields,S&E,Engineering,Materials engineering ,,,5,768,836,815,894,990,1099,1170,1164,1308,1371,1447
3266,r035,Both sexes -> All fields -> S&E -> Engineering -> Mechanical engineering,Both sexes,All fields,S&E,Engineering,Mechanical engineering,,,5,4556,4689,4890,5938,5977,5991,6285,6954,7665,8386,8270
3266,r036,Both sexes -> All fields -> S&E -> Engineering -> Other ,Both sexes,All fields,S&E,Engineering,Other ,,,5,6369,7044,7448,7860,8496,8814,9096,9526,10165,10463,10932
3266,r037,Both sexes -> All fields -> Non-S&E,Both sexes,All fields,Non-S&E,,,,,3,505307,530956,558602,585802,598166,590578,588568,583025,592945,603936,617194
3266,r038,Both sexes -> Female,Both sexes,Female,,,,,,2,,,,,,,,,,,
3266,r039,Both sexes -> Female -> All fields,Both sexes,Female,All fields,,,,,3,382740,401995,421358,443154,455736,453745,455240,455697,468924,481457,497013
3266,r040,Both sexes -> Female -> All fields -> S&E,Both sexes,Female,All fields,S&E,,,,4,57594,61028,63660,68202,73513,76351,78771,81673,87850,89846,93132
3266,r041,Both sexes -> Female -> All fields -> S&E -> Science,Both sexes,Female,All fields,S&E,Science,,,5,49957,52789,55258,58863,63614,66054,67783,69391,74061,75728,78699
3266,r042,Both sexes -> Female -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes,Female,All fields,S&E,Science,Agricultural sciences,,6,2248,2318,2447,2749,3153,3173,3294,3228,3440,3459,3724
3266,r043,Both sexes -> Female -> All fields -> S&E -> Science -> Biological sciences,Both sexes,Female,All fields,S&E,Science,Biological sciences,,6,5611,5775,6183,6432,7078,7423,7818,8326,8860,9545,10358
3266,r044,Both sexes -> Female -> All fields -> S&E -> Science -> Computer sciences,Both sexes,Female,All fields,S&E,Science,Computer sciences,,6,4596,4869,4963,5508,5843,6263,7088,9607,12372,14394,15096
3266,r045,"Both sexes -> Female -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,Female,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,6,705,731,789,795,875,902,916,955,923,945,878
3266,r046,"Both sexes -> Female -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes,Female,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,7,73,91,94,86,93,91,111,90,76,104,91
3266,r047,"Both sexes -> Female -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes,Female,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,7,559,566,615,632,696,744,719,781,764,745,701
3266,r048,"Both sexes -> Female -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",Both sexes,Female,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,7,73,74,80,77,86,67,86,84,83,96,86
3266,r049,Both sexes -> Female -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes,Female,All fields,S&E,Science,Mathematics and statistics,,6,2207,2246,2376,2517,2711,2927,3244,3380,3908,4490,5230
3266,r050,Both sexes -> Female -> All fields -> S&E -> Science -> Physical sciences,Both sexes,Female,All fields,S&E,Science,Physical sciences,,6,1565,1514,1621,1657,1689,1698,1716,1678,1694,1726,1755
3266,r051,Both sexes -> Female -> All fields -> S&E -> Science -> Physical sciences -> Astronomy,Both sexes,Female,All fields,S&E,Science,Physical sciences,Astronomy,7,62,57,55,70,50,76,66,62,57,70,50
3266,r052,Both sexes -> Female -> All fields -> S&E -> Science -> Physical sciences -> Chemistry,Both sexes,Female,All fields,S&E,Science,Physical sciences,Chemistry,7,1035,997,1055,1081,1132,1130,1122,1109,1145,1137,1116
3266,r053,Both sexes -> Female -> All fields -> S&E -> Science -> Physical sciences -> Physics,Both sexes,Female,All fields,S&E,Science,Physical sciences,Physics,7,378,371,410,404,409,401,439,436,433,441,495
3266,r054,Both sexes -> Female -> All fields -> S&E -> Science -> Physical sciences -> Other ,Both sexes,Female,All fields,S&E,Science,Physical sciences,Other ,7,90,89,101,102,98,91,89,71,59,78,94
3266,r055,Both sexes -> Female -> All fields -> S&E -> Science -> Psychology,Both sexes,Female,All fields,S&E,Science,Psychology,,6,14916,16362,16646,17644,19076,19852,20005,18926,19856,19473,20007
3266,r056,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences,Both sexes,Female,All fields,S&E,Science,Social sciences,,6,18109,18974,20233,21561,23189,23816,23702,23291,23008,21696,21651
3266,r057,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Anthropology,Both sexes,Female,All fields,S&E,Science,Social sciences,Anthropology,7,766,838,839,849,860,819,900,847,786,798,870
3266,r058,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,Both sexes,Female,All fields,S&E,Science,Social sciences,Area and ethnic studies,7,1060,1050,1021,1134,1129,1150,1137,1149,1136,1079,1029
3266,r059,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Economics,Both sexes,Female,All fields,S&E,Science,Social sciences,Economics,7,1384,1506,1492,1728,1735,1773,1852,1799,1804,1896,1841
3266,r060,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> History of science,Both sexes,Female,All fields,S&E,Science,Social sciences,History of science,7,23,16,9,14,18,14,19,15,18,16,15
3266,r061,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Linguistics,Both sexes,Female,All fields,S&E,Science,Social sciences,Linguistics,7,398,503,477,482,508,492,441,524,499,427,448
3266,r062,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Political science and public administration,Both sexes,Female,All fields,S&E,Science,Social sciences,Political science and public administration,7,11239,11596,12533,13548,14912,15406,15206,14936,14817,13197,13140
3266,r063,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Sociology,Both sexes,Female,All fields,S&E,Science,Social sciences,Sociology,7,1059,1065,977,1073,1177,1107,1124,986,901,948,943
3266,r064,Both sexes -> Female -> All fields -> S&E -> Science -> Social sciences -> Other ,Both sexes,Female,All fields,S&E,Science,Social sciences,Other ,7,2180,2400,2885,2733,2850,3055,3023,3035,3047,3335,3365
3266,r065,Both sexes -> Female -> All fields -> S&E -> Engineering,Both sexes,Female,All fields,S&E,Engineering,,,5,7637,8239,8402,9339,9899,10297,10988,12282,13789,14118,14433
3266,r066,Both sexes -> Female -> All fields -> S&E -> Engineering -> Aerospace engineering,Both sexes,Female,All fields,S&E,Engineering,Aerospace engineering,,6,172,169,157,196,191,190,207,178,240,244,269
3266,r067,Both sexes -> Female -> All fields -> S&E -> Engineering -> Chemical engineering,Both sexes,Female,All fields,S&E,Engineering,Chemical engineering,,6,353,398,435,506,595,613,617,675,698,784,815
3266,r068,Both sexes -> Female -> All fields -> S&E -> Engineering -> Civil engineering,Both sexes,Female,All fields,S&E,Engineering,Civil engineering,,6,1236,1356,1409,1649,1854,1983,1996,1966,2127,2088,2282
3266,r069,Both sexes -> Female -> All fields -> S&E -> Engineering -> Electrical engineering,Both sexes,Female,All fields,S&E,Engineering,Electrical engineering,,6,2350,2500,2410,2481,2514,2481,2844,3745,4546,4373,4034
3266,r070,Both sexes -> Female -> All fields -> S&E -> Engineering -> Industrial engineering,Both sexes,Female,All fields,S&E,Engineering,Industrial engineering,,6,925,1066,1181,1345,1439,1401,1511,1561,1687,1852,2057
3266,r071,Both sexes -> Female -> All fields -> S&E -> Engineering -> Materials engineering,Both sexes,Female,All fields,S&E,Engineering,Materials engineering,,6,219,242,225,244,321,335,348,346,387,426,414
3266,r072,Both sexes -> Female -> All fields -> S&E -> Engineering -> Mechanical engineering,Both sexes,Female,All fields,S&E,Engineering,Mechanical engineering,,6,660,699,693,788,751,831,960,1075,1127,1211,1145
3266,r073,Both sexes -> Female -> All fields -> S&E -> Engineering -> Other,Both sexes,Female,All fields,S&E,Engineering,Other,,6,1722,1809,1892,2130,2234,2463,2505,2736,2977,3140,3417
3266,r074,Both sexes -> Female -> All fields -> Non-S&E,Both sexes,Female,All fields,Non-S&E,,,,4,325146,340967,357698,374952,382223,377394,376469,374024,381074,391611,403881
3266,r075,Both sexes -> Male,Both sexes,Male,,,,,,2,,,,,,,,,,,
3266,r076,Both sexes -> Male -> All fields,Both sexes,Male,All fields,,,,,3,248971,263478,277170,293301,303802,303230,304556,308283,322313,328651,328608
3266,r077,Both sexes -> Male -> All fields -> S&E,Both sexes,Male,All fields,S&E,,,,4,68810,73489,76266,82451,87859,90046,92457,99282,110442,116326,115295
3266,r078,Both sexes -> Male -> All fields -> S&E -> Science,Both sexes,Male,All fields,S&E,Science,,,5,43270,45218,47054,50508,54583,56955,58083,62357,69065,73473,73746
3266,r079,Both sexes -> Male -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes,Male,All fields,S&E,Science,Agricultural sciences,,6,1872,2031,2237,2399,2690,2584,2622,2564,2603,2660,2720
3266,r080,Both sexes -> Male -> All fields -> S&E -> Science -> Biological sciences,Both sexes,Male,All fields,S&E,Science,Biological sciences,,6,3954,4146,4485,4782,5235,5625,5913,6044,6510,6708,6864
3266,r081,Both sexes -> Male -> All fields -> S&E -> Science -> Computer sciences,Both sexes,Male,All fields,S&E,Science,Computer sciences,,6,12555,13119,13058,14011,15172,16570,17547,21945,27839,32221,31452
3266,r082,"Both sexes -> Male -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,Male,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,6,847,848,888,994,1174,1178,1281,1257,1210,1237,1181
