table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_level_4,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10857,r001,Alabama,Alabama,,,,1,4086585,1967060,608,1509290,568863,22193,18572
10857,r002,Alabama -> Departments,Alabama,Departments,,,2,,,,,,,
10857,r003,Alabama -> Departments -> Department of Agriculture,Alabama,Departments,Department of Agriculture,,3,57226,7796,0,175,48329,384,542
10857,r004,Alabama -> Departments -> Department of Commerce,Alabama,Departments,Department of Commerce,,3,14312,3050,0,0,10774,250,238
10857,r005,Alabama -> Departments -> Department of Defense,Alabama,Departments,Department of Defense,,3,3041448,1937219,608,1059348,42370,1666,237
10857,r006,Alabama -> Departments -> Department of Education,Alabama,Departments,Department of Education,,3,1307,0,0,0,402,0,905
10857,r007,Alabama -> Departments -> Department of Energy,Alabama,Departments,Department of Energy,,3,36551,0,0,24464,11992,95,0
10857,r008,Alabama -> Departments -> Department of Health and Human Services,Alabama,Departments,Department of Health and Human Services,,3,385897,169,0,8614,355174,13544,8396
10857,r009,Alabama -> Departments -> Department of Homeland Security,Alabama,Departments,Department of Homeland Security,,3,8583,0,0,413,7821,349,0
10857,r010,Alabama -> Departments -> Department of the Interior,Alabama,Departments,Department of the Interior,,3,3952,3031,0,0,722,0,199
10857,r011,Alabama -> Departments -> Department of Justice,Alabama,Departments,Department of Justice,,3,1350,0,0,0,1350,0,0
10857,r012,Alabama -> Departments -> Department of Transportation,Alabama,Departments,Department of Transportation,,3,14342,31,0,4139,2868,0,7304
10857,r013,Alabama -> Departments -> Department of Veterans Affairs,Alabama,Departments,Department of Veterans Affairs,,3,13331,13331,0,0,0,0,0
10857,r014,Alabama -> Other agencies,Alabama,Other agencies,,,2,,,,,,,
10857,r015,Alabama -> Other agencies -> Agency for International Development,Alabama,Other agencies,Agency for International Development,,3,5280,0,0,0,0,5280,0
10857,r016,Alabama -> Other agencies -> Environmental Protection Agency,Alabama,Other agencies,Environmental Protection Agency,,3,114,0,0,87,27,0,0
10857,r017,Alabama -> Other agencies -> National Aeronautics and Space Administration,Alabama,Other agencies,National Aeronautics and Space Administration,,3,442848,2434,0,409253,30911,0,250
10857,r018,Alabama -> Other agencies -> National Science Foundation,Alabama,Other agencies,National Science Foundation,,3,57121,0,0,768,55729,624,0
10857,r019,Alabama -> Other agencies -> Nuclear Regulatory Commission,Alabama,Other agencies,Nuclear Regulatory Commission,,3,376,0,0,0,376,0,0
10857,r020,Alabama -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,Alabama,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,3,500,0,0,0,0,0,500
10857,r021,Alabama -> Other agencies -> Social Security Administration,Alabama,Other agencies,Social Security Administration,,3,2047,0,0,2030,17,0,0
10857,r022,Alaska,Alaska,,,,1,272508,75226,0,65177,109357,15658,7090
10857,r023,Alaska -> Departments,Alaska,Departments,,,2,,,,,,,
10857,r024,Alaska -> Departments -> Department of Agriculture,Alaska,Departments,Department of Agriculture,,3,15090,9778,0,125,3765,0,1423
10857,r025,Alaska -> Departments -> Department of Commerce,Alaska,Departments,Department of Commerce,,3,9424,5503,0,252,3036,428,206
10857,r026,Alaska -> Departments -> Department of Defense,Alaska,Departments,Department of Defense,,3,73064,2942,0,56697,12371,1055,0
