table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10391,r001,All states and outlying areas,All states and outlying areas,,1,26156379,27652453,27105723,28532827,29805220,32312581,35125136,36569461,39504025
10391,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,321501,342731,366300,354347,362466,442266,491035,494908,498006
10391,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,60998,66026,68093,70453,80761,78244,103532,106888,114149
10391,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,369923,338536,330839,341024,370208,395623,441188,450662,558327
10391,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,59099,55414,53583,105763,66975,80354,93615,98094,131562
10391,r006,All states and outlying areas -> California,All states and outlying areas,California,2,3751425,3913639,3844294,3980511,4100917,4419364,4630852,4787585,5416776
10391,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,577822,560698,602424,630338,648782,756505,748312,801632,888796
10391,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,484830,505357,480767,539370,546742,595893,661564,698793,765695
10391,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,80240,91524,74641,101649,123061,112677,121590,123611,236411
10391,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,451731,445538,416510,466535,410862,518704,399415,430891,394755
10391,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,596883,625298,714134,691838,780180,804750,934428,889274,1023546
10391,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,774289,760899,848903,703447,1030375,1124666,1313038,1496955,1149906
10391,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,153615,160303,133731,144285,133213,145466,149419,138801,171432
10391,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,39771,34037,45479,44875,46921,53977,60219,62688,61363
10391,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,1032232,1071739,1050021,1107639,1086485,1177732,1317966,1377654,1475304
10391,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,365057,413505,408595,421104,450000,470535,572760,594790,652010
10391,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,260779,259396,252865,251203,260110,273515,279598,330667,321224
10391,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,140100,148989,157138,160001,187334,198638,233122,209123,242557
10391,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,167888,187712,201022,201384,214257,248158,266502,291942,305124
10391,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,181737,164842,155602,179703,179662,195156,228775,249466,264971
