table_id,row_id,selected_industry_and_location_full_path,selected_industry_and_location_level_1,selected_industry_and_location_level_2,selected_industry_and_location_level_3,selected_industry_and_location_hierarchy_depth,field_millions_of_u_s_dollars,field_shares_
12565,r001,Total manufacturing (NAICS 31&#8211;33),Total manufacturing (NAICS 31&#8211;33),,,1,,
12565,r002,Total manufacturing (NAICS 31&#8211;33) -> United States,Total manufacturing (NAICS 31&#8211;33),United States,,2,287666,100
12565,r003,Total manufacturing (NAICS 31&#8211;33) -> United States -> California,Total manufacturing (NAICS 31&#8211;33),United States,California,3,92329,32
12565,r004,Total manufacturing (NAICS 31&#8211;33) -> United States -> Massachusetts,Total manufacturing (NAICS 31&#8211;33),United States,Massachusetts,3,25634,9
12565,r005,Total manufacturing (NAICS 31&#8211;33) -> United States -> Michigan,Total manufacturing (NAICS 31&#8211;33),United States,Michigan,3,17986,6
12565,r006,Total manufacturing (NAICS 31&#8211;33) -> United States -> New Jersey,Total manufacturing (NAICS 31&#8211;33),United States,New Jersey,3,14456,5
12565,r007,Total manufacturing (NAICS 31&#8211;33) -> United States -> Texas,Total manufacturing (NAICS 31&#8211;33),United States,Texas,3,13615,5
12565,r008,Total manufacturing (NAICS 31&#8211;33) -> United States -> Illinois,Total manufacturing (NAICS 31&#8211;33),United States,Illinois,3,11105,4
12565,r009,Total manufacturing (NAICS 31&#8211;33) -> United States -> All other states,Total manufacturing (NAICS 31&#8211;33),United States,All other states,3,112541,39
12565,r010,Semiconductors (NAICS 3344),Semiconductors (NAICS 3344),,,1,,
12565,r011,Semiconductors (NAICS 3344) -> United States,Semiconductors (NAICS 3344),United States,,2,45516,100
12565,r012,Semiconductors (NAICS 3344) -> United States -> California,Semiconductors (NAICS 3344),United States,California,3,23020,51
12565,r013,Semiconductors (NAICS 3344) -> United States -> Oregon,Semiconductors (NAICS 3344),United States,Oregon,3,6776,15
12565,r014,Semiconductors (NAICS 3344) -> United States -> Arizona,Semiconductors (NAICS 3344),United States,Arizona,3,3795,8
12565,r015,Semiconductors (NAICS 3344) -> United States -> Texas,Semiconductors (NAICS 3344),United States,Texas,3,3546,8
12565,r016,Semiconductors (NAICS 3344) -> United States -> Idaho,Semiconductors (NAICS 3344),United States,Idaho,3,1582,3
12565,r017,Semiconductors (NAICS 3344) -> United States -> Massachusetts,Semiconductors (NAICS 3344),United States,Massachusetts,3,1551,3
12565,r018,Semiconductors (NAICS 3344) -> United States -> All other states,Semiconductors (NAICS 3344),United States,All other states,3,5246,12
12565,r019,Semiconductor machinery (NAICS 333242),Semiconductor machinery (NAICS 333242),,,1,,
12565,r020,Semiconductor machinery (NAICS 333242) -> United States,Semiconductor machinery (NAICS 333242),United States,,2,5182,100
12565,r021,Semiconductor machinery (NAICS 333242) -> United States -> California,Semiconductor machinery (NAICS 333242),United States,California,3,3377,65
12565,r022,Semiconductor machinery (NAICS 333242) -> United States -> Oregon,Semiconductor machinery (NAICS 333242),United States,Oregon,3,578,11
12565,r023,Semiconductor machinery (NAICS 333242) -> United States -> Texas,Semiconductor machinery (NAICS 333242),United States,Texas,3,469,9
12565,r024,Semiconductor machinery (NAICS 333242) -> United States -> Massachusetts,Semiconductor machinery (NAICS 333242),United States,Massachusetts,3,392,8
12565,r025,Semiconductor machinery (NAICS 333242) -> United States -> New York,Semiconductor machinery (NAICS 333242),United States,New York,3,98,2
12565,r026,Semiconductor machinery (NAICS 333242) -> United States -> Arizona,Semiconductor machinery (NAICS 333242),United States,Arizona,3,75,1
12565,r027,Semiconductor machinery (NAICS 333242) -> United States -> All other states,Semiconductor machinery (NAICS 333242),United States,All other states,3,193,4
