table_id,row_id,age_years_full_path,age_years_level_1,age_years_level_2,age_years_hierarchy_depth,field_all_residents,field_female_number,field_female_percent,field_male_number,field_male_percent
3340,r001,Total,Total,,1,328239523,166582199,50.75,161657324,49.25
3340,r002,Total ->   Younger than 5,Total,  Younger than 5,2,19576683,9567476,48.87,10009207,51.13
3340,r003,Total ->   5 to 9,Total,  5 to 9,2,20195895,9873133,48.89,10322762,51.11
3340,r004,Total ->   10 to 14,Total,  10 to 14,2,20798268,10180007,48.95,10618261,51.05
3340,r005,Total ->   15 to 19,Total,  15 to 19,2,21054570,10308963,48.96,10745607,51.04
3340,r006,Total ->   20 to 24,Total,  20 to 24,2,21632940,10568188,48.85,11064752,51.15
3340,r007,Total ->   25 to 29,Total,  25 to 29,2,23509016,11504446,48.94,12004570,51.06
3340,r008,Total ->   30 to 34,Total,  30 to 34,2,22431305,11076695,49.38,11354610,50.62
3340,r009,Total ->   35 to 39,Total,  35 to 39,2,21737521,10852580,49.93,10884941,50.07
3340,r010,Total ->   40 to 44,Total,  40 to 44,2,19921623,10014484,50.27,9907139,49.73
3340,r011,Total ->   45 to 49,Total,  45 to 49,2,20397751,10312396,50.56,10085355,49.44
3340,r012,Total ->   50 to 54,Total,  50 to 54,2,20477151,10390540,50.74,10086611,49.26
3340,r013,Total ->   55 to 59,Total,  55 to 59,2,21877391,11234902,51.35,10642489,48.65
3340,r014,Total ->   60 to 64,Total,  60 to 64,2,20571146,10714416,52.08,9856730,47.92
3340,r015,Total ->   65 to 69,Total,  65 to 69,2,17455001,9255228,53.02,8199773,46.98
3340,r016,Total ->   70 to 74,Total,  70 to 74,2,14028432,7528626,53.67,6499806,46.33
3340,r017,Total ->   75 to 79,Total,  75 to 79,2,9652665,5334166,55.26,4318499,44.74
3340,r018,Total ->   80 to 84,Total,  80 to 84,2,6317207,3637483,57.58,2679724,42.42
3340,r019,Total ->   85 and over,Total,  85 and over,2,6604958,4228470,64.02,2376488,35.98
3340,r020,Age groups,Age groups,,1,,,,,
3340,r021,Age groups -> Younger than 18,Age groups,Younger than 18,2,73039150,35730482,48.92,37308668,51.08
3340,r022,Age groups -> 18 to 64,Age groups,18 to 64,2,201142110,100867744,50.15,100274366,49.85
3340,r023,Age groups ->   18 to 24,Age groups,  18 to 24,2,30219206,14767285,48.87,15451921,51.13
3340,r024,Age groups ->   25 to 44,Age groups,  25 to 44,2,87599465,43448205,49.6,44151260,50.4
3340,r025,Age groups ->   45 to 64,Age groups,  45 to 64,2,83323439,42652254,51.19,40671185,48.81
3340,r026,Age groups -> 65 and over,Age groups,65 and over,2,54058263,29983973,55.47,24074290,44.53
