table_id,row_id,rank,baccalaureate_origin_institution,non_s_e_doctorate_recipients,institutional_control,2018_carnegie_classification
6010,r001,,All institutions,144584,na,na
6010,r002,,Foreign institutions,28380,na,na
6010,r003,,Unknown institutions,11277,na,na
6010,r004,1,"Brigham Young U., Provo",1138,Private,R2: doctoral universities
6010,r005,2,"U. California, Berkeley",1102,Public,R1: doctoral universities
6010,r006,3,"U. Texas, Austin",908,Public,R1: doctoral universities
6010,r007,4,"U. Michigan, Ann Arbor",893,Public,R1: doctoral universities
6010,r008,5,"U. California, Los Angeles",833,Public,R1: doctoral universities
6010,r009,6,Harvard U.,791,Private,R1: doctoral universities
6010,r010,7,U. Florida,781,Public,R1: doctoral universities
6010,r011,8,U. Wisconsin-Madison,750,Public,R1: doctoral universities
6010,r012,9,"U. North Carolina, Chapel Hill",723,Public,R1: doctoral universities
6010,r013,10,"U. Illinois, Urbana-Champaign",700,Public,R1: doctoral universities
6010,r014,11,"U. Virginia, Charlottesville",669,Public,R1: doctoral universities
6010,r015,12,New York U.,664,Private,R1: doctoral universities
6010,r016,13,Yale U.,649,Private,R1: doctoral universities
6010,r017,14,"Pennsylvania State U., University Park and Hershey Medical Center",637,Public,R1: doctoral universities
6010,r018,15,Florida State U.,625,Public,R1: doctoral universities
6010,r019,15,U. Georgia,625,Public,R1: doctoral universities
6010,r020,17,"Ohio State U., Columbus",623,Public,R1: doctoral universities
6010,r021,18,Michigan State U.,607,Public,R1: doctoral universities
6010,r022,19,"Texas A&M U., College Station and Health Science Center",595,Public,R1: doctoral universities
6010,r023,20,"Indiana U., Bloomington",584,Public,R1: doctoral universities
6010,r024,21,Brown U.,574,Private,R1: doctoral universities
6010,r025,22,Columbia U. in the City of New York,571,Private,R1: doctoral universities
6010,r026,23,Cornell U.,565,Private,R1: doctoral universities
6010,r027,24,U. Chicago,550,Private,R1: doctoral universities
6010,r028,25,U. Pennsylvania,512,Private,R1: doctoral universities
6010,r029,26,"Rutgers, State U. New Jersey, New Brunswick",511,Public,R1: doctoral universities
6010,r030,27,Stanford U.,482,Private,R1: doctoral universities
6010,r031,28,"U. Washington, Seattle",473,Public,R1: doctoral universities
6010,r032,29,"U. Minnesota, Twin Cities",468,Public,R1: doctoral universities
6010,r033,30,Northwestern U.,456,Private,R1: doctoral universities
6010,r034,31,Arizona State U.,454,Public,R1: doctoral universities
6010,r035,32,U. Arizona,447,Public,R1: doctoral universities
6010,r036,33,C. of William and Mary,444,Public,R2: doctoral universities
6010,r037,34,Princeton U.,440,Private,R1: doctoral universities
6010,r038,35,"U. Maryland, College Park",424,Public,R1: doctoral universities
6010,r039,35,U. Notre Dame,424,Private,R1: doctoral universities
6010,r040,37,Boston U.,412,Private,R1: doctoral universities
6010,r041,38,U. Iowa,408,Public,R1: doctoral universities
6010,r042,39,U. Colorado Boulder,405,Public,R1: doctoral universities
6010,r043,40,"U. Missouri, Columbia",398,Public,R1: doctoral universities
6010,r044,41,"U. California, San Diego",391,Public,R1: doctoral universities
6010,r045,42,U. Kansas,380,Public,R1: doctoral universities
6010,r046,43,"U. California, Santa Barbara",376,Public,R1: doctoral universities
6010,r047,44,"U. South Florida, Tampa",374,Public,R1: doctoral universities
6010,r048,45,Oberlin C.,365,Private,Baccalaureate colleges: arts and sciences focus
6010,r049,45,"U. Tennessee, Knoxville",365,Public,R1: doctoral universities
6010,r050,47,Texas Tech U.,364,Public,R1: doctoral universities
6010,r051,48,"U. California, Davis",362,Public,R1: doctoral universities
6010,r052,49,"U. California, Santa Cruz",360,Public,R1: doctoral universities
6010,r053,50,Baylor U.,358,Private,R2: doctoral universities
