table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8323,r001,All detailed fields,All detailed fields,,,,1,760156,100.0,69174,100.0,2105,100.0,60203,100.0,45302,100.0,792,100.0,294198,100.0,19471,100.0,24352,100.0,244559,100.0
8323,r002,All detailed fields -> Science,All detailed fields,Science,,,2,509784,67.1,48343,69.9,1443,68.6,39413,65.5,31021,68.5,561,70.8,201768,68.6,13468,69.2,17432,71.6,156335,63.9
8323,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,11244,1.5,926,1.3,34,1.6,389,0.6,407,0.9,13,1.6,5772,2.0,244,1.3,224,0.9,3235,1.3
8323,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9696,1.3,796,1.2,32,1.5,305,0.5,353,0.8,12,1.5,4943,1.7,197,1.0,193,0.8,2865,1.2
8323,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1548,0.2,130,0.2,2,0.1,84,0.1,54,0.1,1,0.1,829,0.3,47,0.2,31,0.1,370,0.2
8323,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,100883,13.3,10508,15.2,253,12.0,10250,17.0,6587,14.5,140,17.7,46065,15.7,3109,16.0,3205,13.2,20766,8.5
8323,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5833,0.8,651,0.9,20,1.0,506,0.8,231,0.5,8,1.0,2562,0.9,176,0.9,138,0.6,1541,0.6
8323,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15694,2.1,1771,2.6,46,2.2,1038,1.7,935,2.1,26,3.3,8208,2.8,499,2.6,404,1.7,2767,1.1
8323,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10620,1.4,1139,1.6,21,1.0,1636,2.7,1323,2.9,16,2.0,4200,1.4,309,1.6,341,1.4,1635,0.7
8323,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,979,0.1,85,0.1,1,0.05,118,0.2,23,0.1,0,0.0,408,0.1,27,0.1,22,0.1,295,0.1
