table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_obtained_a_certification_or_license_for_work_related_reasons,field_primary_field_of_certification_or_license_computer_applications_and_design,field_primary_field_of_certification_or_license_computer_networking_administration_and_security,field_primary_field_of_certification_or_license_other_information_technologies_and_computers,field_primary_field_of_certification_or_license_mathematics_statistics_and_data_analytics,field_primary_field_of_certification_or_license_life_sciences,field_primary_field_of_certification_or_license_physical_sciences,field_primary_field_of_certification_or_license_social_sciences,field_primary_field_of_certification_or_license_engineering,field_primary_field_of_certification_or_license_s_e_related,field_primary_field_of_certification_or_license_non_s_e,field_primary_field_of_certification_or_license_uncodeable_or_missing
5327,r001,All degree levels,All degree levels,,,,1,50524000,20383000,182000,318000,159000,38000,107000,95000,255000,625000,5751000,12522000,330000
5327,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,2,7466000,1629000,123000,228000,108000,3000,29000,42000,136000,381000,107000,428000,43000
5327,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,3,698000,107000,,,,,20000,5000,,S,43000,30000,6000
5327,r004,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,3,3774000,696000,113000,216000,100000,2000,,5000,,5000,29000,199000,25000
5327,r005,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,3,409000,68000,,,,,8000,28000,,2000,15000,15000,0.05
5327,r006,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,3,663000,237000,,,,,,,134000,,8000,90000,2000
5327,r007,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,3,1921000,521000,S,11000,S,0.05,,4000,,374000,12000,94000,9000
5327,r008,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,2,8893000,6568000,18000,27000,17000,25000,26000,28000,36000,114000,5007000,1197000,73000
5327,r009,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,2,34165000,12186000,42000,63000,35000,10000,52000,25000,82000,130000,637000,10896000,214000
5327,r010,All degree levels -> Bachelor's,All degree levels,Bachelor's,,,2,31373000,10458000,123000,233000,113000,29000,70000,48000,24000,375000,2958000,6333000,150000
