table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8451,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,3637,3977,4668,9.3,17.4
8451,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,,2,424,542,599,27.8,10.5
8451,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,Conservation and land management (302),Department of the Interior<sup>b</sup>,,,,3,166,195,231,17.5,18.5
8451,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,,3,258,347,368,34.5,6.1
8451,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,,4,258,347,368,34.5,6.1
8451,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,,2,534,533,614,-0.2,15.2
8451,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,,3,524,523,604,-0.2,15.5
8451,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,,4,1,1,1,0.0,0.0
8451,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,,4,492,492,573,0.0,16.5
8451,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,,4,31,30,30,-3.2,0.0
8451,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,,,,3,10,10,10,0.0,0.0
8451,r012,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,,4,10,10,10,0.0,0.0
8451,r013,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,,2,28,28,34,0.0,21.4
8451,r014,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,Recreational resources (303),Department of the Interior<sup>b</sup>,,,,3,28,28,34,0.0,21.4
8451,r015,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior<sup>b</sup> -> National Park Service,R&D and R&D plant,Recreational resources (303),Department of the Interior<sup>b</sup>,National Park Service,,,4,28,28,34,0.0,21.4
8451,r016,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,,2,146,138,146,-5.5,5.8
8451,r017,R&D and R&D plant -> Water resources (301) -> Department of Defense,R&D and R&D plant,Water resources (301),Department of Defense,,,,3,30,21,21,-30.0,0.0
8451,r018,R&D and R&D plant -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,Water resources (301),Department of Defense,Army Corps of Engineers,,,4,30,21,21,-30.0,0.0
8451,r019,R&D and R&D plant -> Water resources (301) -> Department of Interior<sup>b</sup>,R&D and R&D plant,Water resources (301),Department of Interior<sup>b</sup>,,,,3,116,117,125,0.9,6.8
8451,r020,R&D and R&D plant -> Water resources (301) -> Department of Interior<sup>b</sup> -> Bureau of Reclamation,R&D and R&D plant,Water resources (301),Department of Interior<sup>b</sup>,Bureau of Reclamation,,,4,116,117,125,0.9,6.8
8451,r021,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,,2,2505,2736,3275,9.2,19.7
8451,r022,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,Other natural resources (306),Department of Commerce,,,,3,1813,2044,2297,12.7,12.4
8451,r023,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,1813,2044,2297,12.7,12.4
8451,r024,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support / Spectrum,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support / Spectrum,,5,15,33,59,120.0,78.8
8451,r025,"R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,5,58,84,140,44.8,66.7
8451,r026,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,152,154,144,1.3,-6.5
8451,r027,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,5,206,216,257,4.9,19.0
