table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
3935,r001,All agencies surveyed,All agencies surveyed,,,,1,1245400.4,871785.0,319780.6,53834.8
3935,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
3935,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,128.1,113.1,15.0,0.0
3935,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,82.8,82.8,0.0,0.0
3935,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,45.3,30.3,15.0,0.0
3935,r006,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,285471.9,166826.1,64811.1,53834.8
3935,r007,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,109946.8,84071.8,2890.5,22984.5
3935,r008,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,66747.1,15453.8,24646.1,26647.2
3935,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,13361.5,3195.5,10166.0,0.0
3935,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,66770.7,50766.7,15569.4,434.6
3935,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,28645.8,13338.3,11539.0,3768.4
3935,r012,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,13264.6,13040.7,223.9,0.0
3935,r013,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,13264.6,13040.7,223.9,0.0
3935,r014,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,27760.1,0.0,27760.1,0.0
3935,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,27760.1,0.0,27760.1,0.0
3935,r016,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,3,435.5,435.5,0.0,0.0
3935,r017,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,4,435.5,435.5,0.0,0.0
3935,r018,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
3935,r019,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,918340.2,691369.7,226970.5,0.0
