table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hhes_number_all_s_e_graduate_students,field_hhes_number_female,field_hhes_number_male,field_hhes_all_s_e_graduate_students,field_hhes_female,field_hhes_male
3249,r001,All S&E graduate students,All S&E graduate students,,,,1,41833,21371,20462,14820,8076,6744,35.43,37.79,32.96
3249,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,2,33894,19293,14601,12239,7421,4818,36.11,38.46,33.0
3249,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,3,601,336,265,236,127,109,39.27,37.8,41.13
3249,r004,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,3,7577,4424,3153,2031,1214,817,26.8,27.44,25.91
3249,r005,All S&E graduate students -> Science -> Computer and information sciences,All S&E graduate students,Science,Computer and information sciences,,3,3694,910,2784,952,201,751,25.77,22.09,26.98
3249,r006,"All S&E graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,831,441,390,314,151,163,37.79,34.24,41.79
3249,r007,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,3,1478,482,996,659,245,414,44.59,50.83,41.57
3249,r008,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,838,478,360,312,194,118,37.23,40.59,32.78
3249,r009,All S&E graduate students -> Science -> Natural resources and conservation,All S&E graduate students,Science,Natural resources and conservation,,3,902,546,356,338,196,142,37.47,35.9,39.89
3249,r010,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,3,2540,920,1620,820,314,506,32.28,34.13,31.23
3249,r011,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,3,8303,6536,1767,4103,3260,843,49.42,49.88,47.71
3249,r012,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,3,7130,4220,2910,2474,1519,955,34.7,36.0,32.82
3249,r013,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,2,7939,2078,5861,2581,655,1926,32.51,31.52,32.86
3249,r014,"All S&E graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,366,49,317,68,4,64,18.58,8.16,20.19
3249,r015,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,3,33,12,21,0,0,0,0.0,0.0,0.0
3249,r016,All S&E graduate students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Engineering,Bioengineering and biomedical engineering,,3,792,356,436,197,90,107,24.87,25.28,24.54
3249,r017,All S&E graduate students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Engineering,Biological and biosystems engineering,,3,12,8,4,1,1,0,8.33,12.5,0.0
3249,r018,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,3,363,116,247,64,26,38,17.63,22.41,15.38
3249,r019,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,3,1349,470,879,592,191,401,43.88,40.64,45.62
3249,r020,"All S&E graduate students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Engineering,"Electrical, electronics, and communications engineering",,3,1623,259,1364,621,96,525,38.26,37.07,38.49
3249,r021,"All S&E graduate students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Engineering,"Engineering mechanics, physics, and science",,3,72,18,54,5,2,3,6.94,11.11,5.56
3249,r022,All S&E graduate students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Engineering,Industrial and manufacturing engineering,,3,814,257,557,297,109,188,36.49,42.41,33.75
3249,r023,All S&E graduate students -> Engineering -> Mechanical engineering,All S&E graduate students,Engineering,Mechanical engineering,,3,1375,237,1138,509,80,429,37.02,33.76,37.7
3249,r024,All S&E graduate students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Engineering,Metallurgical and materials engineering,,3,335,108,227,71,26,45,21.19,24.07,19.82
3249,r025,All S&E graduate students -> Engineering -> Mining engineering,All S&E graduate students,Engineering,Mining engineering,,3,21,4,17,0,0,0,0.0,0.0,0.0
3249,r026,All S&E graduate students -> Engineering -> Nanotechnology,All S&E graduate students,Engineering,Nanotechnology,,3,9,2,7,6,1,5,66.67,50.0,71.43
3249,r027,All S&E graduate students -> Engineering -> Nuclear engineering,All S&E graduate students,Engineering,Nuclear engineering,,3,94,20,74,3,0,3,3.19,0.0,4.05
3249,r028,All S&E graduate students -> Engineering -> Petroleum engineering,All S&E graduate students,Engineering,Petroleum engineering,,3,46,12,34,5,2,3,10.87,16.67,8.82
3249,r029,All S&E graduate students -> Engineering -> Engineering nec,All S&E graduate students,Engineering,Engineering nec,,3,635,150,485,142,27,115,22.36,18.0,23.71
3249,r030,All S&E graduate students -> All S&E master's students,All S&E graduate students,All S&E master's students,,,2,26639,13790,12849,11196,6114,5082,42.03,44.34,39.55
3249,r031,All S&E graduate students -> All S&E master's students -> Science,All S&E graduate students,All S&E master's students,Science,,3,21203,12455,8748,9080,5610,3470,42.82,45.04,39.67
3249,r032,All S&E graduate students -> All S&E master's students -> Science -> Agricultural sciences,All S&E graduate students,All S&E master's students,Science,Agricultural sciences,4,457,259,198,221,121,100,48.36,46.72,50.51
3249,r033,All S&E graduate students -> All S&E master's students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E master's students,Science,Biological and biomedical sciences,4,3454,2175,1279,1313,820,493,38.01,37.7,38.55
3249,r034,All S&E graduate students -> All S&E master's students -> Science -> Computer and information sciences,All S&E graduate students,All S&E master's students,Science,Computer and information sciences,4,3320,827,2493,860,189,671,25.9,22.85,26.92
3249,r035,"All S&E graduate students -> All S&E master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,454,230,224,208,95,113,45.81,41.3,50.45
3249,r036,All S&E graduate students -> All S&E master's students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E master's students,Science,Mathematics and statistics,4,958,349,609,538,220,318,56.16,63.04,52.22
3249,r037,All S&E graduate students -> All S&E master's students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E master's students,Science,Multidisciplinary and interdisciplinary studies,4,654,382,272,263,167,96,40.21,43.72,35.29
3249,r038,All S&E graduate students -> All S&E master's students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E master's students,Science,Natural resources and conservation,4,671,409,262,266,156,110,39.64,38.14,41.98
3249,r039,All S&E graduate students -> All S&E master's students -> Science -> Physical sciences,All S&E graduate students,All S&E master's students,Science,Physical sciences,4,612,232,380,364,132,232,59.48,56.9,61.05
3249,r040,All S&E graduate students -> All S&E master's students -> Science -> Psychology,All S&E graduate students,All S&E master's students,Science,Psychology,4,5789,4698,1091,3126,2530,596,54.0,53.85,54.63
3249,r041,All S&E graduate students -> All S&E master's students -> Science -> Social sciences,All S&E graduate students,All S&E master's students,Science,Social sciences,4,4834,2894,1940,1921,1180,741,39.74,40.77,38.2
3249,r042,All S&E graduate students -> All S&E master's students -> Engineering,All S&E graduate students,All S&E master's students,Engineering,,3,5436,1335,4101,2116,504,1612,38.93,37.75,39.31
3249,r043,"All S&E graduate students -> All S&E master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,257,32,225,64,4,60,24.9,12.5,26.67
3249,r044,All S&E graduate students -> All S&E master's students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E master's students,Engineering,Agricultural engineering,4,14,5,9,0,0,0,0.0,0.0,0.0
3249,r045,All S&E graduate students -> All S&E master's students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E master's students,Engineering,Bioengineering and biomedical engineering,4,312,132,180,108,48,60,34.62,36.36,33.33
3249,r046,All S&E graduate students -> All S&E master's students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E master's students,Engineering,Biological and biosystems engineering,4,6,4,2,1,1,0,16.67,25.0,0.0
3249,r047,All S&E graduate students -> All S&E master's students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E master's students,Engineering,Chemical engineering,4,122,35,87,31,9,22,25.41,25.71,25.29
3249,r048,All S&E graduate students -> All S&E master's students -> Engineering -> Civil engineering,All S&E graduate students,All S&E master's students,Engineering,Civil engineering,4,1082,353,729,525,164,361,48.52,46.46,49.52
3249,r049,"All S&E graduate students -> All S&E master's students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Engineering,"Electrical, electronics, and communications engineering",4,1236,206,1030,534,82,452,43.2,39.81,43.88
3249,r050,"All S&E graduate students -> All S&E master's students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Engineering,"Engineering mechanics, physics, and science",4,28,6,22,0,0,0,0.0,0.0,0.0
3249,r051,All S&E graduate students -> All S&E master's students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Engineering,Industrial and manufacturing engineering,4,731,230,501,284,103,181,38.85,44.78,36.13
3249,r052,All S&E graduate students -> All S&E master's students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Engineering,Mechanical engineering,4,959,161,798,429,65,364,44.73,40.37,45.61
3249,r053,All S&E graduate students -> All S&E master's students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Engineering,Metallurgical and materials engineering,4,109,38,71,34,12,22,31.19,31.58,30.99
3249,r054,All S&E graduate students -> All S&E master's students -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Engineering,Mining engineering,4,14,3,11,0,0,0,0.0,0.0,0.0
3249,r055,All S&E graduate students -> All S&E master's students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Engineering,Nanotechnology,4,7,1,6,6,1,5,85.71,100.0,83.33
3249,r056,All S&E graduate students -> All S&E master's students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Engineering,Nuclear engineering,4,35,6,29,3,0,3,8.57,0.0,10.34
3249,r057,All S&E graduate students -> All S&E master's students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Engineering,Petroleum engineering,4,40,11,29,4,1,3,10.0,9.09,10.34
3249,r058,All S&E graduate students -> All S&E master's students -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Engineering,Engineering nec,4,484,112,372,93,14,79,19.21,12.5,21.24
3249,r059,All S&E graduate students -> All S&E doctoral students,All S&E graduate students,All S&E doctoral students,,,2,15194,7581,7613,3624,1962,1662,23.85,25.88,21.83
3249,r060,All S&E graduate students -> All S&E doctoral students -> Science,All S&E graduate students,All S&E doctoral students,Science,,3,12691,6838,5853,3159,1811,1348,24.89,26.48,23.03
3249,r061,All S&E graduate students -> All S&E doctoral students -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Science,Agricultural sciences,4,144,77,67,15,6,9,10.42,7.79,13.43
3249,r062,All S&E graduate students -> All S&E doctoral students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Science,Biological and biomedical sciences,4,4123,2249,1874,718,394,324,17.41,17.52,17.29
3249,r063,All S&E graduate students -> All S&E doctoral students -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Science,Computer and information sciences,4,374,83,291,92,12,80,24.6,14.46,27.49
3249,r064,"All S&E graduate students -> All S&E doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,377,211,166,106,56,50,28.12,26.54,30.12
3249,r065,All S&E graduate students -> All S&E doctoral students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Science,Mathematics and statistics,4,520,133,387,121,25,96,23.27,18.8,24.81
3249,r066,All S&E graduate students -> All S&E doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,184,96,88,49,27,22,26.63,28.13,25.0
3249,r067,All S&E graduate students -> All S&E doctoral students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Science,Natural resources and conservation,4,231,137,94,72,40,32,31.17,29.2,34.04
