table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10310,r001,All agencies,All agencies,,,,,1,45702,52456,58717,65110,68194,73169,73212,77398,76627,77468,76538
10310,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,,
10310,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,161,170,183,181,183,181,183,192,223,216,207
10310,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,1,1,1,0.05,0,0,3,2,2,2,2
10310,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,95,96,110,111,113,114,112,114,118,113,109
10310,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,24,28,24,24,26,26,28,29,30,29,37
10310,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,35,41,41,46,44,41,39,47,73,72,59
10310,r008,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,6,5,7,0,0,0,0,0,0,0,0
10310,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,157,154,171,144,101,99,81,188,139,126,66
10310,r010,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,23,22,22,19,16,17,19,23,38,49,24
10310,r011,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,97,95,85,61,30,41,23,21,34,34,5
10310,r012,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,22,20,46,63,55,41,38,144,67,44,37
10310,r013,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,15,17,18,0,0,0,0,0,0,0,0
10310,r014,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,39147,46082,52095,57457,60119,65817,65252,69065,66406,68562,67142
10310,r015,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,na,na,na,na,na,na,na,na,na,1462,1253
10310,r016,All agencies -> Departments -> Department of Defense -> Defense agencies and activities,All agencies,Departments,Department of Defense,Defense agencies and activities,,4,9422,10291,11189,13573,12563,14037,13875,14034,13821,na,na
10310,r017,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,13383,16930,19108,18725,20337,23724,23640,26346,24843,24826,25819
10310,r018,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,5965,6492,7752,8508,9866,9907,10247,10241,9178,8353,7887
10310,r019,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,10144,12133,13748,16344,17174,17967,17306,18257,18367,16497,16314
10310,r020,"All agencies -> Departments -> Department of Defense -> Operational Test and Evaluation, Director",All agencies,Departments,Department of Defense,"Operational Test and Evaluation, Director",,4,233,236,298,308,179,182,185,186,197,NA,NA
10310,r021,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,na,na,na,na,na,na,na,na,na,17423,15868
10310,r022,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,102,101,101,102,121,122,124,120,138,133,130
10310,r023,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,1982,2151,2056,2030,1842,2021,2139,2702,3087,2596,2591
10310,r024,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,NA,NA,NA,NA,NA,NA,0,0,173,47,46
10310,r025,All agencies -> Departments -> Department of Energy -> Bonneville Power Administration,All agencies,Departments,Department of Energy,Bonneville Power Administration,,4,9,9,9,2,1,2,3,1,1,8,9
10310,r026,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,na,na,na,14,40,35,55,25,40,27,37
10310,r027,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,446,372,317,285,219,319,300,930,983,396,545
10310,r028,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,73,49,30,35,24,16,17,19,59,45,31
10310,r029,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,218,383,295,350,218,202,221,240,267,226,202
10310,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,1230,1317,1400,1341,1339,1437,1540,1486,1497,1786,1695
10310,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,479,567,622,539,517,627,740,680,537,796,619
10310,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Fissile Materials Disposition,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Fissile Materials Disposition,5,27,25,1,0,0,0,NA,NA,NA,NA,NA
10310,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,637,650,709,741,720,730,712,756,914,942,1040
10310,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,87,75,69,61,101,79,88,50,46,48,36
10310,r035,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,0,18,5,1,1,10,3,0,67,61,25
10310,r036,All agencies -> Departments -> Department of Energy -> Office of Intelligence,All agencies,Departments,Department of Energy,Office of Intelligence,,4,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA
