table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2020_all_units_with_students,field_2020_units_with_master_s_students,field_2020_units_with_doctoral_students,field_2021_all_units_with_students,field_2021_units_with_master_s_students,field_2021_units_with_doctoral_students,field_2022_all_units_with_students,field_2022_units_with_master_s_students,field_2022_units_with_doctoral_students
10631,r001,All surveyed fields<sup>a</sup>,All surveyed fields<sup>a</sup>,,,,1,13659,10704,7205,13928,10864,7346,14354,11148,7545
10631,r002,All surveyed fields<sup>a</sup> -> Science,All surveyed fields<sup>a</sup>,Science,,,2,9720,7364,5161,9898,7467,5256,10192,7666,5393
10631,r003,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,,3,333,299,212,331,297,211,352,308,223
10631,r004,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Agricultural sciences,4,300,275,187,298,271,187,318,283,201
10631,r005,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences<sup>b</sup>,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences<sup>b</sup>,4,33,24,25,33,26,24,34,25,22
10631,r006,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,,3,2632,1591,1814,2694,1604,1860,2776,1696,1890
10631,r007,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biochemistry,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biochemistry,4,180,87,150,183,85,153,187,90,158
10631,r008,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biology ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biology ,4,382,336,162,383,338,157,389,341,158
10631,r009,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biomedical sciences,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biomedical sciences,4,174,119,100,175,112,106,185,130,107
10631,r010,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biophysics,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biophysics,4,39,6,39,42,6,41,38,6,38
10631,r011,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,194,139,120,196,146,123,204,153,126
10631,r012,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biotechnology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biotechnology,4,85,80,7,85,78,9,88,82,8
10631,r013,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Botany and plant biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Botany and plant biology,4,68,55,58,61,51,55,65,55,57
10631,r014,"All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,186,76,154,199,81,161,195,92,157
10631,r015,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Ecology and population biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Ecology and population biology,4,108,74,78,109,73,80,113,74,80
10631,r016,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Epidemiology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Epidemiology,4,86,61,63,88,61,65,101,69,70
10631,r017,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Genetics,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Genetics,4,93,49,71,93,46,72,99,50,76
10631,r018,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,172,82,143,180,84,149,184,88,150
