table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_hierarchy_depth,field_all_fields,field_all_s_e_fields,field_engineering,field_agricultural_sciences,field_biological_sciences,field_computer_sciences,field_earth_atmospheric_and_ocean_sciences,field_mathematics,field_medical_and_other_health_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_non_s_e
1554,r001,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>",,,1,246126,210053,72416,7886,34142,13785,4732,11889,7750,28671,4186,24596,36073
1554,r002,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",,2,204400,176632,64660,5725,28894,12033,3853,9761,6433,23514,3182,18577,27768
1554,r003,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> China<sup>b</sup>","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",China<sup>b</sup>,3,71864,66690,24714,1748,11879,4962,1623,4874,1492,10923,598,3877,5174
1554,r004,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> India","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",India,3,31069,29050,12222,775,5933,2399,343,756,1396,3432,274,1520,2019
1554,r005,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> South Korea","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",South Korea,3,23697,18160,7476,584,2132,941,272,851,663,1804,454,2983,5537
1554,r006,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Taiwan","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Taiwan,3,12036,9127,3253,250,1823,419,143,368,713,937,258,963,2909
1554,r007,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Canada","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Canada,3,8178,5765,955,168,1219,220,200,282,322,671,664,1064,2413
1554,r008,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Turkey","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Turkey,3,7959,6629,2814,226,590,451,78,338,50,662,144,1276,1330
1554,r009,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Thailand","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Thailand,3,4928,4261,1665,359,496,212,36,137,469,366,32,489,667
1554,r010,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Iran","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Iran,3,4522,4345,3113,43,179,307,49,132,37,324,20,141,177
1554,r011,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Japan","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Japan,3,4011,2991,443,76,433,82,83,94,164,335,179,1102,1020
1554,r012,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Mexico","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Mexico,3,3700,3131,831,402,440,114,110,190,73,287,36,648,569
1554,r013,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Germany","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Germany,3,3523,2746,474,70,447,169,123,213,63,469,134,584,777
1554,r014,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Brazil","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Brazil,3,2828,2352,420,307,444,137,81,126,149,113,46,529,476
1554,r015,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Russia","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Russia,3,2827,2496,382,16,342,136,77,279,17,863,44,340,331
1554,r016,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Italy","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Italy,3,2582,1998,502,44,208,98,83,151,22,314,38,538,584
1554,r017,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Colombia","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Colombia,3,2410,2028,651,133,397,54,94,105,58,178,34,324,382
1554,r018,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Egypt","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Egypt,3,2065,1870,929,70,258,169,45,20,123,129,7,120,195
1554,r019,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> France","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",France,3,2045,1646,558,40,223,61,99,83,23,288,17,254,399
1554,r020,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Romania","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Romania,3,2041,1782,256,19,215,253,35,302,16,451,39,196,259
1554,r021,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Saudi Arabia","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Saudi Arabia,3,1938,1384,498,51,146,149,37,49,201,72,15,166,554
1554,r022,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> United Kingdom","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",United Kingdom,3,1845,1300,137,29,254,42,120,114,66,198,78,262,545
1554,r023,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Jordan","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Jordan,3,1743,1519,636,66,155,136,s,84,178,144,s,101,224
1554,r024,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Greece","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Greece,3,1711,1511,557,43,167,217,25,98,37,182,31,154,200
1554,r025,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Spain","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Spain,3,1634,1032,258,28,141,50,39,50,37,104,16,309,602
1554,r026,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Bangladesh","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Bangladesh,3,1628,1515,747,31,119,218,s,26,38,150,s,162,113
1554,r027,"All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup> -> Top 25 regions, countries, or economies of origin -> Argentina","All regions, countries, or economies of origin (212 regions, countries, or economies)<sup>a</sup>","Top 25 regions, countries, or economies of origin",Argentina,3,1616,1304,169,147,254,37,27,39,26,118,12,475,312
