table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_2016,field_2017,field_2018,field_2019,field_preliminary_2020
3775,r001,All agencies,All agencies,,,,1,48728,49104,54837,61306,65622
3775,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,,
3775,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,3,202,202,222,230,215
3775,r004,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,198,310,210,253,251
3775,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,37597,37695,45321,50511,53996
3775,r006,All agencies -> Departments -> Department of Defense -> Advanced technology,All agencies,Departments,Department of Defense,Advanced technology,4,5467,5708,6367,6923,7302
3775,r007,All agencies -> Departments -> Department of Defense -> Major systems,All agencies,Departments,Department of Defense,Major systems,4,32129,31987,38953,43588,46695
3775,r008,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,3,81,88,76,47,51
3775,r009,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,3,2743,2724,2324,3007,3454
3775,r010,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,87,97,110,837,819
3775,r011,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,365,581,543,368,275
3775,r012,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,,3,24,23,22,0,0
3775,r013,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,3,131,141,116,137,165
3775,r014,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,51,40,15,16,17
3775,r015,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,3,4,0,0,0,0
3775,r016,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,312,253,295,267,422
3775,r017,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,3,3,7,0,11,11
3775,r018,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,18,14,29,30,32
3775,r019,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,,
3775,r020,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,3,44,0,46,49,49
3775,r021,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,3,78,76,75,81,77
3775,r022,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,3,0,1,1,0,0
3775,r023,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,3,1,1,3,1,2
3775,r024,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,3,6791,6849,5424,5459,5785
3775,r025,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,3,NA,3,7,4,2
