table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_hierarchy_depth,field_1990_number,field_1990_percent,field_1995_number,field_1995_percent,field_2000_number,field_2000_percent,field_2005_number,field_2005_percent,field_2010_number,field_2010_percent,field_2015_number,field_2015_percent,field_2020_number,field_2020_percent
4651,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,36064,100.0,41576,100.0,41296,100.0,43319,100.0,48012,100.0,54879,100.0,55278,100.0
4651,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,22960,63.7,25160,60.5,23165,56.1,23737,54.8,25524,53.2,29532,53.8,29886,54.1
4651,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,13104,36.3,16416,39.5,18131,43.9,19582,45.2,22488,46.8,25347,46.2,25392,45.9
4651,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,6655,100.0,7956,100.0,8611,100.0,9296,100.0,11314,100.0,12492,100.0,12560,100.0
4651,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,4163,62.6,4598,57.8,4568,53.0,4561,49.1,5101,45.1,5563,44.5,5553,44.2
4651,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2492,37.4,3358,42.2,4043,47.0,4735,50.9,6213,54.9,6929,55.5,7007,55.8
4651,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,4212,100.0,4519,100.0,4063,100.0,4357,100.0,4994,100.0,5915,100.0,6245,100.0
4651,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3421,81.2,3499,77.4,3041,74.8,3141,72.1,3379,67.7,3928,66.4,4177,66.9
4651,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,791,18.8,1020,22.6,1022,25.2,1216,27.9,1615,32.3,1987,33.6,2068,33.1
4651,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1597,100.0,2178,100.0,1907,100.0,2329,100.0,3223,100.0,3816,100.0,4392,100.0
4651,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,1329,83.2,1727,79.3,1507,79.0,1782,76.5,2409,74.7,2877,75.4,3297,75.1
4651,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,268,16.8,451,20.7,400,21.0,547,23.5,814,25.3,939,24.6,1095,24.9
