table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9854,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,339', '&nbsp;']","['6,124,669', '&nbsp;']","['9,611', '&nbsp;']","['2,590,797', '&nbsp;']","['5,727', '&nbsp;']","['3,533,871', '&nbsp;']"
9854,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['2,029', '&nbsp;']","['747,124', '&nbsp;']","['941', '&nbsp;']","['326,147', '&nbsp;']","['1,089', '&nbsp;']","['420,977', '&nbsp;']"
9854,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['71', 'r']","['18,270', 'r']","['16', '&nbsp;']","['7,327', '&nbsp;']","['54', 'r']","['10,944', 'r']"
9854,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['20', '&nbsp;']","['7,096', 'r']","['20', '&nbsp;']","['7,096', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
9854,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['134', '&nbsp;']","['0', '&nbsp;']","['134', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9854,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9854,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9854,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['739', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['739', '&nbsp;']"
9854,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['320', '&nbsp;']","['132,255', '&nbsp;']","['164', '&nbsp;']","['65,465', '&nbsp;']","['156', '&nbsp;']","['66,790', '&nbsp;']"
9854,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['133', '&nbsp;']","['96,666', '&nbsp;']","['91', '&nbsp;']","['53,353', '&nbsp;']","['43', '&nbsp;']","['43,313', '&nbsp;']"
9854,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['186', '&nbsp;']","['35,589', '&nbsp;']","['74', '&nbsp;']","['12,112', '&nbsp;']","['112', '&nbsp;']","['23,477', '&nbsp;']"
