table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_doj,field_dot,field_ed,field_epa,field_hhs,field_nsf,field_ssa,field_usda
7310,r001,All states and outlying areas,All states and outlying areas,,1,1621880.0,24975.8,62.4,42636.0,500.0,15888.2,7568.6,4064.0,1009651.3,462458.7,1143.1,52931.9
7310,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,28816.5,0.0,0.0,225.4,0.0,0.0,0.0,0.0,17076.7,11265.3,0.0,249.2
7310,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,6924.1,0.0,0.0,0.0,0.0,262.4,0.0,0.0,2372.3,4289.3,0.0,0.0
7310,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,18105.3,0.0,0.0,0.0,0.0,304.8,0.0,2290.0,6442.0,8834.4,0.0,234.2
7310,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,16162.7,0.0,0.0,0.0,0.0,175.6,0.0,0.0,9574.8,5567.8,0.0,844.5
7310,r006,All states and outlying areas -> California,All states and outlying areas,California,2,191503.3,0.0,0.0,2660.3,0.0,2153.5,0.0,0.0,132733.3,47180.8,15.2,6760.2
7310,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,45459.2,12668.5,0.0,483.7,0.0,305.4,0.0,0.0,18272.6,13492.7,0.0,236.3
7310,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,33714.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22531.1,7754.0,0.0,3429.0
7310,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,3791.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.3,2343.0,0.0,150.0
7310,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,17380.0,5040.4,0.0,0.0,0.0,0.0,0.0,0.0,7555.5,4111.2,23.0,650.0
7310,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,49066.1,0.0,0.0,598.2,0.0,1225.7,0.0,0.0,16569.5,30030.7,0.0,642.1
7310,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,42083.4,0.0,0.0,628.5,0.0,0.0,100.7,0.0,27044.2,14174.1,0.0,136.0
7310,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,9597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.6,3248.4,0.0,1447.1
7310,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,5422.7,0.0,0.0,1093.1,0.0,0.0,0.0,0.0,1074.0,1683.7,0.0,1571.8
7310,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,68330.9,0.0,0.0,2172.7,0.0,0.0,0.0,0.0,42956.3,22557.6,0.0,644.2
7310,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,22481.9,0.0,0.0,990.8,0.0,0.0,0.0,0.0,15363.7,5947.4,0.0,180.0
7310,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,20086.6,0.0,0.0,0.0,0.0,174.7,0.0,161.0,9860.0,5593.9,0.0,4296.9
7310,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,7030.2,0.0,0.0,0.0,0.0,0.0,28.7,900.0,3323.1,2593.1,0.0,185.3
7310,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,14298.3,0.0,0.0,0.0,0.0,0.0,14.2,0.0,8785.8,5271.8,0.0,226.5
7310,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,11906.8,0.0,0.0,0.0,0.0,263.6,218.4,200.0,5469.3,5469.8,0.0,285.7
7310,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,4409.7,0.0,0.0,0.0,0.0,616.5,0.0,0.0,0.0,3779.8,0.0,13.3
7310,r022,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,2,58063.3,6866.3,0.0,0.0,0.0,307.4,60.2,0.0,36801.1,10156.3,0.0,3872.1
7310,r023,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,2,69758.1,0.0,62.4,6898.7,0.0,320.0,32.2,0.0,41997.4,19926.6,325.8,195.0
7310,r024,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,2,50006.4,0.0,0.0,1991.6,0.0,473.6,0.0,0.0,34832.0,8049.5,38.6,4621.1
7310,r025,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,2,33949.6,0.0,0.0,0.0,0.0,0.0,1269.2,0.0,18764.4,10828.3,0.0,3087.8
7310,r026,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,2,6572.0,0.0,0.0,0.0,0.0,0.0,843.7,0.0,893.2,3881.0,0.0,954.0
7310,r027,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,2,38544.1,0.0,0.0,483.9,0.0,167.8,0.0,200.0,30064.1,6858.7,0.0,769.6
7310,r028,All states and outlying areas -> Montana,All states and outlying areas,Montana,2,8312.2,0.0,0.0,15.0,0.0,46.7,0.0,0.0,3027.1,5087.1,0.0,136.4
7310,r029,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,2,11165.2,0.0,0.0,1440.0,0.0,476.0,193.3,0.0,6101.1,1315.5,0.0,1639.4
7310,r030,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,2,4379.0,0.0,0.0,979.8,0.0,245.6,0.0,0.0,1223.3,1331.3,0.0,599.0
7310,r031,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,2,4573.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2356.9,2216.7,0.0,0.0
7310,r032,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,2,25093.5,0.0,0.0,0.0,0.0,313.0,0.0,300.0,11682.9,12162.7,0.0,634.9
7310,r033,All states and outlying areas -> New Mexico,All states and outlying areas,New Mexico,2,26560.1,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,11537.2,13952.2,0.0,20.7
7310,r034,All states and outlying areas -> New York,All states and outlying areas,New York,2,108497.6,0.0,0.0,161.0,0.0,1753.4,296.0,0.0,83060.4,22163.8,0.0,1062.9
7310,r035,All states and outlying areas -> North Carolina,All states and outlying areas,North Carolina,2,84347.9,249.5,0.0,2858.5,0.0,766.6,1732.1,0.0,55584.9,22775.2,0.0,381.0
7310,r036,All states and outlying areas -> North Dakota,All states and outlying areas,North Dakota,2,6793.1,0.0,0.0,0.0,0.0,155.5,0.0,0.0,2209.9,3346.4,0.0,1081.3
