table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6087,r001,All detailed fields,All detailed fields,,,,1,697813,100.0,414478,100.0,283335,100.0,65681,100.0,29661,100.0
6087,r002,All detailed fields -> Science,All detailed fields,Science,,,2,464646,66.6,267904,64.6,196742,69.4,38741,59.0,18212,61.4
6087,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,10800,1.5,6487,1.6,4313,1.5,1678,2.6,964,3.3
6087,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9380,1.3,5589,1.3,3791,1.3,1046,1.6,650,2.2
6087,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1420,0.2,898,0.2,522,0.2,632,1.0,314,1.1
6087,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,94825,13.6,39920,9.6,54905,19.4,21902,33.3,8112,27.3
6087,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5537,0.8,889,0.2,4648,1.6,1863,2.8,800,2.7
6087,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15649,2.2,8381,2.0,7268,2.6,2169,3.3,776,2.6
6087,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10412,1.5,5898,1.4,4514,1.6,1879,2.9,406,1.4
6087,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,868,0.1,8,0.05,860,0.3,147,0.2,66,0.2
6087,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6482,0.9,3143,0.8,3339,1.2,830,1.3,380,1.3
6087,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3244,0.5,3143,0.8,101,0.05,96,0.1,95,0.3
6087,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1631,0.2,376,0.1,1255,0.4,579,0.9,258,0.9
6087,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5962,0.9,954,0.2,5008,1.8,1661,2.5,548,1.8
6087,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3777,0.5,1052,0.3,2725,1.0,467,0.7,230,0.8
6087,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,5185,0.7,3153,0.8,2032,0.7,307,0.5,126,0.4
6087,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2802,0.4,620,0.1,2182,0.8,1485,2.3,545,1.8
6087,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,5773,0.8,1649,0.4,4124,1.5,2028,3.1,750,2.5
6087,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1618,0.2,378,0.1,1240,0.4,722,1.1,225,0.8
6087,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5820,0.8,545,0.1,5275,1.9,2075,3.2,789,2.7
6087,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,3359,0.5,2370,0.6,989,0.3,191,0.3,143,0.5
6087,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,858,0.1,105,0.05,753,0.3,1263,1.9,401,1.4
6087,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,2944,0.4,770,0.2,2174,0.8,1026,1.6,394,1.3
6087,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,5802,0.8,3044,0.7,2758,1.0,1804,2.7,731,2.5
6087,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,2047,0.3,869,0.2,1178,0.4,397,0.6,137,0.5
6087,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,5055,0.7,2573,0.6,2482,0.9,913,1.4,312,1.1
6087,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,98864,14.2,80690,19.5,18174,6.4,823,1.3,458,1.5
6087,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,4375,0.6,3419,0.8,956,0.3,37,0.1,43,0.1
6087,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,29107,4.2,23625,5.7,5482,1.9,187,0.3,104,0.4
6087,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,4,7293,1.0,7023,1.7,270,0.1,6,0.05,2,0.05
6087,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,32328,4.6,22670,5.5,9658,3.4,466,0.7,218,0.7
6087,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,4,12916,1.9,11671,2.8,1245,0.4,40,0.1,21,0.1
6087,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,4,6023,0.9,5618,1.4,405,0.1,18,0.05,14,0.05
6087,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,4,6822,1.0,6664,1.6,158,0.1,69,0.1,56,0.2
