table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
2770,r001,Total,Total,,,1,3190,2983,192,15
2770,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,857,721,129,7
2770,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,660,535,118,7
2770,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,197,186,11,0
2770,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,119,112,5,2
2770,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,72,66,5,1
2770,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,47,46,0,1
2770,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2184,2126,52,6
2770,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,503,480,20,3
2770,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1681,1646,32,3
2770,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,30,24,6,0
