table_id,row_id,rank,broad_field_and_baccalaureate_origin_institution,doctorate_recipients,institutional_yield_ratio,institutional_control,2018_carnegie_classification
6012,r001,,Life sciencesa,,,,
6012,r002,1,California Institute of Technology,163,6.8,Private,R1: doctoral universities
6012,r003,2,Reed C.,170,5.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r004,3,Swarthmore C.,200,5.0,Private,Baccalaureate colleges: arts and sciences focus
6012,r005,4,Grinnell C.,188,4.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r006,5,Carleton C.,242,4.6,Private,Baccalaureate colleges: arts and sciences focus
6012,r007,6,Massachusetts Institute of Technology,566,4.4,Private,R1: doctoral universities
6012,r008,7,Haverford C.,132,4.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r009,8,Pomona C.,169,4.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r010,9,Harvey Mudd C.,72,3.9,Private,Baccalaureate colleges: arts and sciences focus
6012,r011,10,U. Chicago,456,3.8,Private,R1: doctoral universities
6012,r012,,Physical sciences and earth sciences,,,,
6012,r013,1,California Institute of Technology,350,14.6,Private,R1: doctoral universities
6012,r014,2,Harvey Mudd C.,155,8.3,Private,Baccalaureate colleges: arts and sciences focus
6012,r015,3,Carleton C.,221,4.2,Private,Baccalaureate colleges: arts and sciences focus
6012,r016,4,Reed C.,111,3.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r017,5,Massachusetts Institute of Technology,421,3.2,Private,R1: doctoral universities
6012,r018,6,New Mexico Institute of Mining and Technology,59,2.9,Public,M3: master's institutions - smaller programs
6012,r019,7,Haverford C.,81,2.5,Private,Baccalaureate colleges: arts and sciences focus
6012,r020,8,Swarthmore C.,98,2.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r021,9,Colorado School of Mines,148,2.4,Public,R2: doctoral universities
6012,r022,10,Whitman C.,92,2.3,Private,Baccalaureate colleges: arts and sciences focus
6012,r023,,Mathematics and computer sciences,,,,
6012,r024,1,Harvey Mudd C.,137,7.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r025,2,California Institute of Technology,173,7.2,Private,R1: doctoral universities
6012,r026,3,Massachusetts Institute of Technology,322,2.5,Private,R1: doctoral universities
6012,r027,4,Swarthmore C.,70,1.7,Private,Baccalaureate colleges: arts and sciences focus
6012,r028,5,U. Chicago,199,1.6,Private,R1: doctoral universities
6012,r029,6,Carnegie Mellon U.,227,1.6,Private,R1: doctoral universities
6012,r030,7,Princeton U.,200,1.6,Private,R1: doctoral universities
6012,r031,8,Carleton C.,71,1.4,Private,Baccalaureate colleges: arts and sciences focus
6012,r032,9,"Williams C., Williamstown",77,1.3,Private,Baccalaureate colleges: arts and sciences focus
6012,r033,10,Reed C.,43,1.3,Private,Baccalaureate colleges: arts and sciences focus
6012,r034,,Psychology and social sciences ,,,,
6012,r035,1,Swarthmore C.,208,5.2,Private,Baccalaureate colleges: arts and sciences focus
6012,r036,2,Reed C.,158,4.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r037,3,"Williams C., Williamstown",232,4.1,Private,Baccalaureate colleges: arts and sciences focus
6012,r038,4,U. Chicago,491,4.0,Private,R1: doctoral universities
6012,r039,5,Pomona C.,158,3.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r040,6,Carleton C.,196,3.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r041,7,Grinnell C.,147,3.7,Private,Baccalaureate colleges: arts and sciences focus
6012,r042,8,Wesleyan U.,290,3.6,Private,Baccalaureate colleges: arts and sciences focus
6012,r043,9,Wellesley C.,233,3.6,Private,Baccalaureate colleges: arts and sciences focus
6012,r044,10,Haverford C.,113,3.5,Private,Baccalaureate colleges: arts and sciences focus
6012,r045,,Engineering,,,,
6012,r046,1,California Institute of Technology,257,10.7,Private,R1: doctoral universities
6012,r047,2,Harvey Mudd C.,153,8.2,Private,Baccalaureate colleges: arts and sciences focus
6012,r048,3,Massachusetts Institute of Technology,834,6.4,Private,R1: doctoral universities
6012,r049,4,Cooper Union for the Advancement of Science and Art,122,5.6,Private,Baccalaureate colleges: diverse fields
6012,r050,5,Rose-Hulman Institute of Technology,178,4.2,Private,Special focus 4 year: engineering
6012,r051,6,Case Western Reserve U.,319,3.5,Private,R1: doctoral universities
6012,r052,7,Colorado School of Mines,213,3.4,Public,R2: doctoral universities
6012,r053,8,"Rensselaer Polytechnic Institute, Troy",448,3.4,Private,R1: doctoral universities
6012,r054,9,Illinois Institute of Technology,142,3.1,Private,R2: doctoral universities
6012,r055,10,Rice U.,255,3.0,Private,R1: doctoral universities
6012,r056,,Education,,,,
6012,r057,1,Tougaloo C.,28,1.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r058,2,Spelman C.,90,1.8,Private,Baccalaureate colleges: arts and sciences focus
6012,r059,3,Alcorn State U.,57,1.3,Public,M2: master's institutions - medium programs
6012,r060,4,Jackson State U.,117,1.3,Public,R2: doctoral universities
6012,r061,5,Swarthmore C.,49,1.2,Private,Baccalaureate colleges: arts and sciences focus
6012,r062,6,Earlham C.,30,1.1,Private,Baccalaureate colleges: arts and sciences focus
