table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_capital_expenditures,field_capital_expenditures_for_domestic_r_d_r_d_capital_expenditures_all_types_,field_capital_expenditures_for_domestic_r_d_land_acquisition,field_capital_expenditures_for_domestic_r_d_buildings_and_land_improvement,field_capital_expenditures_for_domestic_r_d_equipment,field_capital_expenditures_for_domestic_r_d_capitalized_software,field_capital_expenditures_for_domestic_r_d_all_other,field_share_of_r_d_capital_expenditures_to_capital_expenditures_
8661,r001,All industries,All industries,,,,,1,na,"['686,393', '']","['32,494', '']","['147', '']","['4,060', '']","['15,731', '']","['8,436', '']","['4,120', '']",4.7
8661,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['288,842', '']","['19,727', '']","['123', '']","['3,073', '']","['11,666', '']","['2,576', '']","['2,289', '']",6.8
8661,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['18,659', '']","['449', '']","['17', '']","['112', '']","['224', '']","['62', '']","['34', '']",2.4
8661,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['57,186', '']","['5,311', '']","['19', '']","['1,661', '']","['2,336', '']","['452', '']","['844', '']",9.3
8661,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['22,872', '']","['4,619', '']","['16', '']","['1,545', '']","['1,841', '']","['425', '']","['792', '']",20.2
8661,r006,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['10,040', '']","['310', '']","['*', '']","['65', '']","['154', '']","['5', '']","['85', '']",3.1
8661,r007,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['4,747', '']","['166', 'i']","['0', '']","['25', 'i']","['125', 'i']","['1', 'i']","['16', 'i']",3.5
8661,r008,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['9,752', '']","['96', '']","['0', '']","['17', '']","['66', '']","['*', '']","['13', '']",1.0
8661,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['5,454', '']","['278', '']","['30', '']","['20', '']","['157', '']","['17', '']","['55', '']",5.1
8661,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,259', '']","['1,298', '']","['2', '']","['157', '']","['727', '']","['290', '']","['122', '']",8.0
