table_id,row_id,technology_transfer_activity_full_path,technology_transfer_activity_level_1,technology_transfer_activity_level_2,technology_transfer_activity_level_3,technology_transfer_activity_hierarchy_depth,field_2007,field_2012,field_2017
1895,r001,Invention disclosures and patenting,Invention disclosures and patenting,,,1,,,
1895,r002,Invention disclosures and patenting -> Inventions disclosed,Invention disclosures and patenting,Inventions disclosed,,2,14398,19827,24998
1895,r003,Invention disclosures and patenting -> Patent applications,Invention disclosures and patenting,Patent applications,,2,11797,14192,15335
1895,r004,Invention disclosures and patenting -> Patents issued,Invention disclosures and patenting,Patents issued,,2,3622,5153,7459
1895,r005,Licensing,Licensing,,,1,,,
1895,r006,"Licensing -> All licenses, total active in the year",Licensing,"All licenses, total active in the year",,2,30351,40006,45657
1895,r007,"Licensing -> All licenses, total active in the year -> Licenses issued",Licensing,"All licenses, total active in the year",Licenses issued,3,4354,5130,6283
1895,r008,Startup companies,Startup companies,,,1,,,
1895,r009,Startup companies -> Startup companies formed,Startup companies,Startup companies formed,,2,555,705,1080
1895,r010,Startup companies -> Operational startups,Startup companies,Operational startups,,2,3388,4002,6050
