table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
10098,r001,Alabama,Alabama,,,,1,"['1,434,118', '']"
10098,r002,Alabama -> Public,Alabama,Public,,,2,"['1,411,601', '']"
10098,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,,3,"['9,611', '']"
10098,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,,3,"['3,178', '']"
10098,r005,Alabama -> Public -> Auburn U. System,Alabama,Public,Auburn U. System,,3,"['305,137', '']"
10098,r006,"Alabama -> Public -> Auburn U. System -> Auburn U., Auburn",Alabama,Public,Auburn U. System,"Auburn U., Auburn",4,"['304,439', '']"
10098,r007,"Alabama -> Public -> Auburn U. System -> Auburn U., Montgomery",Alabama,Public,Auburn U. System,"Auburn U., Montgomery",4,"['698', '']"
10098,r008,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,,3,"['197', '']"
10098,r009,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,,3,"['2,517', '']"
10098,r010,Alabama -> Public -> U. Alabama System,Alabama,Public,U. Alabama System,,3,"['1,046,216', '']"
10098,r011,"Alabama -> Public -> U. Alabama System -> U. Alabama, Birmingham",Alabama,Public,U. Alabama System,"U. Alabama, Birmingham",4,"['713,480', '']"
10098,r012,"Alabama -> Public -> U. Alabama System -> U. Alabama, Huntsville",Alabama,Public,U. Alabama System,"U. Alabama, Huntsville",4,"['169,532', '']"
10098,r013,"Alabama -> Public -> U. Alabama System -> U. Alabama, Tuscaloosa",Alabama,Public,U. Alabama System,"U. Alabama, Tuscaloosa",4,"['163,204', '']"
10098,r014,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,,3,"['650', '']"
10098,r015,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,,3,"['43,491', '']"
10098,r016,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,,3,"['604', '']"
