table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9852,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['78', '&nbsp;']","['36,232', '&nbsp;']","['42', '&nbsp;']","['21,551', '&nbsp;']","['37', '&nbsp;']","['14,681', '&nbsp;']"
9852,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['34', '&nbsp;']","['13,976', '&nbsp;']","['17', '&nbsp;']","['8,486', '&nbsp;']","['16', '&nbsp;']","['5,489', '&nbsp;']"
9852,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['46', '&nbsp;']","['22,257', '&nbsp;']","['25', 'r']","['13,065', 'r']","['22', '&nbsp;']","['9,192', '&nbsp;']"
9852,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['4', '&nbsp;']","['1,471', 'r']","['2', 'r']","['1,094', 'r']","['3', 'r']","['377', '&nbsp;']"
9852,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['308', '&nbsp;']","['171,640', '&nbsp;']","['120', '&nbsp;']","['93,184', 'r']","['187', '&nbsp;']","['78,456', '&nbsp;']"
9852,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,774', '&nbsp;']","['7,141,522', '&nbsp;']","['9,012', '&nbsp;']","['3,244,599', '&nbsp;']","['4,760', '&nbsp;']","['3,896,923', '&nbsp;']"
9852,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['551', '&nbsp;']","['172,456', '&nbsp;']","['213', '&nbsp;']","['40,464', '&nbsp;']","['339', '&nbsp;']","['131,992', '&nbsp;']"
9852,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,177', '&nbsp;']","['961,919', '&nbsp;']","['1,088', '&nbsp;']","['295,126', '&nbsp;']","['1,088', '&nbsp;']","['666,793', '&nbsp;']"
9852,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,583', '&nbsp;']","['657,405', '&nbsp;']","['808', '&nbsp;']","['219,923', '&nbsp;']","['774', '&nbsp;']","['437,482', '&nbsp;']"
9852,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['595', '&nbsp;']","['304,514', '&nbsp;']","['281', '&nbsp;']","['75,204', '&nbsp;']","['315', '&nbsp;']","['229,310', '&nbsp;']"
9852,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,954', '&nbsp;']","['667,715', '&nbsp;']","['1,277', '&nbsp;']","['278,295', '&nbsp;']","['678', '&nbsp;']","['389,420', '&nbsp;']"
9852,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,533', '&nbsp;']","['1,975,063', '&nbsp;']","['4,117', '&nbsp;']","['1,043,298', '&nbsp;']","['1,414', '&nbsp;']","['931,765', '&nbsp;']"
9852,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,557', '&nbsp;']","['3,364,369', '&nbsp;']","['2,318', '&nbsp;']","['1,587,415', '&nbsp;']","['1,240', '&nbsp;']","['1,776,953', '&nbsp;']"
9852,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['356', '&nbsp;']","['216,133', '&nbsp;']","['203', '&nbsp;']","['99,765', '&nbsp;']","['153', '&nbsp;']","['116,368', '&nbsp;']"
9852,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,136', '&nbsp;']","['1,491,139', '&nbsp;']","['756', '&nbsp;']","['731,902', '&nbsp;']","['381', '&nbsp;']","['759,238', '&nbsp;']"
9852,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['2,016', '&nbsp;']","['1,627,199', '&nbsp;']","['1,324', '&nbsp;']","['730,715', '&nbsp;']","['691', '&nbsp;']","['896,484', '&nbsp;']"
9852,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['48', '&nbsp;']","['19,297', '&nbsp;']","['31', '&nbsp;']","['14,434', '&nbsp;']","['16', '&nbsp;']","['4,864', '&nbsp;']"
