table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
6877,r001,All FFRDCs,All FFRDCs,,,1,"['24,509,691', ' ']","['5,459,887', ' ']","['12,983,595', ' ']","['1,300,799', ' ']","['538,975', ' ']","['250,334', ' ']","['2,629,810', ' ']","['315,920', ' ']","['1,030,371', ' ']"
6877,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,700,555', ' ']","['1,132,607', ' ']","['2,587,693', ' ']","['38,095', ' ']","['84,437', ' ']","['34,884', ' ']","['2,448,098', ' ']","['307,909', ' ']","['66,832', ' ']"
6877,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['34,016', '']","['0', '']","['33,919', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['97', '']"
6877,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['832,400', '']","['28,310', '']","['746,382', '']","['5,550', '']","['25,883', '']","['5,181', '']","['400', '']","['2,420', '']","['18,274', '']"
6877,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['317,812', '']","['57', '']","['317,755', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['8,629', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,629', '']","['0', '']"
6877,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,388,355', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,388,355', '']","['0', '']","['0', '']"
6877,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['910,428', '']","['14,845', '']","['860,091', '']","['24,463', '']","['738', '']","['573', '']","['4,166', '']","['0', '']","['5,552', '']"
6877,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,110,465', '']","['999,818', '']","['3,121', '']","['0', '']","['23,677', '']","['23,548', '']","['38,680', '']","['0', '']","['21,621', '']"
6877,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['161,163', '']","['5,841', '']","['3,665', '']","['232', '']","['0', '']","['5,357', '']","['12,627', '']","['120,193', '']","['13,248', '']"
6877,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['93,313', '']","['540', '']","['0', '']","['0', '']","['0', '']","['0', '']","['347', '']","['92,425', '']","['1', '']"
6877,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['17,680', '']","['35', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,032', '']","['16,613', '']","['0', '']"
6877,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['73,393', '']","['16', '']","['5,304', '']","['0', '']","['0', '']","['0', '']","['779', '']","['67,294', '']","['0', '']"
6877,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['113,591', '']","['77', '']","['112,975', '']","['0', '']","['0', '']","['0', '']","['440', '']","['99', '']","['0', '']"
6877,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['382,252', '']","['3,049', '']","['366,771', '']","['6,741', '']","['1,609', '']","['0', '']","['785', '']","['236', '']","['3,061', '']"
6877,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['120,443', '']","['80,019', '']","['1,095', '']","['1,109', '']","['32,530', '']","['225', '']","['487', '']","['0', '']","['4,978', '']"
6877,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['136,615', '']","['0', '']","['136,615', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['8,215,876', ' ']","['2,948,125', ' ']","['3,428,488', ' ']","['383,901', ' ']","['358,749', ' ']","['213,850', ' ']","['122,770', ' ']","['7,971', ' ']","['752,022', ' ']"
6877,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,121,569', '']","['983,248', '']","['14,972', '']","['0', '']","['1,922', '']","['1,018', '']","['80,019', '']","['153', '']","['40,237', '']"
6877,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['38,304', '']","['38,304', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['620,000', '']","['1,259', '']","['590,230', '']","['3,431', '']","['1,189', '']","['0', '']","['8,600', '']","['77', '']","['15,214', '']"
6877,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['207,828', '']","['0', '']","['0', '']","['0', '']","['0', '']","['207,518', '']","['125', '']","['0', '']","['185', '']"
6877,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['65,255', '']","['65,255', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['263,661', '']","['0', '']","['150', '']","['0', '']","['0', '']","['0', '']","['651', '']","['0', '']","['262,860', '']"
6877,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['96,391', '']","['96,391', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['5,233', '']","['54', '']","['391', '']","['0', '']","['0', '']","['80', '']","['38', '']","['0', '']","['4,670', '']"
6877,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['348,269', '']","['0', '']","['0', '']","['348,269', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6877,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['34,888', '']","['0', '']","['0', '']","['0', '']","['34,888', '']","['0', '']","['0', '']","['0', '']","['0', '']"
