table_id,row_id,characteristic,mathematics_teachers,science_teachers,other_teachersa
4276,r001,Had a bachelor's or higher degree (percent),98,97,96
4276,r002,Had a regular or advanced certification (percent),92,90,90
4276,r003,Average annual salary (dollars),59600,60500,59300
