table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
2746,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['10,700', '  ']","['797', '  ']","['558', '  ']","['29', '  ']","['169', '  ']","['70', '  ']"
2746,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['7,381', '  ']","['450', '  ']","['349', '  ']","['21', '  ']","['63', '  ']","['38', '  ']"
2746,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['525', '  ']","['13', '  ']","['8', 'i ']","['*', 'i ']","['4', '  ']","['1', 'i ']"
2746,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['397', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2746,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['209', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2746,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', '  ']","['*', '  ']","['*', '  ']","['*', 'i ']","['*', '  ']","['*', '  ']"
2746,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['106', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2746,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['19', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['*', '  ']"
2746,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['71', '  ']","['2', '  ']","['1', '  ']","['*', 'i ']","['1', '  ']","['*', '  ']"
2746,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,018', '  ']","['79', '  ']","['56', '  ']","['9', '  ']","['13', '  ']","['11', '  ']"
2746,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['106', '  ']","['5', '  ']","['3', '  ']","['1', '  ']","['2', '  ']","['*', '  ']"
2746,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['78', '  ']","['5', '  ']","['3', '  ']","['1', '  ']","['1', '  ']","['*', '  ']"
2746,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['31', '  ']","['2', 'i ']","['1', 'i ']","['*', 'i ']","['*', 'i ']","['*', '  ']"
2746,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['456', '  ']","['53', '  ']","['39', '  ']","['7', '  ']","['6', '  ']","['9', '  ']"
