table_id,row_id,step,matches_after_filter_3,matches_after_filter_4,matches_removed_by_filter_4,percentage_of_matches_removed_by_filter_4
9403,r001,1,9455,9327,128,1.35
9403,r002,2,5285,5204,81,1.53
9403,r003,3–6,1219,1191,28,2.3
9403,r004,Total,15959,15722,237,1.48
