table_id,row_id,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,highest_degree_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_ethnicities_and_races,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1182,r001,All degrees<sup>b</sup>,All degrees<sup>b</sup>,,,,,,1,27273000,2328000,79000,3546000,2008000,67000,18750000,495000
1182,r002,All degrees<sup>b</sup> -> S&E occupations,All degrees<sup>b</sup>,S&E occupations,,,,,2,6769000,505000,14000,1338000,382000,23000,4397000,109000
1182,r003,All degrees<sup>b</sup> -> S&E occupations -> Science occupations,All degrees<sup>b</sup>,S&E occupations,Science occupations,,,,3,5041000,362000,9000,1056000,320000,16000,3201000,78000
1182,r004,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological/life scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Biological/life scientist,,,4,610000,38000,S,126000,20000,1000,415000,9000
1182,r005,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological/life scientist -> Agricultural/food science,All degrees<sup>b</sup>,S&E occupations,Science occupations,Biological/life scientist,Agricultural/food science,,5,41000,4000,,7000,1000,,28000,
1182,r006,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological/life scientist -> Biological/scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Biological/life scientist,Biological/scientist,,5,455000,28000,,109000,16000,1000,293000,8000
1182,r007,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological/life scientist -> Foresty and conservation scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Biological/life scientist,Foresty and conservation scientist,,5,27000,S,,0.05,0.05,,25000,
1182,r008,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological/life scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Biological/life scientist,Postsecondary teacher,,5,87000,5000,,9000,2000,,69000,S
1182,r009,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,,,4,3128000,185000,4000,788000,225000,11000,1866000,49000
1182,r010,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist -> Computer/information scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,Computer/information scientist,,5,3096000,181000,4000,778000,223000,11000,1851000,48000
1182,r011,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,Postsecondary teacher,,5,32000,4000,,10000,2000,,15000,
1182,r012,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,,,4,292000,15000,,53000,17000,,203000,3000
1182,r013,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,Mathematical scientist,,5,209000,12000,,37000,14000,,143000,2000
1182,r014,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Mathematical scientist,Postsecondary teacher,,5,82000,2000,,16000,3000,,60000,1000
1182,r015,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,,,4,366000,29000,S,51000,11000,S,265000,7000
1182,r016,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,"Chemist, except biochemist",,5,109000,8000,,18000,6000,,75000,S
1182,r017,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Earth scientist/geologist/oceanographer,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Earth scientist/geologist/oceanographer,,5,69000,3000,,5000,1000,,60000,1000
1182,r018,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Physicist/astronomer,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Physicist/astronomer,,5,42000,2000,,13000,,,25000,1000
1182,r019,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Other physical scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Other physical scientist,,5,65000,13000,,5000,3000,,41000,2000
1182,r020,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Physical scientist -> Postsecondary teachers,All degrees<sup>b</sup>,S&E occupations,Science occupations,Physical scientist,Postsecondary teachers,,5,81000,3000,,11000,1000,,65000,
1182,r021,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,,,4,250000,33000,0.05,14000,11000,,187000,4000
1182,r022,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist -> Psychologist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,Psychologist,,5,199000,30000,,10000,9000,,148000,2000
1182,r023,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,S&E occupations,Science occupations,Psychologist,Postsecondary teacher,,5,51000,3000,,4000,2000,,39000,S
1182,r024,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,,,4,396000,63000,S,24000,37000,S,264000,5000
1182,r025,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Economist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Economist,,5,47000,4000,,3000,1000,,37000,S
1182,r026,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Social scientist -> Political scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Social scientist,Political scientist,,5,33000,11000,,S,S,,18000,
