table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2021_actuala,field_2022_preliminaryb,field_2023_proposed
8442,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
8442,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,48.4,47.6,47.1
8442,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,25.4,24.7,25.2
8442,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,8.7,8.5,8.4
8442,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,7.1,7.0,6.7
8442,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,2.8,4.7,4.9
8442,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,2.2,2.3,2.4
8442,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.7,1.6,1.8
8442,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.1,1.1,1.1
8442,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,0.9,0.8,0.9
8442,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,0.7,0.6,0.7
8442,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.4,0.4,0.4
8442,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.3,0.4,0.3
8442,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.1,0.1,0.1
8442,r015,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.1,0.1,0.05
8442,r016,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.1,0.1,0.05
8442,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.05,0.05
8442,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
8442,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,49.1,48.4,47.8
8442,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,26.0,25.2,25.7
8442,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,7.7,7.4,7.5
8442,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,7.3,7.1,6.8
8442,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,2.8,4.7,4.8
8442,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,2.1,2.1,2.2
8442,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,1.6,1.6,1.7
8442,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1.1,1.1,1.2
8442,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,0.9,0.9,0.9
8442,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,0.6,0.5,0.6
8442,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,0.4,0.4,0.4
8442,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,0.3,0.4,0.3
8442,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,0.1,0.1,0.1
8442,r032,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,0.1,0.1,0.05
8442,r033,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,0.1,0.1,0.05
8442,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,0.05,0.05,0.05
8442,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,100.0,100.0,100.0
8442,r036,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,45.6,49.3,40.4
8442,r037,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,25.8,16.6,19.7
8442,r038,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,8.6,11.0,11.7
8442,r039,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,6.4,5.0,7.8
8442,r040,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,4.8,6.4,6.9
8442,r041,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,3.3,6.2,6.9
8442,r042,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,2.8,2.5,3.0
8442,r043,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,1.2,1.2,2.2
8442,r044,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,0.8,0.9,0.8
8442,r045,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,0.8,0.8,0.7
8442,r046,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0.0,0.0,0.0
8442,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0.0,0.0,0.0
8442,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0.0,0.0,0.0
8442,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0.0,0.0,0.0
8442,r050,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0.0,0.0,0.0
8442,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0.0,0.0,0.0
