table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_level_3,state_or_location_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10288,r001,All locations,All locations,,,1,189398467,521898,1811833,70410576,13451142,901226,1105375,520328,76340417,11690738,6685539,2890898,3068498
10288,r002,All locations -> Alabama,All locations,Alabama,,2,3966904,3552,4856,3176525,19572,3404,8617,1485,394510,248161,46386,43274,16562
10288,r003,All locations -> Alaska,All locations,Alaska,,2,322626,4301,3917,120996,12431,59818,4208,0,26400,21555,51393,13789,3819
10288,r004,All locations -> Arizona,All locations,Arizona,,2,1663321,1591,3256,907603,31859,32107,12726,50,334410,165309,131162,30869,12379
10288,r005,All locations -> Arkansas,All locations,Arkansas,,2,300252,2877,0,102354,1649,7394,3183,0,96223,2256,25627,43053,15634
10288,r006,All locations -> California,All locations,California,,2,22618185,35280,22060,10160653,2744902,74760,49187,24315,5126819,3030644,842984,161799,344780
10288,r007,All locations -> Colorado,All locations,Colorado,,2,6229985,625,218890,3061893,565157,76726,26776,9072,893045,954149,327793,61132,34728
10288,r008,All locations -> Connecticut,All locations,Connecticut,,2,2597155,6376,11535,1534943,52651,1586,12060,1338,696109,166819,58317,5907,49514
10288,r009,All locations -> Delaware,All locations,Delaware,,2,306913,917,95999,48096,31027,1632,1706,0,69359,7554,40648,7679,2296
10288,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,39038621,51251,36675,2936657,709514,24984,201127,53096,31685313,1914949,329398,306981,788677
10288,r011,All locations -> Florida,All locations,Florida,,2,4094695,6353,24941,2574591,51406,54947,34982,11611,781919,187967,223761,75532,66683
10288,r012,All locations -> Georgia,All locations,Georgia,,2,1653954,1041,4078,435233,89846,3365,13355,11564,801120,24224,135765,90103,44258
10288,r013,All locations -> Hawaii,All locations,Hawaii,,2,485890,1440,2082,304728,6986,6919,1696,638,58614,27148,46981,26553,2102
10288,r014,All locations -> Idaho,All locations,Idaho,,2,672104,4567,0,52410,508781,10127,950,319,23681,4201,23223,33352,10495
10288,r015,All locations -> Illinois,All locations,Illinois,,2,3532719,60,733,738833,1180994,6996,15026,199,1126582,35848,280273,71489,75688
10288,r016,All locations -> Indiana,All locations,Indiana,,2,1080842,500,5301,394631,46830,8783,6100,1335,360522,25831,164556,33890,32565
10288,r017,All locations -> Iowa,All locations,Iowa,,2,686259,424,285,201288,65279,1284,10878,1375,227476,12197,46065,88787,30922
10288,r018,All locations -> Kansas,All locations,Kansas,,2,413888,0,1400,76716,17922,5549,25570,0,111953,7443,34346,125506,7483
10288,r019,All locations -> Kentucky,All locations,Kentucky,,2,542299,0.05,0,163425,34654,2222,2829,638,260553,6236,31005,25200,15534
10288,r020,All locations -> Louisiana,All locations,Louisiana,,2,456813,0,2572,89377,12517,20658,6252,7912,212571,2453,47175,45412,9914
10288,r021,All locations -> Maine,All locations,Maine,,2,248866,24942,3039,24985,24797,2493,5027,128,110019,9735,23708,19700,293
10288,r022,All locations -> Maryland,All locations,Maryland,,2,17564594,19383,1163430,5188173,68236,39829,43169,14497,8905780,1474702,339207,204879,103308
10288,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,9496432,4169,12927,4370252,203503,14580,77293,19222,3879002,191403,490701,35674,197706
10288,r024,All locations -> Michigan,All locations,Michigan,,2,2070494,388,4649,731517,141900,10325,16302,5489,860970,35330,187511,23658,52455
10288,r025,All locations -> Minnesota,All locations,Minnesota,,2,1144953,0,1659,226938,35118,9677,10363,9876,684210,11432,70339,52246,33095
10288,r026,All locations -> Mississippi,All locations,Mississippi,,2,454921,1971,13643,126351,6060,4084,6320,0,66984,79345,21452,126617,2095
