table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10124,r001,All HBCUs,All HBCUs,,1,-,"['633,143', '']","['463,170', '']","['51,064', '']","['91,609', '']","['7,462', '']","['14,358', '']","['5,480', '']"
10124,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['67,594', '']","['37,331', '']","['1,197', '']","['23,130', '']","['2,908', '']","['1,816', '']","['1,212', '']"
10124,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['50,636', '']","['41,943', '']","['1,510', '']","['6,256', '']","['334', '']","['593', '']","['0', '']"
10124,r004,All HBCUs -> North Carolina A&T State U.,All HBCUs,North Carolina A&T State U.,2,3,"['47,908', '']","['29,094', '']","['3,899', '']","['14,445', '']","['261', '']","['195', '']","['14', '']"
10124,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['42,489', '']","['31,339', '']","['440', '']","['7,155', '']","['0', '']","['3,555', '']","['0', '']"
10124,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,5,"['29,482', '']","['24,670', '']","['2,835', '']","['707', '']","['601', '']","['344', '']","['325', '']"
10124,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,"['29,016', '']","['24,361', '']","['598', '']","['3,457', '']","['150', '']","['440', '']","['10', '']"
10124,r008,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,7,"['21,941', '']","['14,911', '']","['3,206', '']","['1,128', '']","['0', '']","['0', '']","['2,696', '']"
10124,r009,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,8,"['20,429', '']","['11,665', '']","['4,037', '']","['3,898', '']","['327', '']","['502', '']","['0', '']"
10124,r010,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,9,"['20,259', '']","['19,127', '']","['1,010', '']","['NA', '']","['48', '']","['74', '']","['0', '']"
10124,r011,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,10,"['18,012', '']","['10,859', '']","['567', '']","['6,466', '']","['4', '']","['116', '']","['0', '']"
