table_id,row_id,type_of_r_d_full_path,type_of_r_d_level_1,type_of_r_d_level_2,type_of_r_d_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6312,r001,Millions of dollars,Millions of dollars,,1,,,,,,,,,,
6312,r002,All U.S. R&D,All U.S. R&D,,1,406600,426215,433716,454271,475969,494499,521700,554012,604837,666875
6312,r003,All U.S. R&D -> Basic research ,All U.S. R&D,Basic research ,2,76388,73552,73843,79137,82769,84273,85689,88696,96043,102874
6312,r004,All U.S. R&D -> Applied research,All U.S. R&D,Applied research,2,79017,81891,86822,88158,91771,97249,110484,114069,119837,132021
6312,r005,All U.S. R&D -> Experimental development,All U.S. R&D,Experimental development,2,251195,270772,273051,286976,301428,312977,325528,351248,388957,431981
6312,r006,All business R&D<sup>a</sup>,All business R&D<sup>a</sup>,,1,278977,294093,302250,322528,340728,355821,374685,400100,441036,492956
6312,r007,All business R&D<sup>a</sup> -> Basic research ,All business R&D<sup>a</sup>,Basic research ,2,16371,13020,13293,19508,21936,21792,24644,24829,28980,32239
6312,r008,All business R&D<sup>a</sup> -> Applied research,All business R&D<sup>a</sup>,Applied research,2,44906,47186,50755,51014,53415,56472,61020,62132,65222,74031
6312,r009,All business R&D<sup>a</sup> -> Experimental development,All business R&D<sup>a</sup>,Experimental development,2,217699,233886,238202,252007,265377,277558,289021,313139,346834,386686
6312,r010,"Distribution of total U.S. R&D and business R&D, by type of R&D (%)","Distribution of total U.S. R&D and business R&D, by type of R&D (%)",,1,,,,,,,,,,
6312,r011,All U.S. R&D,All U.S. R&D,,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6312,r012,All U.S. R&D -> Basic research ,All U.S. R&D,Basic research ,2,18.8,17.3,17.0,17.4,17.4,17.0,16.4,16.0,15.9,15.4
6312,r013,All U.S. R&D -> Applied research,All U.S. R&D,Applied research,2,19.4,19.2,20.0,19.4,19.3,19.7,21.2,20.6,19.8,19.8
6312,r014,All U.S. R&D -> Experimental development,All U.S. R&D,Experimental development,2,61.8,63.5,63.0,63.2,63.3,63.3,62.4,63.4,64.3,64.8
6312,r015,All business R&D<sup>a</sup>,All business R&D<sup>a</sup>,,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6312,r016,All business R&D<sup>a</sup> -> Basic research ,All business R&D<sup>a</sup>,Basic research ,2,5.9,4.4,4.4,6.0,6.4,6.1,6.6,6.2,6.6,6.5
6312,r017,All business R&D<sup>a</sup> -> Applied research,All business R&D<sup>a</sup>,Applied research,2,16.1,16.0,16.8,15.8,15.7,15.9,16.3,15.5,14.8,15.0
6312,r018,All business R&D<sup>a</sup> -> Experimental development,All business R&D<sup>a</sup>,Experimental development,2,78.0,79.5,78.8,78.1,77.9,78.0,77.1,78.3,78.6,78.4
6312,r019,Business share of total U.S. R&D and each type of R&D (%),Business share of total U.S. R&D and each type of R&D (%),,1,,,,,,,,,,
6312,r020,All business R&D<sup>a</sup>,All business R&D<sup>a</sup>,,1,68.6,69.0,69.7,71.0,71.6,72.0,71.8,72.2,72.9,73.9
6312,r021,All business R&D<sup>a</sup> -> Basic research ,All business R&D<sup>a</sup>,Basic research ,2,21.4,17.7,18.0,24.7,26.5,25.9,28.8,28.0,30.2,31.3
6312,r022,All business R&D<sup>a</sup> -> Applied research,All business R&D<sup>a</sup>,Applied research,2,56.8,57.6,58.5,57.9,58.2,58.1,55.2,54.5,54.4,56.1
6312,r023,All business R&D<sup>a</sup> -> Experimental development,All business R&D<sup>a</sup>,Experimental development,2,86.7,86.4,87.2,87.8,88.0,88.7,88.8,89.2,89.2,89.5
