table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
6396,r001,All agencies surveyed,All agencies surveyed,,,,1,1436331.5,186043.7,177217.5,471741.4,601328.8
6396,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,
6396,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,10029.8,5948.4,14.1,0.0,4067.3
6396,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,620.1,606.0,14.1,0.0,0.0
6396,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,4312.3,245.1,0.0,0.0,4067.3
6396,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,5097.4,5097.4,0.0,0.0,0.0
6396,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,123969.4,6513.5,957.1,108333.9,8164.9
6396,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,9533.7,2302.4,0.0,5475.2,1756.0
6396,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,2080.0,698.3,0.0,0.0,1381.7
6396,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,1959.0,0.0,759.8,0.0,1199.2
6396,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,104721.1,1217.2,0.0,99698.4,3805.5
6396,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,5675.6,2295.6,197.3,3160.2,22.5
6396,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,62185.9,38062.6,7247.9,0.0,16875.4
6396,r014,All agencies surveyed -> Departments -> Department of Energy -> Environmental Management,All agencies surveyed,Departments,Department of Energy,Environmental Management,4,318.5,0.0,0.0,0.0,318.5
6396,r015,All agencies surveyed -> Departments -> Department of Energy -> Fossil Energy,All agencies surveyed,Departments,Department of Energy,Fossil Energy,4,15809.4,0.0,0.0,0.0,15809.4
6396,r016,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,46058.1,38062.6,7247.9,0.0,747.6
6396,r017,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,247977.4,0.0,0.0,0.0,247977.4
6396,r018,All agencies surveyed -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies surveyed,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,4,2102.3,0.0,0.0,0.0,2102.3
6396,r019,All agencies surveyed -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies surveyed,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,4,40309.1,0.0,0.0,0.0,40309.1
6396,r020,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,205566.1,0.0,0.0,0.0,205566.1
6396,r021,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,
6396,r022,All agencies surveyed -> Other agencies -> National Aeronautics and Space Administration,All agencies surveyed,Other agencies,National Aeronautics and Space Administration,,3,254048.3,0.0,0.0,0.0,254048.3
6396,r023,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,738120.8,135519.2,168998.4,363407.6,70195.6
