table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2012_18_number,field_total_2012_18_staying,field_2012_number,field_2012_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying
1778,r001,All temporary visa holders,All temporary visa holders,,,1,112794,71.7,14784,70.7,15674,70.1,15839,71.1,16129,71.3,16474,72.5,16290,74.3,17604,71.9
1778,r002,All temporary visa holders -> Africa,All temporary visa holders,Africa,,2,4571,68.3,572,66.3,610,65.2,648,66.8,649,66.4,653,70.8,700,70.9,739,70.6
1778,r003,All temporary visa holders -> Africa -> Egypt,All temporary visa holders,Africa,Egypt,3,959,67.3,126,64.3,140,61.4,135,70.4,129,62.8,117,66.7,156,69.9,156,73.7
1778,r004,All temporary visa holders -> Africa -> Ghana,All temporary visa holders,Africa,Ghana,3,533,69.4,55,67.3,58,70.7,62,77.4,83,65.1,87,70.1,85,71.8,103,66.0
1778,r005,All temporary visa holders -> Africa -> Kenya,All temporary visa holders,Africa,Kenya,3,441,67.8,66,68.2,79,68.4,72,70.8,57,68.4,60,66.7,57,63.2,50,68.0
1778,r006,All temporary visa holders -> Africa -> Nigeria,All temporary visa holders,Africa,Nigeria,3,673,79.6,67,77.6,65,87.7,87,82.8,83,75.9,112,83.9,113,77.9,146,75.3
1778,r007,All temporary visa holders -> Africa -> Other,All temporary visa holders,Africa,Other,3,1965,64.7,258,63.6,268,59.7,292,57.2,297,65.3,277,68.2,289,69.9,284,68.7
1778,r008,All temporary visa holders -> Americas,All temporary visa holders,Americas,,2,10388,56.8,1471,56.0,1482,56.3,1542,55.6,1480,55.7,1503,57.5,1443,56.6,1467,60.3
1778,r009,All temporary visa holders -> Americas -> Argentina,All temporary visa holders,Americas,Argentina,3,474,59.7,85,58.8,81,49.4,67,64.2,64,53.1,65,61.5,52,69.2,60,66.7
1778,r010,All temporary visa holders -> Americas -> Brazil,All temporary visa holders,Americas,Brazil,3,1094,53.7,163,46.6,142,46.5,139,50.4,149,50.3,156,56.4,167,61.7,178,61.2
1778,r011,All temporary visa holders -> Americas -> Canada,All temporary visa holders,Americas,Canada,3,3090,57.7,423,58.4,485,55.5,488,55.1,454,56.6,408,56.6,408,59.3,424,63.0
1778,r012,All temporary visa holders -> Americas -> Chile,All temporary visa holders,Americas,Chile,3,710,35.1,85,50.6,74,36.5,99,35.4,103,32.0,130,32.3,128,25.8,91,39.6
1778,r013,All temporary visa holders -> Americas -> Colombia,All temporary visa holders,Americas,Colombia,3,1321,56.3,161,53.4,179,53.1,216,56.9,183,68.3,187,61.5,190,48.4,205,52.7
1778,r014,All temporary visa holders -> Americas -> Mexico,All temporary visa holders,Americas,Mexico,3,1363,61.3,213,59.2,177,61.6,193,54.9,194,53.1,221,61.1,180,69.4,185,71.4
1778,r015,All temporary visa holders -> Americas -> Venezuela,All temporary visa holders,Americas,Venezuela,3,221,77.8,28,67.9,40,82.5,40,82.5,29,75.9,27,88.9,31,67.7,26,76.9
1778,r016,All temporary visa holders -> Americas -> Other,All temporary visa holders,Americas,Other,3,2115,59.2,313,56.5,304,64.1,300,59.7,304,57.6,309,61.2,287,57.5,298,57.7
1778,r017,All temporary visa holders -> Asia,All temporary visa holders,Asia,,2,75136,76.8,9978,74.8,10560,75.0,10752,75.8,10885,76.0,11015,78.1,10641,80.0,11305,77.5
1778,r018,All temporary visa holders -> Asia -> Bangladesh,All temporary visa holders,Asia,Bangladesh,3,1187,87.0,86,88.4,107,78.5,139,83.5,154,87.7,185,90.3,236,88.1,280,88.2
1778,r019,All temporary visa holders -> Asia -> China<sup>a</sup>,All temporary visa holders,Asia,China<sup>a</sup>,3,36637,81.4,4222,82.6,4796,82.0,4982,81.3,5374,81.1,5526,81.0,5555,83.3,6182,79.4
1778,r020,All temporary visa holders -> Asia -> India,All temporary visa holders,Asia,India,3,15201,86.2,2248,85.7,2204,84.3,2316,86.2,2229,84.6,2195,87.2,1969,88.5,2040,87.1
1778,r021,All temporary visa holders -> Asia -> Indonesia,All temporary visa holders,Asia,Indonesia,3,496,43.1,51,51.0,71,49.3,78,38.5,53,37.7,92,43.5,69,50.7,82,34.1
1778,r022,All temporary visa holders -> Asia -> Japan,All temporary visa holders,Asia,Japan,3,1194,48.2,240,45.0,217,47.5,173,48.6,164,39.6,166,53.6,117,58.1,117,50.4
1778,r023,All temporary visa holders -> Asia -> Nepal,All temporary visa holders,Asia,Nepal,3,1262,88.7,94,86.2,150,90.0,172,84.9,177,88.1,222,88.7,222,91.4,225,89.3
1778,r024,All temporary visa holders -> Asia -> Pakistan,All temporary visa holders,Asia,Pakistan,3,773,50.3,99,42.4,98,49.0,127,47.2,124,54.0,102,45.1,113,54.0,110,59.1
1778,r025,All temporary visa holders -> Asia -> Philippines,All temporary visa holders,Asia,Philippines,3,429,71.1,73,74.0,92,66.3,70,67.1,40,75.0,51,76.5,47,70.2,56,73.2
1778,r026,All temporary visa holders -> Asia -> Singapore,All temporary visa holders,Asia,Singapore,3,651,36.6,88,35.2,91,38.5,97,38.1,102,36.3,91,38.5,101,41.6,81,25.9
1778,r027,All temporary visa holders -> Asia -> South Korea,All temporary visa holders,Asia,South Korea,3,8764,62.9,1472,60.6,1383,59.1,1284,60.7,1234,62.9,1229,66.7,1127,68.5,1035,63.6
1778,r028,All temporary visa holders -> Asia -> Taiwan,All temporary visa holders,Asia,Taiwan,3,4325,71.4,719,65.2,699,67.4,668,68.6,614,70.4,592,77.9,520,76.7,513,78.0
1778,r029,All temporary visa holders -> Asia -> Thailand,All temporary visa holders,Asia,Thailand,3,1508,26.9,260,23.5,264,31.1,231,26.4,220,21.4,185,30.3,171,25.7,177,31.1
1778,r030,All temporary visa holders -> Asia -> Vietnam,All temporary visa holders,Asia,Vietnam,3,894,73.9,99,64.6,140,71.4,142,76.8,134,74.6,124,71.8,133,75.9,122,80.3
1778,r031,All temporary visa holders -> Asia -> Other,All temporary visa holders,Asia,Other,3,1815,66.6,227,65.6,248,61.7,273,65.9,266,62.4,255,68.2,261,68.6,285,73.0
1778,r032,All temporary visa holders -> Australia-Oceania,All temporary visa holders,Australia-Oceania,,2,504,58.1,69,65.2,80,58.8,64,45.3,83,55.4,65,61.5,79,62.0,64,57.8
1778,r033,All temporary visa holders -> Australia-Oceania -> Australia,All temporary visa holders,Australia-Oceania,Australia,3,322,59.0,40,67.5,60,55.0,44,43.2,52,48.1,42,66.7,47,72.3,37,64.9
1778,r034,All temporary visa holders -> Australia-Oceania -> Other,All temporary visa holders,Australia-Oceania,Other,3,182,56.6,29,62.1,20,70.0,20,50.0,31,67.7,23,52.2,32,46.9,27,48.1
1778,r035,All temporary visa holders -> Europe,All temporary visa holders,Europe,,2,12830,63.7,1930,65.3,1904,62.3,1802,63.4,1832,61.4,1776,62.7,1785,67.4,1801,63.4
1778,r036,All temporary visa holders -> Europe -> Bulgaria,All temporary visa holders,Europe,Bulgaria,3,270,77.8,50,76.0,47,78.7,42,66.7,34,70.6,44,88.6,30,86.7,23,78.3
1778,r037,All temporary visa holders -> Europe -> France,All temporary visa holders,Europe,France,3,798,63.7,111,56.8,97,62.9,114,67.5,131,58.8,105,66.7,107,69.2,133,64.7
1778,r038,All temporary visa holders -> Europe -> Germany,All temporary visa holders,Europe,Germany,3,1281,56.4,200,60.0,202,51.5,203,51.2,195,51.3,183,61.2,154,68.2,144,54.2
1778,r039,All temporary visa holders -> Europe -> Greece,All temporary visa holders,Europe,Greece,3,639,72.5,100,64.0,88,76.1,81,72.8,84,71.4,84,71.4,89,73.0,113,77.9
1778,r040,All temporary visa holders -> Europe -> Italy,All temporary visa holders,Europe,Italy,3,1070,66.4,168,65.5,154,61.0,156,64.1,126,65.1,167,65.9,161,70.8,138,72.5
