table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
3502,r001,All surveyed fields,All surveyed fields,,,1,32488,2359,7.3,2037,6.3,19504,60.0,873,2.7,717,2.2,3578,11.0,805,2.5,2615,8.0
3502,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,19770,1138,5.8,1392,7.0,10799,54.6,559,2.8,599,3.0,2866,14.5,716,3.6,1701,8.6
3502,r003,All surveyed fields -> Science -> Agricultural sciences,All surveyed fields,Science,Agricultural sciences,3,469,11,2.3,24,5.1,49,10.4,11,2.3,3,0.6,51,10.9,265,56.5,55,11.7
3502,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,11887,383,3.2,199,1.7,8974,75.5,385,3.2,40,0.3,814,6.8,301,2.5,791,6.7
3502,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,399,148,37.1,17,4.3,33,8.3,3,0.8,5,1.3,147,36.8,2,0.5,44,11.0
3502,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,949,67,7.1,63,6.6,23,2.4,4,0.4,200,21.1,346,36.5,20,2.1,226,23.8
3502,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,326,52,16.0,22,6.7,71,21.8,1,0.3,2,0.6,149,45.7,0,0.0,29,8.9
3502,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,462,53,11.5,30,6.5,238,51.5,16,3.5,8,1.7,68,14.7,14,3.0,35,7.6
3502,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,342,8,2.3,20,5.8,8,2.3,5,1.5,17,5.0,98,28.7,76,22.2,110,32.2
3502,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,3946,372,9.4,1010,25.6,893,22.6,85,2.2,302,7.7,1003,25.4,4,0.1,277,7.0
3502,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,605,29,4.8,3,0.5,404,66.8,25,4.1,3,0.5,80,13.2,5,0.8,56,9.3
3502,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,385,15,3.9,4,1.0,106,27.5,24,6.2,19,4.9,110,28.6,29,7.5,78,20.3
3502,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,3911,933,23.9,642,16.4,974,24.9,52,1.3,102,2.6,664,17.0,50,1.3,494,12.6
3502,r014,All surveyed fields -> Health,All surveyed fields,Health,,2,8807,288,3.3,3,0.05,7731,87.8,262,3.0,16,0.2,48,0.5,39,0.4,420,4.8
3502,r015,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,7502,238,3.2,3,0.05,6703,89.3,180,2.4,13,0.2,29,0.4,3,0.05,333,4.4
3502,r016,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,1305,50,3.8,0,0.0,1028,78.8,82,6.3,3,0.2,19,1.5,36,2.8,87,6.7
