table_id,row_id,field_of_study_and_time_to_degree_full_path,field_of_study_and_time_to_degree_level_1,field_of_study_and_time_to_degree_level_2,field_of_study_and_time_to_degree_level_3,field_of_study_and_time_to_degree_hierarchy_depth,field_1993,field_1998,field_2003,field_2008,field_2013,field_2018
1759,r001,All fields,All fields,,,1,,,,,,
1759,r002,All fields -> Since bachelor's,All fields,Since bachelor's,,2,10.7,10.5,10.2,9.4,9.0,8.6
1759,r003,All fields -> Since starting graduate school,All fields,Since starting graduate school,,2,8.7,8.3,8.5,7.7,7.5,7.3
1759,r004,All fields -> Since starting doctoral program<sup>a</sup>,All fields,Since starting doctoral program<sup>a</sup>,,2,na,na,na,na,na,5.8
1759,r005,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,2,,,,,,
1759,r006,All fields -> Life sciences<sup>b</sup> -> Since bachelor's,All fields,Life sciences<sup>b</sup>,Since bachelor's,3,9.5,9.3,8.9,8.6,8.3,8.2
1759,r007,All fields -> Life sciences<sup>b</sup> -> Since starting graduate school,All fields,Life sciences<sup>b</sup>,Since starting graduate school,3,7.7,7.5,7.2,6.9,6.9,6.8
1759,r008,All fields -> Life sciences<sup>b</sup> -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences<sup>b</sup>,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.5
1759,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,,,,,,
1759,r010,All fields -> Physical sciences and earth sciences -> Since bachelor's,All fields,Physical sciences and earth sciences,Since bachelor's,3,8.0,7.6,7.5,7.4,7.0,6.9
1759,r011,All fields -> Physical sciences and earth sciences -> Since starting graduate school,All fields,Physical sciences and earth sciences,Since starting graduate school,3,6.7,6.7,6.7,6.4,6.3,6.3
1759,r012,All fields -> Physical sciences and earth sciences -> Since starting doctoral program<sup>a</sup>,All fields,Physical sciences and earth sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.7
1759,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,,,,,,
1759,r014,All fields -> Mathematics and computer sciences -> Since bachelor's,All fields,Mathematics and computer sciences,Since bachelor's,3,9.1,9.0,8.6,8.3,7.7,7.6
1759,r015,All fields -> Mathematics and computer sciences -> Since starting graduate school,All fields,Mathematics and computer sciences,Since starting graduate school,3,7.7,7.4,7.7,7.0,6.9,6.8
1759,r016,All fields -> Mathematics and computer sciences -> Since starting doctoral program<sup>a</sup>,All fields,Mathematics and computer sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.7
1759,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,,,,,,
1759,r018,All fields -> Psychology and social sciences -> Since bachelor's,All fields,Psychology and social sciences,Since bachelor's,3,10.6,10.0,10.0,9.7,9.5,9.3
1759,r019,All fields -> Psychology and social sciences -> Since starting graduate school,All fields,Psychology and social sciences,Since starting graduate school,3,8.7,7.9,8.2,7.7,7.7,7.8
1759,r020,All fields -> Psychology and social sciences -> Since starting doctoral program<sup>a</sup>,All fields,Psychology and social sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,6.0
1759,r021,All fields -> Engineering,All fields,Engineering,,2,,,,,,
1759,r022,All fields -> Engineering -> Since bachelor's,All fields,Engineering,Since bachelor's,3,9.0,8.9,8.6,7.9,7.4,7.3
1759,r023,All fields -> Engineering -> Since starting graduate school,All fields,Engineering,Since starting graduate school,3,7.2,7.2,7.3,6.7,6.7,6.7
1759,r024,All fields -> Engineering -> Since starting doctoral program<sup>a</sup>,All fields,Engineering,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.3
1759,r025,All fields -> Education,All fields,Education,,2,,,,,,
1759,r026,All fields -> Education -> Since bachelor's,All fields,Education,Since bachelor's,3,19.3,20.0,18.1,17.0,15.0,14.7
1759,r027,All fields -> Education -> Since starting graduate school,All fields,Education,Since starting graduate school,3,15.7,15.0,13.2,12.7,11.7,11.9
1759,r028,All fields -> Education -> Since starting doctoral program<sup>a</sup>,All fields,Education,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.8
1759,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,,,,,,
1759,r030,All fields -> Humanities and arts -> Since bachelor's,All fields,Humanities and arts,Since bachelor's,3,12.0,11.7,11.5,11.4,11.0,11.0
1759,r031,All fields -> Humanities and arts -> Since starting graduate school,All fields,Humanities and arts,Since starting graduate school,3,10.2,9.7,9.7,9.3,9.3,9.4
1759,r032,All fields -> Humanities and arts -> Since starting doctoral program<sup>a</sup>,All fields,Humanities and arts,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,6.8
1759,r033,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,2,,,,,,
1759,r034,All fields -> Other<sup>c</sup> -> Since bachelor's,All fields,Other<sup>c</sup>,Since bachelor's,3,13.1,13.4,13.1,12.0,11.4,11.2
1759,r035,All fields -> Other<sup>c</sup> -> Since starting graduate school,All fields,Other<sup>c</sup>,Since starting graduate school,3,10.5,10.2,10.2,9.1,9.0,9.2
1759,r036,All fields -> Other<sup>c</sup> -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.2
