table_id,row_id,field_and_research_animal_space_full_path,field_and_research_animal_space_level_1,field_and_research_animal_space_level_2,field_and_research_animal_space_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_planned_to_start_in_fy_2020_or_fy_2021,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
3035,r001,All research space,All research space,,1,3361.6,3015.8,3508.9,3745.9,4133.4,5079.5,5483.4,5307.2,5981.9,4394.7
3035,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,107.1,144.8,87.8,147.4,55.0,135.5,196.1,128.8,504.4,211.9
3035,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,867.6,1061.1,1317.0,1089.2,1005.2,1301.4,1745.2,1826.8,1645.2,934.8
3035,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,59.2,34.2,48.3,60.2,42.5,149.3,110.6,74.9,151.2,55.3
3035,r005,All research space -> Engineering,All research space,Engineering,2,235.9,438.8,434.3,592.4,707.3,1002.3,757.7,897.1,1019.1,786.2
3035,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,88.0,78.3,146.5,109.8,150.4,210.8,237.4,175.1,247.0,240.8
3035,r007,All research space -> Health sciences,All research space,Health sciences,2,1408.5,702.4,774.8,983.5,1023.9,1250.0,1376.7,876.7,690.6,548.2
3035,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,13.3,10.7,39.6,54.1,52.5,28.4,14.7,94.3,166.1,75.5
3035,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,na,na,na,na,43.0,31.7,73.0,66.2,108.4,99.6
3035,r010,All research space -> Physical sciences,All research space,Physical sciences,2,410.2,408.7,361.1,531.6,786.2,739.7,526.1,883.8,870.5,749.3
3035,r011,All research space -> Psychology,All research space,Psychology,2,77.8,47.5,100.6,65.6,113.1,67.6,139.1,160.8,321.4,270.1
3035,r012,All research space -> Social sciences,All research space,Social sciences,2,42.3,45.0,95.7,89.1,134.8,60.7,199.5,96.7,187.0,271.3
3035,r013,All research space -> Other,All research space,Other,2,51.6,44.3,103.2,22.8,19.4,102.2,107.5,26.0,70.9,151.8
3035,r014,All research space -> Research animal space<sup>a</sup>,All research space,Research animal space<sup>a</sup>,2,178.6,285.1,na,na,na,na,na,na,na,na
