table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_rank,field_fy_2015,field_fy_2017,field_fy_2019
2942,r001,All institutions ,All institutions ,,,1, - ,"['214,493', '&nbsp;']","['221,240', '&nbsp;']","['227,275', '&nbsp;']"
2942,r002,All institutions  -> Leading 30 institutions,All institutions ,Leading 30 institutions,,2, - ,"['74,837', '&nbsp;']","['76,830', '&nbsp;']","['79,069', '&nbsp;']"
2942,r003,All institutions  -> Leading 30 institutions -> U. Florida ,All institutions ,Leading 30 institutions,U. Florida ,3,1,"['4,156', '&nbsp;']","['4,187', '&nbsp;']","['4,253', '&nbsp;']"
2942,r004,All institutions  -> Leading 30 institutions -> U. Georgia ,All institutions ,Leading 30 institutions,U. Georgia ,3,2,"['3,891', '&nbsp;']","['3,950', '&nbsp;']","['3,945', '&nbsp;']"
2942,r005,"All institutions  -> Leading 30 institutions -> U. Minnesota, Twin Cities ",All institutions ,Leading 30 institutions,"U. Minnesota, Twin Cities ",3,3,"['3,400', '&nbsp;']","['3,791', '&nbsp;']","['3,763', '&nbsp;']"
2942,r006,All institutions  -> Leading 30 institutions -> U. Wisconsin-Madison ,All institutions ,Leading 30 institutions,U. Wisconsin-Madison ,3,4,"['2,904', '&nbsp;']","['2,804', '&nbsp;']","['3,111', '&nbsp;']"
2942,r007,"All institutions  -> Leading 30 institutions -> Texas A&M U., College Station and Health Science Center ",All institutions ,Leading 30 institutions,"Texas A&M U., College Station and Health Science Center ",3,5,"['2,926', '&nbsp;']","['3,041', '&nbsp;']","['3,101', '&nbsp;']"
2942,r008,"All institutions  -> Leading 30 institutions -> U. California, Davis ",All institutions ,Leading 30 institutions,"U. California, Davis ",3,6,"['3,052', '&nbsp;']","['3,058', '&nbsp;']","['3,089', '&nbsp;']"
2942,r009,"All institutions  -> Leading 30 institutions -> U. Illinois, Urbana-Champaign ",All institutions ,Leading 30 institutions,"U. Illinois, Urbana-Champaign ",3,7,"['3,034', '&nbsp;']","['3,058', '&nbsp;']","['3,080', '&nbsp;']"
2942,r010,All institutions  -> Leading 30 institutions -> Ohio State U. ,All institutions ,Leading 30 institutions,Ohio State U. ,3,8,"['1,383', '&nbsp;']","['2,961', '&nbsp;']","['3,015', '&nbsp;']"
2942,r011,All institutions  -> Leading 30 institutions -> Johns Hopkins U. ,All institutions ,Leading 30 institutions,Johns Hopkins U. ,3,9,"['3,548', '&nbsp;']","['3,267', '&nbsp;']","['2,978', '&nbsp;']"
2942,r012,"All institutions  -> Leading 30 institutions -> U. California, San Diego ",All institutions ,Leading 30 institutions,"U. California, San Diego ",3,10,"['2,694', '&nbsp;']","['2,742', '&nbsp;']","['2,951', '&nbsp;']"
2942,r013,"All institutions  -> Leading 30 institutions -> U. California, Los Angeles ",All institutions ,Leading 30 institutions,"U. California, Los Angeles ",3,11,"['2,806', '&nbsp;']","['2,824', '&nbsp;']","['2,918', '&nbsp;']"
2942,r014,All institutions  -> Leading 30 institutions -> Georgia Institute of Technology ,All institutions ,Leading 30 institutions,Georgia Institute of Technology ,3,12,"['1,782', '&nbsp;']","['1,922', '&nbsp;']","['2,830', '&nbsp;']"
2942,r015,All institutions  -> Leading 30 institutions -> Michigan State U. ,All institutions ,Leading 30 institutions,Michigan State U. ,3,13,"['2,446', '&nbsp;']","['2,790', '&nbsp;']","['2,814', '&nbsp;']"
2942,r016,All institutions  -> Leading 30 institutions -> U. Kentucky ,All institutions ,Leading 30 institutions,U. Kentucky ,3,14,"['2,394', '&nbsp;']","['2,611', '&nbsp;']","['2,780', '&nbsp;']"
2942,r017,All institutions  -> Leading 30 institutions -> North Carolina State U. ,All institutions ,Leading 30 institutions,North Carolina State U. ,3,15,"['2,633', '&nbsp;']","['2,678', '&nbsp;']","['2,575', '&nbsp;']"
2942,r018,All institutions  -> Leading 30 institutions -> Yale U. ,All institutions ,Leading 30 institutions,Yale U. ,3,16,"['2,372', '&nbsp;']","['2,387', '&nbsp;']","['2,447', '&nbsp;']"
2942,r019,"All institutions  -> Leading 30 institutions -> Pennsylvania State U., University Park and Hershey Medical Center ",All institutions ,Leading 30 institutions,"Pennsylvania State U., University Park and Hershey Medical Center ",3,17,"['2,561', '&nbsp;']","['2,311', '&nbsp;']","['2,420', '&nbsp;']"
2942,r020,All institutions  -> Leading 30 institutions -> Harvard U. ,All institutions ,Leading 30 institutions,Harvard U. ,3,18,"['2,420', '&nbsp;']","['2,410', '&nbsp;']","['2,416', '&nbsp;']"
