table_id,row_id,location_of_baccalaureate_origin_institution_full_path,location_of_baccalaureate_origin_institution_level_1,location_of_baccalaureate_origin_institution_level_2,location_of_baccalaureate_origin_institution_hierarchy_depth,field_u_s_citizens_and_permanent_residents_s_e_1999,field_u_s_citizens_and_permanent_residents_s_e_2019,field_u_s_citizens_and_permanent_residents_non_s_e_1999,field_u_s_citizens_and_permanent_residents_non_s_e_2019,field_temporary_visa_holders_s_e_1999,field_temporary_visa_holders_s_e_2019,field_temporary_visa_holders_non_s_e_1999,field_temporary_visa_holders_non_s_e_2019
2787,r001,All doctorate recipients (number),All doctorate recipients (number),,1,18472,25718,11840,9556,7505,15801,1555,2550
2787,r002,All doctorate recipients (number) -> United States,All doctorate recipients (number),United States,2,88.1,91.1,90.8,91.1,6.4,8.9,8.4,8.6
2787,r003,All doctorate recipients (number) -> Foreign country,All doctorate recipients (number),Foreign country,2,8.8,7.8,4.8,7.2,83.7,89.1,79.8,88.1
2787,r004,All doctorate recipients (number) -> Other or unknown,All doctorate recipients (number),Other or unknown,2,3.0,1.1,4.4,1.8,10.0,2.0,11.8,3.3
