table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_the_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_the_company,field_development_paid_for_by_others
9660,r001,Total domestic R&D performance,Total domestic R&D performance,,,,1,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
9660,r002,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['447,889', '  ']","['408,637', '  ']","['39,253', '  ']","['81,778', '  ']","['72,211', '  ']","['9,566', '  ']","['366,112', '  ']","['336,426', '  ']","['29,686', 'i ']"
9660,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,"['241,611', '  ']","['221,707', '  ']","['19,904', '  ']","['52,061', '  ']","['49,035', '  ']","['3,026', '  ']","['189,551', '  ']","['172,673', '  ']","['16,878', '  ']"
9660,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,3,325,"['70,881', '  ']","['67,369', '  ']","['3,512', '  ']","['24,777', '  ']","['24,010', '  ']","['767', '  ']","['46,104', '  ']","['43,360', '  ']","['2,745', '  ']"
9660,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['64,473', '  ']","['61,427', '  ']","['3,046', '  ']","['22,710', '  ']","['22,221', '  ']","['488', '  ']","['41,763', '  ']","['39,206', '  ']","['2,557', '  ']"
9660,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,4,other 325,"['6,408', '  ']","['5,942', '  ']","['466', 'i ']","['2,067', '  ']","['1,788', '  ']","['278', '  ']","['4,341', '  ']","['4,154', '  ']","['188', '  ']"
9660,r007,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,"['92,533', '  ']","['87,707', '  ']","['4,825', '  ']","['12,156', '  ']","['11,289', '  ']","['867', '  ']","['80,377', '  ']","['76,418', '  ']","['3,959', '  ']"
9660,r008,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['44,110', '  ']","['43,533', '  ']","['577', '  ']","['4,263', 'i ']","['4,163', 'i ']","['100', '  ']","['39,847', 'i ']","['39,370', 'i ']","['477', '  ']"
9660,r009,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['48,423', '  ']","['44,175', '  ']","['4,249', '  ']","['7,893', '  ']","['7,126', '  ']","['767', '  ']","['40,530', '  ']","['37,049', '  ']","['3,481', '  ']"
9660,r010,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81","['206,278', '  ']","['186,929', '  ']","['19,349', 'i ']","['29,717', '  ']","['23,177', '  ']","['6,540', 'i ']","['176,561', '  ']","['163,753', '  ']","['12,808', 'i ']"
