table_id,row_id,time_period,labor_force_participation_level_1,labor_force_participation_level_2,labor_force_participation_hierarchy_depth,value
6273,r001,General age range<sup>b</sup> -> 2015,Labor force participation,CPS,2,76.71
6273,r002,General age range<sup>b</sup> -> 2015,Labor force participation,LSDRa,2,95.8
6273,r003,General age range<sup>b</sup> -> 2015,Unemployment,CPS,2,4.32
6273,r004,General age range<sup>b</sup> -> 2015,Unemployment,LSDRa,2,1.56
6273,r005,General age range<sup>b</sup> -> 2017,Labor force participation,CPS,2,77.41
6273,r006,General age range<sup>b</sup> -> 2017,Labor force participation,LSDRa,2,94.17
6273,r007,General age range<sup>b</sup> -> 2017,Unemployment,CPS,2,3.62
6273,r008,General age range<sup>b</sup> -> 2017,Unemployment,LSDRa,2,1.7
6273,r009,General age range<sup>b</sup> -> 2019,Labor force participation,CPS,2,78.2
6273,r010,General age range<sup>b</sup> -> 2019,Labor force participation,LSDRa,2,91.68
6273,r011,General age range<sup>b</sup> -> 2019,Unemployment,CPS,2,2.97
6273,r012,General age range<sup>b</sup> -> 2019,Unemployment,LSDRa,2,1.43
6273,r013,Older age range<sup>c</sup> -> 2015,Labor force participation,CPS,2,63.93
6273,r014,Older age range<sup>c</sup> -> 2015,Labor force participation,LSDRa,2,90.32
6273,r015,Older age range<sup>c</sup> -> 2015,Unemployment,CPS,2,3.77
6273,r016,Older age range<sup>c</sup> -> 2015,Unemployment,LSDRa,2,1.85
6273,r017,Older age range<sup>c</sup> -> 2017,Labor force participation,CPS,2,64.52
6273,r018,Older age range<sup>c</sup> -> 2017,Labor force participation,LSDRa,2,84.73
6273,r019,Older age range<sup>c</sup> -> 2017,Unemployment,CPS,2,3.1
6273,r020,Older age range<sup>c</sup> -> 2017,Unemployment,LSDRa,2,2.54
6273,r021,Older age range<sup>c</sup> -> 2019,Labor force participation,CPS,2,65.35
6273,r022,Older age range<sup>c</sup> -> 2019,Labor force participation,LSDRa,2,76.91
6273,r023,Older age range<sup>c</sup> -> 2019,Unemployment,CPS,2,2.57
6273,r024,Older age range<sup>c</sup> -> 2019,Unemployment,LSDRa,2,2.03
