table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_master_s_students_rank,field_all_master_s_students_total,field_all_master_s_students_science,field_all_master_s_students_engineering,field_all_master_s_students_health,field_full_time_master_s_students_rank,field_full_time_master_s_students_total,field_full_time_master_s_students_science,field_full_time_master_s_students_engineering,field_full_time_master_s_students_health,field_part_time_master_s_students_rank,field_part_time_master_s_students_total,field_part_time_master_s_students_science,field_part_time_master_s_students_engineering,field_part_time_master_s_students_health
8280,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,466613,305796,95126,65691,-,286954,184719,58790,43445,-,179659,121077,36336,22246
8280,r002,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,1,12540,10678,1822,40,18,2546,1267,1260,19,1,9994,9411,562,21
8280,r003,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,2,10734,5869,3010,1855,12,2961,1574,600,787,2,7773,4295,2410,1068
8280,r004,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,3,9206,8222,10,974,6,4482,4047,8,427,3,4724,4175,2,547
8280,r005,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,4,9094,6760,1653,681,2,6655,4746,1460,449,9,2439,2014,193,232
8280,r006,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,5,8952,5576,2538,838,3,6509,4451,1473,585,8,2443,1125,1065,253
8280,r007,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,6,8868,5815,2241,812,1,7058,4619,1720,719,14,1810,1196,521,93
8280,r008,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,7,7790,5119,2581,90,7,4313,2698,1525,90,5,3477,2421,1056,0
8280,r009,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,8,6243,3081,2643,519,5,4959,2528,1927,504,23,1284,553,716,15
8280,r010,All institutions<sup>a</sup> -> Northeastern U.,All institutions<sup>a</sup>,Northeastern U.,2,9,5454,2408,2980,66,4,5110,2199,2851,60,140,344,209,129,6
8280,r011,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,10,5300,3541,1301,458,17,2562,1583,695,284,7,2738,1958,606,174
8280,r012,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,11,5194,3922,1152,120,8,3776,2691,966,119,21,1418,1231,186,1
8280,r013,All institutions<sup>a</sup> -> George Washington U.,All institutions<sup>a</sup>,George Washington U.,2,12,5171,3036,499,1636,23,2211,1637,144,430,6,2960,1399,355,1206
8280,r014,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,13,4397,3051,510,836,13,2894,1924,373,597,17,1503,1127,137,239
8280,r015,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,14,4375,2509,1203,663,16,2612,1492,616,504,15,1763,1017,587,159
8280,r016,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,15,4106,1056,2758,292,32,1867,607,1126,134,10,2239,449,1632,158
8280,r017,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,16,4104,2314,1513,277,11,3030,1632,1154,244,31,1074,682,359,33
8280,r018,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,17,4030,1836,1573,621,10,3100,1479,1096,525,38,930,357,477,96
8280,r019,All institutions<sup>a</sup> -> Carnegie Mellon U.,All institutions<sup>a</sup>,Carnegie Mellon U.,2,18,3907,2173,1734,0,9,3766,2119,1647,0,258,141,54,87,0
