table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10951,r001,All agencies ,All agencies ,,,,,1,93807126,4830950,5565684,41609665,904053,12099233,4587769,1916873,15496600,6796301
10951,r002,All agencies  -> Departments ,All agencies ,Departments ,,,,2,,,,,,,,,,
10951,r003,All agencies  -> Departments  -> Department of Agriculture ,All agencies ,Departments ,Department of Agriculture ,,,3,2860100,19399,24172,2256782,8816,133362,10632,192417,108014,106506
10951,r004,All agencies  -> Departments  -> Department of Agriculture  -> Agricultural Marketing Service ,All agencies ,Departments ,Department of Agriculture ,Agricultural Marketing Service ,,4,9865,-,-,9865,-,-,-,-,-,-
10951,r005,All agencies  -> Departments  -> Department of Agriculture  -> Agricultural Research Service ,All agencies ,Departments ,Department of Agriculture ,Agricultural Research Service ,,4,1485517,1931,6536,1364744,-,95370,-,3565,13370,-
10951,r006,All agencies  -> Departments  -> Department of Agriculture  -> Animal and Plant Health Inspection Service ,All agencies ,Departments ,Department of Agriculture ,Animal and Plant Health Inspection Service ,,4,23598,-,-,23598,-,-,-,-,-,-
10951,r007,All agencies  -> Departments  -> Department of Agriculture  -> Economic Research Service ,All agencies ,Departments ,Department of Agriculture ,Economic Research Service ,,4,87794,-,-,-,-,-,-,87794,-,-
10951,r008,All agencies  -> Departments  -> Department of Agriculture  -> Forest Service ,All agencies ,Departments ,Department of Agriculture ,Forest Service ,,4,245837,-,4980,189548,-,6467,-,35687,9155,-
10951,r009,All agencies  -> Departments  -> Department of Agriculture  -> National Agricultural Statistics Service ,All agencies ,Departments ,Department of Agriculture ,National Agricultural Statistics Service ,,4,6126,6126,-,-,-,-,-,-,-,-
10951,r010,All agencies  -> Departments  -> Department of Agriculture  -> National Institute of Food and Agriculture ,All agencies ,Departments ,Department of Agriculture ,National Institute of Food and Agriculture ,,4,985983,11342,12656,653648,8816,31524,10632,65370,85489,106506
10951,r011,All agencies  -> Departments  -> Department of Agriculture  -> Natural Resources Conservation Service ,All agencies ,Departments ,Department of Agriculture ,Natural Resources Conservation Service ,,4,15379,-,-,15379,-,-,-,-,-,-
10951,r012,All agencies  -> Departments  -> Department of Commerce ,All agencies ,Departments ,Department of Commerce ,,,3,1689980,248546,624857,91477,12909,282550,-,87589,325010,17041
10951,r013,All agencies  -> Departments  -> Department of Commerce  -> Census Bureau ,All agencies ,Departments ,Department of Commerce ,Census Bureau ,,4,150213,72996,-,-,7685,-,-,69532,-,-
10951,r014,All agencies  -> Departments  -> Department of Commerce  -> National Institute of Standards and Technology ,All agencies ,Departments ,Department of Commerce ,National Institute of Standards and Technology ,,4,780207,171527,10153,34468,5023,254588,-,796,303652,-
10951,r015,All agencies  -> Departments  -> Department of Commerce  -> National Oceanic and Atmospheric Administration ,All agencies ,Departments ,Department of Commerce ,National Oceanic and Atmospheric Administration ,,4,748259,4023,614704,57009,201,27962,-,17260,10058,17041
10951,r016,All agencies  -> Departments  -> Department of Commerce  -> National Telecommunications and Information Administration ,All agencies ,Departments ,Department of Commerce ,National Telecommunications and Information Administration ,,4,11300,-,-,-,-,-,-,-,11300,-
10951,r017,All agencies  -> Departments  -> Department of Defense ,All agencies ,Departments ,Department of Defense ,,,3,10165798,1814420,546911,937656,109971,418127,103715,47072,4864353,1323572
10951,r018,All agencies  -> Departments  -> Department of Defense  -> Defense Advanced Research Projects Agency ,All agencies ,Departments ,Department of Defense ,Defense Advanced Research Projects Agency ,,4,1798258,994693,94937,256577,5188,60419,17241,14435,326379,28389
10951,r019,All agencies  -> Departments  -> Department of Defense  -> Defense Health Agency ,All agencies ,Departments ,Department of Defense ,Defense Health Agency ,,4,145348,-,-,144769,-,-,-,-,-,579
10951,r020,All agencies  -> Departments  -> Department of Defense  -> Department of the Air Force ,All agencies ,Departments ,Department of Defense ,Department of the Air Force ,,4,2925568,55457,-,17961,6260,60131,402,2454,2353740,429163
10951,r021,All agencies  -> Departments  -> Department of Defense  -> Department of the Army ,All agencies ,Departments ,Department of Defense ,Department of the Army ,,4,1803812,180524,12811,302066,40193,43501,67052,2461,629192,526012
10951,r022,All agencies  -> Departments  -> Department of Defense  -> Department of the Navy ,All agencies ,Departments ,Department of Defense ,Department of the Navy ,,4,1738918,170188,410770,65551,11250,102629,11280,10889,772284,184076
10951,r023,All agencies  -> Departments  -> Department of Defense  -> Space Force ,All agencies ,Departments ,Department of Defense ,Space Force ,,4,175192,-,-,-,-,-,-,-,175192,-
10951,r024,All agencies  -> Departments  -> Department of Defense  -> Other defense agencies ,All agencies ,Departments ,Department of Defense ,Other defense agencies ,,4,1578702,413558,28393,150734,47080,151446,7741,16833,607566,155351
10951,r025,All agencies  -> Departments  -> Department of Education ,All agencies ,Departments ,Department of Education ,,,3,299085,-,-,-,-,-,-,-,-,299085
10951,r026,All agencies  -> Departments  -> Department of Energy ,All agencies ,Departments ,Department of Energy ,,,3,11108630,1626887,343692,539457,67837,5133287,-,-,2931097,466374
10951,r027,All agencies  -> Departments  -> Department of Energy  -> Advanced Research Projects Agency&#8212;Energy ,All agencies ,Departments ,Department of Energy ,Advanced Research Projects Agency&#8212;Energy ,,4,201482,6122,823,10697,-,23559,-,-,160281,-
10951,r028,All agencies  -> Departments  -> Department of Energy  -> Electricity Delivery and Energy Reliability ,All agencies ,Departments ,Department of Energy ,Electricity Delivery and Energy Reliability ,,4,61315,-,-,-,-,-,-,-,61315,-
10951,r029,All agencies  -> Departments  -> Department of Energy  -> Energy Efficiency and Renewable Energy ,All agencies ,Departments ,Department of Energy ,Energy Efficiency and Renewable Energy ,,4,678802,-,-,-,-,-,-,-,678802,-
10951,r030,All agencies  -> Departments  -> Department of Energy  -> Environmental Management ,All agencies ,Departments ,Department of Energy ,Environmental Management ,,4,11808,-,11808,-,-,-,-,-,-,-
10951,r031,All agencies  -> Departments  -> Department of Energy  -> Fossil Energy ,All agencies ,Departments ,Department of Energy ,Fossil Energy ,,4,558637,-,53071,-,-,88823,-,-,416744,-
10951,r032,All agencies  -> Departments  -> Department of Energy  -> National Nuclear Security Administration ,All agencies ,Departments ,Department of Energy ,National Nuclear Security Administration ,,4,2793813,588894,6009,2073,19593,1377758,-,-,793487,6000
10951,r033,All agencies  -> Departments  -> Department of Energy  -> National Nuclear Security Administration  -> Defense Programs ,All agencies ,Departments ,Department of Energy ,National Nuclear Security Administration ,Defense Programs ,5,2336964,580794,-,-,-,1159282,-,-,596888,-
10951,r034,All agencies  -> Departments  -> Department of Energy  -> National Nuclear Security Administration  -> Naval Nuclear Propulsion Program ,All agencies ,Departments ,Department of Energy ,National Nuclear Security Administration ,Naval Nuclear Propulsion Program ,5,191110,-,-,-,-,-,-,-,191110,-
