table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
3895,r001,All agencies,All agencies,,,,,1,3617951.0,70949.6,8686.5,74877.7,11536.3,219453.2,103411.3,1223084.2,1905952.2
3895,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,
3895,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,29181.9,0.0,0.0,55.0,0.0,0.0,0.0,0.0,29126.9
3895,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,5815.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5815.7
3895,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,4522.2,0.0,0.0,55.0,0.0,0.0,0.0,0.0,4467.2
3895,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,18844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18844.0
3895,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,23920.1,0.0,0.0,123.7,0.0,7798.1,93.6,11558.8,4345.9
3895,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,23920.1,0.0,0.0,123.7,0.0,7798.1,93.6,11558.8,4345.9
3895,r009,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,687996.3,70949.6,8686.5,16946.8,7486.0,98245.1,52180.3,119162.4,314339.6
3895,r010,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,66877.5,0.0,0.0,2735.3,0.0,36220.1,0.0,0.0,27922.1
3895,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,164844.9,42275.2,4425.0,7579.9,90.1,9790.3,2925.7,47242.1,50516.7
