table_id,row_id,field_ethnicity_and_race_full_path,field_ethnicity_and_race_level_1,field_ethnicity_and_race_level_2,field_ethnicity_and_race_level_3,field_ethnicity_and_race_level_4,field_ethnicity_and_race_hierarchy_depth,field_1999,field_2004,field_2009,field_2014,field_2019
2821,r001,All fields,All fields,,,,1,30312,28040,32327,34003,35274
2821,r002,All fields -> Hispanic or Latino,All fields,Hispanic or Latino,,,2,1328,1302,1880,2190,2848
2821,r003,All fields -> Not Hispanic or Latino,All fields,Not Hispanic or Latino,,,2,,,,,
2821,r004,All fields -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Not Hispanic or Latino,American Indian or Alaska Native,,3,214,125,132,103,120
2821,r005,All fields -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Not Hispanic or Latino,Asian<sup>a</sup>,,3,2497,2022,2612,2881,3421
2821,r006,All fields -> Not Hispanic or Latino -> Black or African American,All fields,Not Hispanic or Latino,Black or African American,,3,1765,1897,2168,2172,2512
2821,r007,All fields -> Not Hispanic or Latino -> White,All fields,Not Hispanic or Latino,White,,3,23901,21011,23616,24829,24248
2821,r008,All fields -> Not Hispanic or Latino -> More than one race,All fields,Not Hispanic or Latino,More than one race,,3,na,386,646,879,1121
2821,r009,All fields -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,,3,352,402,338,272,381
2821,r010,All fields -> Ethnicity not reported,All fields,Ethnicity not reported,,,2,255,895,935,677,623
2821,r011,All fields -> Life sciences<sup>c</sup>,All fields,Life sciences<sup>c</sup>,,,2,5810,6082,7803,8390,9052
2821,r012,All fields -> Life sciences<sup>c</sup> -> Hispanic or Latino,All fields,Life sciences<sup>c</sup>,Hispanic or Latino,,3,238,255,390,529,775
2821,r013,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,,3,,,,,
2821,r014,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,27,19,29,20,29
2821,r015,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,Asian<sup>a</sup>,4,751,611,784,883,1042
2821,r016,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Black or African American,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,Black or African American,4,206,272,410,501,540
2821,r017,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> White,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,White,4,4482,4587,5782,6040,6158
2821,r018,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> More than one race,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,More than one race,4,na,80,158,234,296
2821,r019,All fields -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Life sciences<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,69,88,76,63,90
2821,r020,All fields -> Life sciences<sup>c</sup> -> Ethnicity not reported,All fields,Life sciences<sup>c</sup>,Ethnicity not reported,,3,37,170,174,120,122
2821,r021,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,2736,2300,2914,3300,3903
2821,r022,All fields -> Physical sciences and earth sciences -> Hispanic or Latino,All fields,Physical sciences and earth sciences,Hispanic or Latino,,3,84,74,131,204,269
2821,r023,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,,3,,,,,
2821,r024,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,American Indian or Alaska Native,4,15,9,5,9,8
2821,r025,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,Asian<sup>a</sup>,4,287,173,217,252,366
2821,r026,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Black or African American,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,Black or African American,4,77,65,82,100,88
2821,r027,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> White,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,White,4,2215,1822,2289,2546,2943
2821,r028,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> More than one race,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,More than one race,4,na,37,47,91,140
2821,r029,All fields -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>,All fields,Physical sciences and earth sciences,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,23,52,30,33,34
2821,r030,All fields -> Physical sciences and earth sciences -> Ethnicity not reported,All fields,Physical sciences and earth sciences,Ethnicity not reported,,3,35,68,113,65,55
2821,r031,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,2,1098,959,1506,1738,1787
2821,r032,All fields -> Mathematics and computer sciences -> Hispanic or Latino,All fields,Mathematics and computer sciences,Hispanic or Latino,,3,30,39,56,66,103
2821,r033,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino,All fields,Mathematics and computer sciences,Not Hispanic or Latino,,3,,,,,
2821,r034,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Mathematics and computer sciences,Not Hispanic or Latino,American Indian or Alaska Native,4,2,2,3,4,1
2821,r035,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> Asian<sup>a</sup>,All fields,Mathematics and computer sciences,Not Hispanic or Latino,Asian<sup>a</sup>,4,143,126,204,222,252
2821,r036,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> Black or African American,All fields,Mathematics and computer sciences,Not Hispanic or Latino,Black or African American,4,31,25,51,75,69
2821,r037,All fields -> Mathematics and computer sciences -> Not Hispanic or Latino -> White,All fields,Mathematics and computer sciences,Not Hispanic or Latino,White,4,861,713,1107,1289,1235
