table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2009a,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5207,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,328102718,356603823,380376738,357528082,380245106,369242699,416120534,411765467,450709184,418889511,440269973,448510450
5207,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,7694078,8922103,13521133,12879773,9984291,4106869,5718986,12848739,14685442,13608231,9403795,5930160
5207,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,6449300,5833600,6767900,3702011,3662664,9001900,8987200,7617940,5324200,7104800,8392100,8878600
5207,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,6356155,6023906,5743162,5327071,6689903,6184876,7012194,4253582,2220204,1755221,1077891,1849760
5207,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,345832,658590,680971,707557,942106,0,303087,530436,0,2249406,2426103,2455409
5207,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,48172325,30914302,43443294,26096846,30615059,28842415,30382163,30970439,34984578,41221163,40709827,46017594
5207,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,8317796,7142396,7185567,6957024,6576449,8449733,8630632,7187484,9718770,9097135,10798678,11609704
5207,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,5814050,13081012,12517073,12661538,13780616,10592603,10303327,10527008,9545714,10218069,10599160,11473607
5207,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,1433562,2139720,2359902,2231693,2754545,1988655,2048014,1849169,1973153,2686413,2701302,2241188
5207,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,0,0,0,0,0,1740000,2000000,2000000,2000000,2000000,2000000,2920000
5207,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,17934886,50262488,47437237,48709314,47462678,51191986,57934383,51313340,52812260,50929717,52486202,56851522
5207,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,0,0,0,2607843,3999505,2584180,3062308,2027695,2221630,0,3871745,1164256
5207,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,4497068,5229835,5607794,4533302,4484602,6929035,7849438,6483585,4975227,1363167,895592,385278
5207,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,5881390,6123012,6064901,8072165,8059032,7827527,8164676,7991169,8495485,8049677,8364544,10831981
5207,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,56800,0,0,0,0,0,0,0,0,0,0,0
5207,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,1821645,1700000,1700000,15000,2500,37694,124964,790356,309601,100000,0,141764
5207,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,0,7074696,3640397,3278552,3517000,4135147,4279253,3981402,3892642,3669395,3797923,4170756
5207,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,365000,365000,465000,0,0,166000,258099,747974,3190713,4145270,3645223,4840882
5207,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,2874829,2005156,2137523,5902607,6074737,688300,768100,2021103,3610436,2897000,2531000,2258368
5207,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,1567596,2522697,8005483,10305857,8174868,7750826,21166032,18265666,16653861,12451900,11751729,12455929
5207,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,1969352,2527524,3728729,1615411,1434954,2127448,3129609,4737000,4913480,3399559,12055909,7070173
5207,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,6853050,390000,616000,963777,947472,1191164,3070807,790790,2328795,1680353,1625725,1184063
5207,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,1082161,1116916,842629,928129,1031320,11503702,12416317,13432781,9621224,8926019,8938925,10052872
5207,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,2320826,4792530,4595080,3164059,4582027,3561675,4025524,7519042,8548682,471572,1555898,1265405
5207,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,1566712,1813748,794167,673544,1662951,2678015,3562237,3499210,3446554,3790153,5356934,3365930
5207,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,2105823,3634374,3295081,1458268,1562376,917631,566320,1025908,2162824,6216398,5579050,4637046
5207,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,10133435,9482088,8530764,9502232,9297498,10347414,11728858,12524705,12672628,13159754,11968316,11624124
5207,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,1871061,2185884,2343724,2920932,2479271,3247491,3688918,3336125,4888356,4140091,4146533,7753095
5207,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,2048838,2214924,1902385,1818917,2040414,219783,529071,928291,400154,679369,4757681,6941251
5207,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,0,32942,47582,46905,45408,170494,192802,83663,4967,100000,128914,222553
5207,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,155000,100000,111000,0,0,262850,331476,744520,642613,74981,101215,113525
