table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_hierarchy_depth,field_rank,field_total,field_male,field_female
4641,r001,Life sciences<sup>a</sup>,Life sciences<sup>a</sup>,,,1,-,12561,5553,7007
4641,r002,Life sciences<sup>a</sup> -> From top 20 institutions,Life sciences<sup>a</sup>,From top 20 institutions,,2,-,3545,1551,1994
4641,r003,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Florida,Life sciences<sup>a</sup>,From top 20 institutions,U. Florida,3,1,238,106,132
4641,r004,Life sciences<sup>a</sup> -> From top 20 institutions -> Johns Hopkins U.,Life sciences<sup>a</sup>,From top 20 institutions,Johns Hopkins U.,3,2,235,102,133
4641,r005,Life sciences<sup>a</sup> -> From top 20 institutions -> Harvard U.,Life sciences<sup>a</sup>,From top 20 institutions,Harvard U.,3,3,226,108,118
4641,r006,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. North Carolina, Chapel Hill",Life sciences<sup>a</sup>,From top 20 institutions,"U. North Carolina, Chapel Hill",3,4,214,80,134
4641,r007,"Life sciences<sup>a</sup> -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Life sciences<sup>a</sup>,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,5,210,105,105
4641,r008,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Washington, Seattle",Life sciences<sup>a</sup>,From top 20 institutions,"U. Washington, Seattle",3,6,201,70,131
4641,r009,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Wisconsin-Madison,Life sciences<sup>a</sup>,From top 20 institutions,U. Wisconsin-Madison,3,7,197,94,103
4641,r010,Life sciences<sup>a</sup> -> From top 20 institutions -> Walden U.,Life sciences<sup>a</sup>,From top 20 institutions,Walden U.,3,8,193,67,126
4641,r011,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Davis",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Davis",3,9,184,72,112
4641,r012,"Life sciences<sup>a</sup> -> From top 20 institutions -> Ohio State U., Columbus",Life sciences<sup>a</sup>,From top 20 institutions,"Ohio State U., Columbus",3,10,173,86,87
4641,r013,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Michigan, Ann Arbor",Life sciences<sup>a</sup>,From top 20 institutions,"U. Michigan, Ann Arbor",3,11,169,71,98
4641,r014,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Minnesota, Twin Cities",Life sciences<sup>a</sup>,From top 20 institutions,"U. Minnesota, Twin Cities",3,12,167,72,95
4641,r015,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Georgia,Life sciences<sup>a</sup>,From top 20 institutions,U. Georgia,3,13,158,73,85
4641,r016,"Life sciences<sup>a</sup> -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Life sciences<sup>a</sup>,From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,14,145,58,87
4641,r017,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Life sciences<sup>a</sup>,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,15,143,72,71
4641,r018,Life sciences<sup>a</sup> -> From top 20 institutions -> Michigan State U.,Life sciences<sup>a</sup>,From top 20 institutions,Michigan State U.,3,16,142,80,62
