table_id,row_id,field_sex_and_degree_full_path,field_sex_and_degree_level_1,field_sex_and_degree_level_2,field_sex_and_degree_level_3,field_sex_and_degree_level_4,field_sex_and_degree_level_5,field_sex_and_degree_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
3238,r001,All S&E graduate students,All S&E graduate students,,,,,1,595556,41833,1614,39288,28879,606,228182,12806,20839,221509
3238,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,,2,432255,33894,1403,28425,24844,531,180735,10346,17099,134978
3238,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,,3,9538,601,34,241,354,14,5031,171,188,2904
3238,r004,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,,3,87933,7577,260,8108,4923,167,42825,2450,3678,17945
3238,r005,All S&E graduate students -> Science -> Computer and information sciences,All S&E graduate students,Science,Computer and information sciences,,,3,93478,3694,102,7917,4946,70,21569,1433,2736,51011
3238,r006,"All S&E graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,3,12333,831,49,382,240,7,7352,350,441,2681
3238,r007,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,,3,31461,1478,57,2161,676,9,9508,472,956,16144
3238,r008,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,,3,10338,838,31,833,709,22,4582,273,332,2718
3238,r009,All S&E graduate students -> Science -> Natural resources and conservation,All S&E graduate students,Science,Natural resources and conservation,,,3,11407,902,97,337,364,22,7095,349,543,1698
3238,r010,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,,3,42075,2540,78,2277,1007,22,17737,853,1100,16461
3238,r011,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,,3,55707,8303,258,2731,5431,101,30089,1885,3567,3342
3238,r012,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,,3,77985,7130,437,3438,6194,97,34947,2110,3558,20074
3238,r013,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,,2,163301,7939,211,10863,4035,75,47447,2460,3740,86531
3238,r014,"All S&E graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,5848,366,15,424,96,2,2744,166,130,1905
3238,r015,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,,3,1032,33,1,50,25,1,347,26,19,530
3238,r016,All S&E graduate students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Engineering,Bioengineering and biomedical engineering,,,3,11480,792,14,1558,375,13,4356,304,337,3731
3238,r017,All S&E graduate students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Engineering,Biological and biosystems engineering,,,3,283,12,1,6,3,1,113,8,7,132
3238,r018,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,,3,10011,363,10,759,203,3,3040,155,211,5267
3238,r019,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,,3,20461,1349,42,1121,470,13,6183,314,424,10545
3238,r020,"All S&E graduate students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Engineering,"Electrical, electronics, and communications engineering",,,3,46227,1623,30,2886,880,13,8379,456,915,31045
3238,r021,"All S&E graduate students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Engineering,"Engineering mechanics, physics, and science",,,3,2157,72,4,142,49,1,727,35,67,1060
3238,r022,All S&E graduate students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Engineering,Industrial and manufacturing engineering,,,3,15987,814,18,1028,558,8,4312,173,494,8582
