table_id,row_id,time_period,value
3373,r001,R&D and R&D plant<sup>b</sup> -> 2000,83581
3373,r002,R&D and R&D plant<sup>b</sup> -> 2000,43161
3373,r003,R&D and R&D plant<sup>b</sup> -> 2000,200
3373,r004,R&D and R&D plant<sup>b</sup> -> 2000,5593
3373,r005,R&D and R&D plant<sup>b</sup> -> 2000,8437
3373,r006,R&D and R&D plant<sup>b</sup> -> 2000,1000
3373,r007,R&D and R&D plant<sup>b</sup> -> 2000,2082
3373,r008,R&D and R&D plant<sup>b</sup> -> 2000,1561
3373,r009,R&D and R&D plant<sup>b</sup> -> 2000,530
3373,r010,R&D and R&D plant<sup>b</sup> -> 2000,1664
3373,r011,R&D and R&D plant<sup>b</sup> -> 2000,46
3373,r012,R&D and R&D plant<sup>b</sup> -> 2000,429
3373,r013,R&D and R&D plant<sup>b</sup> -> 2000,18121
3373,r014,R&D and R&D plant<sup>b</sup> -> 2000,na
3373,r015,R&D and R&D plant<sup>b</sup> -> 2000,25
3373,r016,R&D and R&D plant<sup>b</sup> -> 2000,645
3373,r017,R&D and R&D plant<sup>b</sup> -> 2000,73
3373,r018,R&D and R&D plant<sup>b</sup> -> 2000,14
3373,r019,R&D and R&D plant<sup>b</sup> -> 2000,na
3373,r020,R&D and R&D plant<sup>b</sup> -> 2001,91505
3373,r021,R&D and R&D plant<sup>b</sup> -> 2001,46202
3373,r022,R&D and R&D plant<sup>b</sup> -> 2001,252
3373,r023,R&D and R&D plant<sup>b</sup> -> 2001,6353
3373,r024,R&D and R&D plant<sup>b</sup> -> 2001,8951
3373,r025,R&D and R&D plant<sup>b</sup> -> 2001,1320
3373,r026,R&D and R&D plant<sup>b</sup> -> 2001,2138
3373,r027,R&D and R&D plant<sup>b</sup> -> 2001,1826
3373,r028,R&D and R&D plant<sup>b</sup> -> 2001,468
3373,r029,R&D and R&D plant<sup>b</sup> -> 2001,1654
3373,r030,R&D and R&D plant<sup>b</sup> -> 2001,54
3373,r031,R&D and R&D plant<sup>b</sup> -> 2001,424
3373,r032,R&D and R&D plant<sup>b</sup> -> 2001,21023
3373,r033,R&D and R&D plant<sup>b</sup> -> 2001,na
3373,r034,R&D and R&D plant<sup>b</sup> -> 2001,30
3373,r035,R&D and R&D plant<sup>b</sup> -> 2001,719
3373,r036,R&D and R&D plant<sup>b</sup> -> 2001,88
3373,r037,R&D and R&D plant<sup>b</sup> -> 2001,3
3373,r038,R&D and R&D plant<sup>b</sup> -> 2001,na
3373,r039,R&D and R&D plant<sup>b</sup> -> 2002,103057
3373,r040,R&D and R&D plant<sup>b</sup> -> 2002,53731
3373,r041,R&D and R&D plant<sup>b</sup> -> 2002,279
3373,r042,R&D and R&D plant<sup>b</sup> -> 2002,6605
3373,r043,R&D and R&D plant<sup>b</sup> -> 2002,9227
3373,r044,R&D and R&D plant<sup>b</sup> -> 2002,1332
3373,r045,R&D and R&D plant<sup>b</sup> -> 2002,2175
3373,r046,R&D and R&D plant<sup>b</sup> -> 2002,1909
3373,r047,R&D and R&D plant<sup>b</sup> -> 2002,549
3373,r048,R&D and R&D plant<sup>b</sup> -> 2002,1889
3373,r049,R&D and R&D plant<sup>b</sup> -> 2002,50
3373,r050,R&D and R&D plant<sup>b</sup> -> 2002,426
3373,r051,R&D and R&D plant<sup>b</sup> -> 2002,23998
3373,r052,R&D and R&D plant<sup>b</sup> -> 2002,na
3373,r053,R&D and R&D plant<sup>b</sup> -> 2002,37
3373,r054,R&D and R&D plant<sup>b</sup> -> 2002,756
3373,r055,R&D and R&D plant<sup>b</sup> -> 2002,91
3373,r056,R&D and R&D plant<sup>b</sup> -> 2002,3
3373,r057,R&D and R&D plant<sup>b</sup> -> 2002,na
3373,r058,R&D and R&D plant<sup>b</sup> -> 2003,118065
3373,r059,R&D and R&D plant<sup>b</sup> -> 2003,63708
3373,r060,R&D and R&D plant<sup>b</sup> -> 2003,269
3373,r061,R&D and R&D plant<sup>b</sup> -> 2003,6999
3373,r062,R&D and R&D plant<sup>b</sup> -> 2003,9677
3373,r063,R&D and R&D plant<sup>b</sup> -> 2003,1412
3373,r064,R&D and R&D plant<sup>b</sup> -> 2003,2198
3373,r065,R&D and R&D plant<sup>b</sup> -> 2003,2042
3373,r066,R&D and R&D plant<sup>b</sup> -> 2003,534
3373,r067,R&D and R&D plant<sup>b</sup> -> 2003,1888
3373,r068,R&D and R&D plant<sup>b</sup> -> 2003,48
3373,r069,R&D and R&D plant<sup>b</sup> -> 2003,444
3373,r070,R&D and R&D plant<sup>b</sup> -> 2003,27677
3373,r071,R&D and R&D plant<sup>b</sup> -> 2003,na
3373,r072,R&D and R&D plant<sup>b</sup> -> 2003,38
3373,r073,R&D and R&D plant<sup>b</sup> -> 2003,817
3373,r074,R&D and R&D plant<sup>b</sup> -> 2003,316
3373,r075,R&D and R&D plant<sup>b</sup> -> 2003,0
3373,r076,R&D and R&D plant<sup>b</sup> -> 2003,na
3373,r077,R&D and R&D plant<sup>b</sup> -> 2004,126270
3373,r078,R&D and R&D plant<sup>b</sup> -> 2004,70344
3373,r079,R&D and R&D plant<sup>b</sup> -> 2004,264
3373,r080,R&D and R&D plant<sup>b</sup> -> 2004,7352
3373,r081,R&D and R&D plant<sup>b</sup> -> 2004,9746
3373,r082,R&D and R&D plant<sup>b</sup> -> 2004,1369
3373,r083,R&D and R&D plant<sup>b</sup> -> 2004,2244
3373,r084,R&D and R&D plant<sup>b</sup> -> 2004,1910
3373,r085,R&D and R&D plant<sup>b</sup> -> 2004,499
3373,r086,R&D and R&D plant<sup>b</sup> -> 2004,1881
3373,r087,R&D and R&D plant<sup>b</sup> -> 2004,47
3373,r088,R&D and R&D plant<sup>b</sup> -> 2004,469
3373,r089,R&D and R&D plant<sup>b</sup> -> 2004,28480
3373,r090,R&D and R&D plant<sup>b</sup> -> 2004,na
3373,r091,R&D and R&D plant<sup>b</sup> -> 2004,47
3373,r092,R&D and R&D plant<sup>b</sup> -> 2004,866
3373,r093,R&D and R&D plant<sup>b</sup> -> 2004,752
