table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_da,field_paid_for_by_the_company,field_paid_for_by_others
9382,r001,United States,United States,,1,"['602,499', '  ']","['527,804', '  ']","['74,695', '  ']"
9382,r002,United States -> Alabama,United States,Alabama,2,"['2,910', '  ']","['1,383', '  ']","['1,528', 'i ']"
9382,r003,United States -> Alaska,United States,Alaska,2,"['207', 'i ']","['188', 'i ']","['18', '  ']"
9382,r004,United States -> Arizona,United States,Arizona,2,"['9,386', '  ']","['6,947', '  ']","['2,440', 'i ']"
9382,r005,United States -> Arkansas,United States,Arkansas,2,"['497', '  ']","['452', '  ']","['45', '  ']"
9382,r006,United States -> California,United States,California,2,"['211,615', '  ']","['199,157', '  ']","['12,458', '  ']"
9382,r007,United States -> Colorado,United States,Colorado,2,"['8,098', '  ']","['7,213', '  ']","['886', '  ']"
9382,r008,United States -> Connecticut,United States,Connecticut,2,"['8,429', '  ']","['6,887', '  ']","['1,543', '  ']"
9382,r009,United States -> Delaware,United States,Delaware,2,"['3,592', '  ']","['2,137', '  ']","['1,455', '  ']"
9382,r010,United States -> District of Columbia,United States,District of Columbia,2,"['744', '  ']","['652', '  ']","['92', '  ']"
9382,r011,United States -> Florida,United States,Florida,2,"['9,688', '  ']","['7,545', '  ']","['2,143', '  ']"
9382,r012,United States -> Georgia,United States,Georgia,2,"['6,448', '  ']","['5,249', '  ']","['1,199', 'i ']"
9382,r013,United States -> Hawaii,United States,Hawaii,2,"['409', '  ']","['372', 'i ']","['38', '  ']"
9382,r014,United States -> Idaho,United States,Idaho,2,"['2,258', '  ']","['2,203', '  ']","['54', '  ']"
9382,r015,United States -> Illinois,United States,Illinois,2,"['16,485', '  ']","['15,398', '  ']","['1,087', '  ']"
9382,r016,United States -> Indiana,United States,Indiana,2,"['9,514', 'i ']","['7,888', 'i ']","['1,627', '  ']"
9382,r017,United States -> Iowa,United States,Iowa,2,"['3,045', '  ']","['2,338', '  ']","['707', 'i ']"
9382,r018,United States -> Kansas,United States,Kansas,2,"['2,748', '  ']","['1,960', '  ']","['788', 'i ']"
9382,r019,United States -> Kentucky,United States,Kentucky,2,"['1,486', '  ']","['897', '  ']","['590', '  ']"
9382,r020,United States -> Louisiana,United States,Louisiana,2,"['530', '  ']","['444', '  ']","['86', '  ']"
9382,r021,United States -> Maine,United States,Maine,2,"['499', '  ']","['444', '  ']","['55', '  ']"
9382,r022,United States -> Maryland,United States,Maryland,2,"['6,432', '  ']","['4,550', '  ']","['1,882', '  ']"
9382,r023,United States -> Massachusetts,United States,Massachusetts,2,"['39,749', '  ']","['33,937', '  ']","['5,812', '  ']"
9382,r024,United States -> Michigan,United States,Michigan,2,"['22,381', '  ']","['19,420', '  ']","['2,962', '  ']"
9382,r025,United States -> Minnesota,United States,Minnesota,2,"['8,248', '  ']","['7,754', '  ']","['494', '  ']"
9382,r026,United States -> Mississippi,United States,Mississippi,2,"['343', '  ']","['307', '  ']","['36', '  ']"
9382,r027,United States -> Missouri,United States,Missouri,2,"['7,060', '  ']","['4,927', '  ']","['2,133', 'i ']"
9382,r028,United States -> Montana,United States,Montana,2,"['261', '  ']","['237', '  ']","['24', '  ']"
9382,r029,United States -> Nebraska,United States,Nebraska,2,"['1,067', '  ']","['1,004', '  ']","['62', '  ']"
9382,r030,United States -> Nevada,United States,Nevada,2,"['1,033', '  ']","['757', '  ']","['276', '  ']"
9382,r031,United States -> New Hampshire,United States,New Hampshire,2,"['3,183', '  ']","['1,461', '  ']","['1,723', '  ']"
9382,r032,United States -> New Jersey,United States,New Jersey,2,"['25,049', '  ']","['20,091', '  ']","['4,958', '  ']"
9382,r033,United States -> New Mexico,United States,New Mexico,2,"['1,693', '  ']","['1,351', '  ']","['342', '  ']"
9382,r034,United States -> New York,United States,New York,2,"['26,319', '  ']","['23,939', '  ']","['2,379', '  ']"
9382,r035,United States -> North Carolina,United States,North Carolina,2,"['15,490', '  ']","['9,812', '  ']","['5,678', 'i ']"
9382,r036,United States -> North Dakota,United States,North Dakota,2,"['343', '  ']","['330', '  ']","['12', '  ']"
9382,r037,United States -> Ohio,United States,Ohio,2,"['11,545', '  ']","['7,814', '  ']","['3,730', '  ']"
9382,r038,United States -> Oklahoma,United States,Oklahoma,2,"['1,056', '  ']","['969', '  ']","['87', '  ']"
9382,r039,United States -> Oregon,United States,Oregon,2,"['11,292', '  ']","['10,954', '  ']","['338', '  ']"
9382,r040,United States -> Pennsylvania,United States,Pennsylvania,2,"['17,555', '  ']","['14,541', '  ']","['3,014', 'i ']"
9382,r041,United States -> Rhode Island,United States,Rhode Island,2,"['837', '  ']","['689', '  ']","['149', 'i ']"
9382,r042,United States -> South Carolina,United States,South Carolina,2,"['1,857', '  ']","['1,601', '  ']","['256', '  ']"
9382,r043,United States -> South Dakota,United States,South Dakota,2,"['221', '  ']","['213', '  ']","['8', '  ']"
9382,r044,United States -> Tennessee,United States,Tennessee,2,"['2,776', 'i ']","['1,802', '  ']","['974', 'i ']"
9382,r045,United States -> Texas,United States,Texas,2,"['28,264', '  ']","['24,495', '  ']","['3,770', 'i ']"
9382,r046,United States -> Utah,United States,Utah,2,"['3,962', '  ']","['3,730', '  ']","['232', '  ']"
9382,r047,United States -> Vermont,United States,Vermont,2,"['456', '  ']","['434', '  ']","['22', '  ']"
9382,r048,United States -> Virginia,United States,Virginia,2,"['8,179', '  ']","['6,330', '  ']","['1,849', '  ']"
9382,r049,United States -> Washington,United States,Washington,2,"['49,083', '  ']","['47,644', '  ']","['1,440', '  ']"
9382,r050,United States -> West Virginia,United States,West Virginia,2,"['522', 'i ']","['435', 'i ']","['86', '  ']"
9382,r051,United States -> Wisconsin,United States,Wisconsin,2,"['6,781', '  ']","['5,723', '  ']","['1,058', '  ']"
9382,r052,United States -> Wyoming,United States,Wyoming,2,"['93', '  ']","['88', '  ']","['5', 'i ']"
9382,r053,United States -> Undistributed funds<sup>b</sup>,United States,Undistributed funds<sup>b</sup>,2,"['780', '  ']","['712', '  ']","['67', '  ']"
