table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientist_number,field_science_occupations_biological_agricultural_and_other_life_scientist_se,field_science_occupations_computer_and_information_scientist_number,field_science_occupations_computer_and_information_scientist_se,field_science_occupations_mathematical_scientist_number,field_science_occupations_mathematical_scientist_se,field_science_occupations_physical_scientist_number,field_science_occupations_physical_scientist_se,field_science_occupations_psychologist_number,field_science_occupations_psychologist_se,field_science_occupations_social_scientist_number,field_science_occupations_social_scientist_se,field_engineering_occupations_number,field_engineering_occupations_se,field_s_e_related_occupations_number,field_s_e_related_occupations_se,field_non_s_e_occupations_number,field_non_s_e_occupations_se
3721,r001,All locations,All locations,,,1,857200,1975,492750,2500,156650,1525,63000,1100,41400,750,84550,1275,77600,950,69500,1025,120650,1375,92350,1475,151500,1650
3721,r002,All locations -> New England,All locations,New England,,2,77100,1375,45650,1125,17600,625,5300,400,3450,300,6550,400,6350,475,6400,425,8800,500,8900,525,13750,475
3721,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,12900,550,7650,450,2450,250,650,150,500,100,1250,175,1550,225,1250,200,1650,250,1400,200,2200,250
3721,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,2750,300,1900,250,700,150,50,50,150,50,300,100,350,125,300,100,100,50,250,100,500,125
3721,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,52350,1150,30400,950,13050,575,4100,350,2550,250,4050,300,3100,325,3550,325,6100,375,6400,450,9450,400
3721,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,3450,325,1900,250,550,125,250,100,S,S,300,100,450,125,300,75,350,100,350,100,850,150
3721,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,3400,250,2300,225,400,100,100,50,100,50,450,125,550,125,700,150,400,125,300,100,400,100
3721,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,2300,250,1550,200,450,100,150,75,100,50,150,75,350,125,350,100,250,100,150,75,300,75
3721,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,117450,1875,70150,1450,20500,775,8400,450,7450,425,10700,550,13050,625,10050,525,11550,575,12900,575,22800,750
3721,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,23700,875,13800,675,4400,350,2100,250,1750,250,2500,250,1650,250,1350,200,2800,350,2350,250,4750,350
3721,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,59150,1150,35850,925,8950,525,4750,375,3850,300,4200,375,8000,500,6100,425,5200,375,6650,450,11500,600
3721,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,34600,975,20550,775,7150,450,1550,225,1850,175,4000,325,3400,300,2600,275,3550,350,3950,325,6550,400
3721,r013,All locations -> East North Central,All locations,East North Central,,2,100900,1550,58350,1250,17950,600,5550,450,5050,375,11550,550,9350,525,8900,475,13850,650,10550,500,18200,675
3721,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,28900,875,16650,700,4750,350,1850,225,1500,200,3350,325,2400,275,2800,275,3300,325,2900,275,6100,375
3721,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,13450,575,8150,425,3100,275,800,200,850,150,1200,175,1150,175,1100,225,1800,250,1400,175,2100,250
3721,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,21450,725,11700,525,3400,300,1200,200,900,125,2200,225,2100,250,1850,225,4000,300,2050,200,3650,300
3721,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,24950,800,14250,575,3950,325,1050,175,1200,175,3400,275,2600,250,1950,225,3450,375,3000,250,4250,325
3721,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,12150,575,7650,475,2750,275,700,125,600,125,1350,200,1100,175,1150,175,1300,175,1200,175,2050,225
3721,r019,All locations -> West North Central,All locations,West North Central,,2,48750,1175,29600,800,11600,500,2250,275,2300,225,4650,375,4850,400,4000,300,5250,425,5700,350,8250,475
3721,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,6850,400,4550,375,1700,225,300,100,450,125,750,200,650,150,650,125,850,175,700,175,750,125
3721,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,5500,350,3650,300,1300,200,300,100,250,75,450,100,750,150,600,100,650,175,550,125,700,125
3721,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,16100,725,9150,500,3200,300,850,150,750,125,1800,250,1650,250,950,125,2250,275,1900,225,2850,300
3721,r023,All locations -> West North Central -> Missouri,All locations,West North Central,Missouri,3,12650,575,7550,450,3200,275,700,150,600,125,1000,150,950,175,1100,150,900,150,1600,200,2600,275
3721,r024,All locations -> West North Central -> Nebraska,All locations,West North Central,Nebraska,3,4500,325,2700,250,1250,175,,,100,50,400,100,500,125,450,125,350,100,600,150,850,175
3721,r025,All locations -> West North Central -> North Dakota,All locations,West North Central,North Dakota,3,1350,175,900,150,500,125,,,,,100,50,150,75,100,50,150,75,100,50,200,75
3721,r026,All locations -> West North Central -> South Dakota,All locations,West North Central,South Dakota,3,1700,225,1100,200,500,150,,,100,50,100,50,200,100,150,75,100,50,200,75,300,100
3721,r027,All locations -> South Atlantic,All locations,South Atlantic,,2,163650,1900,97100,1550,31850,900,9250,500,8800,475,16150,575,13300,600,17750,575,18650,625,17750,600,30100,800
3721,r028,All locations -> South Atlantic -> Delaware,All locations,South Atlantic,Delaware,3,4050,375,2250,275,800,150,100,50,250,125,650,150,300,100,150,50,750,150,400,125,700,150
3721,r029,All locations -> South Atlantic -> District of Columbia,All locations,South Atlantic,District of Columbia,3,17600,575,10650,450,1850,225,600,150,700,150,1250,175,600,100,5650,350,950,175,1250,200,4750,300
3721,r030,All locations -> South Atlantic -> Florida,All locations,South Atlantic,Florida,3,23000,775,12400,525,3500,250,1400,175,950,150,1950,200,2900,325,1700,200,3200,300,2850,225,4550,325
3721,r031,All locations -> South Atlantic -> Georgia,All locations,South Atlantic,Georgia,3,20050,700,12200,575,3850,275,1050,175,1400,175,1650,200,2400,250,1800,250,1950,225,2550,275,3350,350
3721,r032,All locations -> South Atlantic -> Maryland,All locations,South Atlantic,Maryland,3,36150,1025,22150,750,10250,500,1750,225,1600,175,4250,325,1850,250,2500,250,4150,350,4050,325,5750,400
3721,r033,All locations -> South Atlantic -> North Carolina,All locations,South Atlantic,North Carolina,3,26100,800,16350,700,6350,425,1650,200,1550,175,2200,225,2400,250,2250,250,2150,225,3050,250,4600,300
3721,r034,All locations -> South Atlantic -> South Carolina,All locations,South Atlantic,South Carolina,3,7350,475,4450,375,1200,200,350,125,450,125,1050,175,800,200,650,150,1100,200,900,150,900,175
3721,r035,All locations -> South Atlantic -> Virginia,All locations,South Atlantic,Virginia,3,26800,850,15200,650,3450,275,2400,275,1750,200,2900,250,1900,200,2750,250,4000,325,2500,250,5150,350
3721,r036,All locations -> South Atlantic -> West Virginia,All locations,South Atlantic,West Virginia,3,2450,275,1450,200,600,125,,,150,100,250,75,200,75,250,100,400,125,250,100,350,125
3721,r037,All locations -> East South Central,All locations,East South Central,,2,30550,1000,17900,675,6450,450,1250,175,1450,175,3700,325,2750,275,2350,200,3700,325,4150,325,4800,350
3721,r038,All locations -> East South Central -> Alabama,All locations,East South Central,Alabama,3,8250,450,4550,325,1650,225,400,100,400,100,950,175,600,150,600,125,1200,200,1150,175,1350,225
3721,r039,All locations -> East South Central -> Kentucky,All locations,East South Central,Kentucky,3,6700,475,3950,300,1350,175,150,75,300,75,800,200,750,150,650,125,600,150,1000,200,1100,200
3721,r040,All locations -> East South Central -> Mississippi,All locations,East South Central,Mississippi,3,4100,400,2450,300,1100,200,150,75,200,100,400,100,350,125,250,75,600,150,550,125,500,125
3721,r041,All locations -> East South Central -> Tennessee,All locations,East South Central,Tennessee,3,11500,575,6950,425,2350,250,500,100,550,125,1550,200,1100,175,850,125,1300,200,1400,175,1850,200
3721,r042,All locations -> West South Central,All locations,West South Central,,2,68800,1325,37050,1000,11350,550,3300,300,3550,300,7500,375,6400,425,4900,325,12500,750,7550,450,11700,500
3721,r043,All locations -> West South Central -> Arkansas,All locations,West South Central,Arkansas,3,4200,350,2750,275,1100,175,S,S,200,75,250,100,650,150,500,125,350,100,550,150,550,125
3721,r044,All locations -> West South Central -> Louisiana,All locations,West South Central,Louisiana,3,6300,400,4050,325,1300,175,100,50,550,150,800,175,650,125,700,150,750,175,450,100,1050,175
3721,r045,All locations -> West South Central -> Oklahoma,All locations,West South Central,Oklahoma,3,5650,375,3200,300,1150,200,S,S,150,50,750,125,700,175,400,100,1000,200,750,125,700,100
3721,r046,All locations -> West South Central -> Texas,All locations,West South Central,Texas,3,52650,1125,27050,775,7850,450,3050,300,2650,250,5700,325,4450,350,3350,275,10400,650,5800,400,9400,500
3721,r047,All locations -> Mountain,All locations,Mountain,,2,58200,1275,33100,950,9150,425,2850,275,2600,250,8100,450,5950,450,4500,375,10200,625,5400,350,9550,575
3721,r048,All locations -> Mountain -> Arizona,All locations,Mountain,Arizona,3,13100,625,6350,400,1700,225,500,125,600,150,1300,175,1150,200,1100,200,3000,325,1400,225,2300,275
3721,r049,All locations -> Mountain -> Colorado,All locations,Mountain,Colorado,3,19050,650,11450,550,2700,225,1100,175,750,125,3050,225,2350,275,1500,225,2750,300,1500,175,3350,325
3721,r050,All locations -> Mountain -> Idaho,All locations,Mountain,Idaho,3,3450,350,1650,200,650,125,50,25,150,75,350,100,300,100,200,75,900,175,200,50,700,175
3721,r051,All locations -> Mountain -> Montana,All locations,Mountain,Montana,3,2600,250,1800,225,750,150,,,150,75,300,75,300,100,250,100,200,75,250,100,350,75
3721,r052,All locations -> Mountain -> Nevada,All locations,Mountain,Nevada,3,3200,325,1800,250,550,125,S,S,50,50,400,100,400,125,300,75,500,150,400,100,550,125
3721,r053,All locations -> Mountain -> New Mexico,All locations,Mountain,New Mexico,3,8200,425,4500,350,950,150,550,125,400,100,1650,200,700,175,300,75,2000,250,650,125,1050,200
3721,r054,All locations -> Mountain -> Utah,All locations,Mountain,Utah,3,7850,450,4950,325,1650,175,550,125,450,125,950,175,650,150,750,150,800,175,950,150,1150,150
3721,r055,All locations -> Mountain -> Wyoming,All locations,Mountain,Wyoming,3,800,125,600,100,200,75,,,,,100,50,100,75,100,50,S,S,50,25,100,50
3721,r056,All locations -> Pacific,All locations,Pacific,,2,185950,2075,100700,1525,29200,750,24650,900,6500,350,15100,525,15000,625,10250,500,35400,1075,18850,700,31000,925
3721,r057,All locations -> Pacific -> Alaska,All locations,Pacific,Alaska,3,1450,175,900,150,350,75,,,,,250,75,S,S,150,50,150,75,200,75,200,75
3721,r058,All locations -> Pacific -> California,All locations,Pacific,California,3,140650,1850,75450,1400,22250,675,18850,800,4800,300,11500,450,10750,550,7250,425,26650,850,14150,625,24400,825
3721,r059,All locations -> Pacific -> Hawaii,All locations,Pacific,Hawaii,3,3100,275,1850,225,500,125,,,200,75,400,75,300,75,400,125,300,125,300,75,650,125
3721,r060,All locations -> Pacific -> Oregon,All locations,Pacific,Oregon,3,16600,700,7550,400,1950,200,1400,200,350,100,1150,150,1650,225,1050,150,5300,400,1500,225,2200,250
3721,r061,All locations -> Pacific -> Washington,All locations,Pacific,Washington,3,24200,825,14900,650,4150,350,4250,325,1100,150,1800,225,2250,250,1400,200,3000,300,2700,275,3600,325
3721,r062,All locations -> Puerto Rico,All locations,Puerto Rico,,2,2600,225,1650,200,550,125,S,S,100,50,300,75,500,125,150,75,300,100,200,75,450,75
3721,r063,All locations -> U.S. territories and other areas,All locations,U.S. territories and other areas,,2,3250,350,1500,225,500,125,100,50,200,100,250,75,100,50,350,125,400,125,450,150,900,175
