table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
11249,r001,All consortia,All consortia,,1,501428,453813,458093,421057,534702,388726,435736,199877,622790
11249,r002,All consortia -> Alaska Marine Safety Education Association ,All consortia,Alaska Marine Safety Education Association ,2,0,0,0,0,0,0,0,50,0
11249,r003,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,919,250,291,212,79,85,540,6500,4917
11249,r004,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,291,1048,3147,1235,0,466,3643,1164,2025
11249,r005,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,2362,800,2218,2447,2650,2508,6760,1921,393
11249,r006,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,215535,267457,290664,279177,353555,250590,271215,56916,310227
11249,r007,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,0,0,0,0,0,0,4150,0,1435
11249,r008,All consortia -> Atlanta U. Center Consortium,All consortia,Atlanta U. Center Consortium,2,745,0,0,0,0,0,0,0,0
11249,r009,All consortia -> Black Rock Forest Consortium,All consortia,Black Rock Forest Consortium,2,0,0,0,0,318,0,0,0,0
11249,r010,All consortia -> Cancer Alliance of Nebraska,All consortia,Cancer Alliance of Nebraska,2,711,0,0,0,0,0,0,0,0
11249,r011,All consortia -> Chesapeake Research Consortium Inc.,All consortia,Chesapeake Research Consortium Inc.,2,8,0,18,0,0,0,298,0,0
11249,r012,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,221,384,225,237,750,299,0,0,231
11249,r013,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,0,0,0,0,250,0,0,350,550
11249,r014,All consortia -> Conservation X Labs Inc.,All consortia,Conservation X Labs Inc.,2,0,0,0,0,0,480,0,0,0
11249,r015,All consortia -> Consortium for Energy Efficiency Inc.,All consortia,Consortium for Energy Efficiency Inc.,2,576,340,300,0,0,0,0,0,0
11249,r016,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,134189,55864,52676,1910,32903,1368,976,1261,650
11249,r017,All consortia -> Consortium of Organizations for Strong Motion Observation Systems,All consortia,Consortium of Organizations for Strong Motion Observation Systems,2,0,0,0,20,0,0,0,0,0
11249,r018,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,2094,2192,2317,2343,2589,2744,3050,3176,3166
11249,r019,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,2898,4427,1880,3494,4483,1106,0,11122,4462
11249,r020,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,0,0,0,0,0,0,959,1240,522
11249,r021,All consortia -> Gulf of Maine Association,All consortia,Gulf of Maine Association,2,0,0,104,0,0,0,0,0,0
11249,r022,All consortia -> Gulf of Mexico Alliance,All consortia,Gulf of Mexico Alliance,2,0,0,20,0,0,0,0,50,0
11249,r023,All consortia -> Human Relations Area Files,All consortia,Human Relations Area Files,2,999,0,0,46,100,0,1384,0,0
11249,r024,All consortia -> ICAMR Inc.,All consortia,ICAMR Inc.,2,0,0,0,0,0,0,2139,0,0
11249,r025,All consortia -> Innovative Solutions Consortium,All consortia,Innovative Solutions Consortium,2,0,0,0,50,0,0,0,0,0
11249,r026,All consortia -> Institute for Public Policy and Economic Development,All consortia,Institute for Public Policy and Economic Development,2,0,0,0,0,0,94,0,0,0
11249,r027,All consortia -> Lake Michigan Air Directors Consortium,All consortia,Lake Michigan Air Directors Consortium,2,1213,1109,1086,1061,1071,935,0,0,0
11249,r028,All consortia -> Land Institute,All consortia,Land Institute,2,0,0,0,0,0,0,428,165,0
11249,r029,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,459,369,942,1315,1401,1050,663,1139,3539
11249,r030,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,125,174,789,449,608,1315,1622,1341,499
11249,r031,All consortia -> Minority Serving Institutions STEM Research and Development Consortium,All consortia,Minority Serving Institutions STEM Research and Development Consortium,2,0,0,0,0,1874,473,0,0,0
11249,r032,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,2,0,0,50,95,0,4156,1000,1221,3254
11249,r033,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,333,440,455,776,543,430,319,330,668
11249,r034,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,708,0,0,0,0,2318,2412,1874,2027
11249,r035,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,1729,2508,494,790,343,828,4708,264,1225
11249,r036,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,10977,3547,2754,5281,13451,17329,21066,16600,6560
11249,r037,All consortia -> Northeast Radio Observatory Corp.,All consortia,Northeast Radio Observatory Corp.,2,938,901,495,698,0,100,0,5154,2000
11249,r038,All consortia -> Northwest Center for Alternatives to Pesticides,All consortia,Northwest Center for Alternatives to Pesticides,2,0,0,0,0,0,0,35,0,0
11249,r039,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,55612,51860,34448,35735,41090,25408,15977,2006,54914
